序號,會計編碼,日期,傳票編號,摘要,借方金額,貸方金額,發票號碼,收據,銷售人統編
1,6114,1070103,WF20180103001,加油,93 ,,AJ86470980,3,
2,6123,1070103,WF20180103001,稅捐,5 ,,AJ86470980,3,
3,1113,1070103,WF20180103001,加油,,98 ,AJ86470980,3,
4,6134,1070103,WF20180103002,工商憑證費,400 ,,AJ62364430,3,
5,6123,1070103,WF20180103002,稅捐,20 ,,AJ62364430,3,
6,1113,1070103,WF20180103002,工商憑證費,,420 ,AJ62364430,3,
7,6113,1070104,WF20180104001,公司設備.碎紙機,761 ,,YT00181253,3,
8,6123,1070104,WF20180104001,稅捐,38 ,,YT00181253,3,
9,1113,1070104,WF20180104001,公司設備.碎紙機,,799 ,YT00181253,3,
10,6134,1070104,WF20180104002,1.2月發票,18 ,,,7,
11,1113,1070104,WF20180104002,1.2月發票,,18 ,,7,
12,5153,1070108,WF20180108001,傳輸線.充電線,283 ,,AK92930263,3,
13,6123,1070108,WF20180108001,稅捐,14 ,,AK92930263,3,
14,1113,1070108,WF20180108001,傳輸線.充電線,,297 ,AK92930263,3,
15,6134,1070109,WF20180109001,購買五金用品,274 ,,YS04291749,3,
16,6123,1070109,WF20180109001,稅捐,14 ,,YS04291749,3,
17,1113,1070109,WF20180109001,購買五金用品,,288 ,YS04291749,3,
18,6134,1070109,WF20180109002,購買五金用品,143 ,,YS04291741,3,
19,6123,1070109,WF20180109002,稅捐,7 ,,YS04291741,3,
20,1113,1070109,WF20180109002,購買五金用品,,150 ,YS04291741,3,
21,6114,1070114,WF20180114001,加油,124 ,,AJ29116507,3,
22,6123,1070114,WF20180114001,稅捐,6 ,,AJ29116507,3,
23,1113,1070114,WF20180114001,加油,,126 ,AJ29116507,3,
24,5124,1070114,WF20180114001,折讓,,4 ,AJ29116507,3,
25,6118,1070115,WF20180115001,營業所需之接案費用,3800 ,,,2,
26,1113,1070115,WF20180115001,營業所需之接案費用,,3800 ,,2,
27,6134,1070119,WF20180119001,辦理負責人自然人憑證作徵信用,500 ,,,3,
28,1113,1070119,WF20180119001,辦理負責人自然人憑證作徵信用,,500 ,,3,
29,6114,1070120,WF20180120001,加油,124 ,,AJ29116612,3,
30,6123,1070120,WF20180120001,稅捐,6 ,,AJ29116612,3,
31,1113,1070120,WF20180120001,加油,,126 ,AJ29116612,3,
32,5124,1070120,WF20180120001,折讓,,4 ,ZG56538878,3,
33,5153,1070124,WF20180124001,文具.資料本.長尾夾,149 ,,ZG56538878,3,
34,6123,1070124,WF20180124001,稅捐,7 ,,ZG56538878,3,
35,1113,1070124,WF20180124001,文具.資料本.長尾夾,,156 ,ZG56538878,3,
36,1586,1070126,WF20180126001,研發費用-開發設備-3年折舊,6897 ,,,3,
37,2171,1070126,WF20180126001,研發費用-開發設備-3年折舊,,6897 ,,3,
38,6134,1070130,WF20180130001,營業用公司大小章,450 ,,,3,
39,1113,1070130,WF20180130001,營業用公司大小章,,450 ,,3,
40,6134,1070130,WF20180130002,護貝稅藉證明,10 ,,YW07380391,3,
41,1113,1070130,WF20180130002,護貝稅藉證明,,10 ,YW07380391,3,
42,6134,1070130,WF20180130003,雙排釘書,60 ,,YX87336242,3,
43,6123,1070130,WF20180130003,稅捐,4 ,,YX87336242,3,
44,1113,1070130,WF20180130003,雙排釘書,,64 ,YX87336242,3,
45,1533,1070201,WF20180201001,電腦網站、軟體模版、公司網站,300000 ,,,3,
46,3111,1070201,WF20180201001,電腦網站及軟體模版、公司網站,,300000 ,,3,
47,6112,1070202,WF20180202001,2月份辦公費用,500 ,,,3,
48,1113,1070202,WF20180202001,2月份辦公費用,,500 ,,3,
49,6134,1070202,WF20180202001,寄送創業資金申請-郵局收據,56 ,,,3,
50,1113,1070202,WF20180202001,寄送創業資金申請-郵局收據,,56 ,,3,
51,6134,1070205,WF20180205001,信用徵信,286 ,,ZJ93809545,3,
52,6123,1070205,WF20180205001,信用徵信,14 ,,ZJ93809545,3,
53,1113,1070205,WF20180205001,信用徵信,,300 ,ZJ93809545,3,
54,6114,1070207,WF20180207001,加油-至新北市開會,190 ,,ZK20238559,3,
55,6123,1070207,WF20180207001,加油-至新北市開會,10 ,,ZK20238559,3,
56,1113,1070207,WF20180207001,加油-至新北市開會,,200 ,ZK20238559,3,
57,5153,1070207,WF20180207002,名片,295 ,,YR45810378,3,
58,6115,1070207,WF20180207002,名片,100 ,,YR45810378,3,
59,6123,1070207,WF20180207002,名片,20 ,,YR45810378,3,
60,1113,1070207,WF20180207002,名片,,415 ,YR45810378,3,
61,6114,1070210,WF20180210001,加油,134 ,,AJ29116952,3,
62,6123,1070210,WF20180210001,稅捐,7 ,,AJ29116952,3,
63,1113,1070210,WF20180210001,加油,,137 ,AJ29116952,3,
64,5124,1070210,WF20180210001,加油折讓,,4 ,AJ29116952,3,
65,6134,1070212,WF20180212001,置物櫃鑰匙-無營業項目-認列費用-作為未來營收,40 ,,,3,
66,1113,1070212,WF20180212001,置物櫃鑰匙-無營業項目-認列費用-作為未來營收,,40 ,,3,
67,6113,1070212,WF20180212002,方形紅框,11 ,,YX87327873,3,
68,6123,1070212,WF20180212002,稅捐,1 ,,YX87327873,3,
69,1113,1070212,WF20180212002,方形紅框,,12 ,YX87327873,3,
70,6113,1070212,WF20180212003,速乾打印台、wh-635修正帶,169 ,,YX87338595,3,
71,6123,1070212,WF20180212003,稅捐,9 ,,YX87338595,3,
72,1113,1070212,WF20180212003,速乾打印台、wh-635修正帶,,178 ,YX87338595,3,
73,6134,1070214,WF20180214001,抹布.垃圾筒.其他用品,239 ,,YS04294135,3,
74,6123,1070214,WF20180214001,稅捐,12 ,,YS04294135,3,
75,1113,1070214,WF20180214001,抹布.垃圾筒.其他用品,,251 ,YS04294135,3,
76,6134,1070216,WF20180216001,春節零食,746 ,,ZF02515006,3,
77,6123,1070216,WF20180216001,稅捐,38 ,,ZF02515006,3,
78,1113,1070216,WF20180216001,春節零食,,784 ,ZF02515006,3,
79,6134,1070216,WF20180216002,春節零食,179 ,,ZF02515005,3,
80,6123,1070216,WF20180216002,稅捐,9 ,,ZF02515005,3,
81,1113,1070216,WF20180216002,春節零食,,188 ,ZF02515005,3,
82,5153,1070217,WF20180217001,3轉2轉接頭(2入),56 ,,AJ22059114,3,
83,6123,1070217,WF20180217001,稅捐,3 ,,AJ22059114,3,
84,1113,1070217,WF20180217001,3轉2轉接頭(2入),,59 ,AJ22059114,3,
85,1262,1070222,WF20180222001,3月份辦公費用,500 ,,,3,
86,6112,1070222,WF20180222001,3月份辦公費用,,500 ,,3,
87,6114,1070222,WF20180222002,加油,107 ,,AJ51538577,3,
88,6123,1070222,WF20180222002,稅捐,5 ,,AJ51538577,3,
89,1113,1070222,WF20180222002,加油,,111 ,AJ51538577,3,
