序號,會計編碼,日期,傳票編號,摘要,借方金額,貸方金額,發票號碼,收據,銷售人統編
1,1262,1070501,WF20180501001,case客戶來源之一-0115特別發票-和廠商確認後認列,3619 ,,ZT07652011,3,84598349
2,5162,1070501,WF20180501001, Jcase客戶來源之一 -0115特別發票-和廠商確認後認列,181 ,,ZT07652011,3,84598349
3,1113,1070501,WF20180501001, Jcase客戶來源之一-0115特別發票-和廠商確認後認列,,3800 ,ZT07652011,3,84598349
4,6134,1070501,WF20180501002,購買國外貨品之費用-台胞證-為3月1日之發票-向旅行業索取公司發票,1700 ,,,7,
5,1113,1070501,WF20180501002,購買國外貨品之費用-台胞證-為3月1日之發票-向旅行業索取公司發票,,1700 ,,7,
6,6134,1070501,WF20180501003,依營運策略-新增營業項目-為4月20日發票-市政府5月辦理完成,150 ,,,7,
7,1113,1070501,WF20180501003,依營運策略-新增營業項目-為4月20日發票-市政府5月辦理完成,,150 ,,7,
8,6134,1070501,WF20180501004,新增營業項目-審核新章程-市政府5月辦理完成-為4月23日發票,700 ,,,7,
9,1113,1070501,WF20180501004,新增營業項目-審核新章程-市政府5月辦理完成-為4月23日發票,,700 ,,7,
10,1262,1070501,WF20180501005,yes123發票-5月份送達-4月30日的發票,2667 ,,AQ49197460,3,24306240
11,6123,1070501,WF20180501005,yes123發票-5月份送達-4月30日的發票,133 ,,AQ49197460,3,24306240
12,1113,1070501,WF20180501005,yes123發票-5月份送達-4月30日的發票,,2800 ,AQ49197460,3,24306240
13,6112,1070501,WF20180501006,5月份辦公費用,500 ,,,1,
14,1113,1070501,WF20180501006,5月份辦公費用,,500 ,,1,
15,5111,1070501,WF20180501007,Jcase 3個月又17天的費用,2151 ,,,1,
16,1262,1070501,WF20180501007,Jcase 3個月又17天的費用,,2151 ,,1,
17,5111,1070501,WF20180501008,104人力銀行4/23試用費用,362 ,,,1,
18,5162,1070501,WF20180501008,104人力銀行4/23試用費用,18 ,,,1,
19,1113,1070501,WF20180501008,104人力銀行4/23試用費用,,380 ,,1,
20,5153,1070502,WF20180502001,筆購買,8 ,,CS84200460,3,12758009
21,5162,1070502,WF20180502001,筆購買,0 ,,CS84200460,3,12758009
22,1113,1070502,WF20180502001,筆購買,,8 ,CS84200460,3,12758009
23,6113,1070503,WF20180503001,a4影印紙.自黏性標籤.鋼珠筆.識別帶,295 ,,DN57655665,3,80594953
24,6123,1070503,WF20180503001,a4影印紙.自黏性標籤.鋼珠筆.識別帶,15 ,,DN57655665,3,80594953
25,1113,1070503,WF20180503001,a4影印紙.自黏性標籤.鋼珠筆.識別帶,,310 ,DN57655665,3,80594953
26,6114,1070504,WF20180504001,加油,154 ,,DH29116360,3,98981766
27,6123,1070504,WF20180504001,稅捐,8 ,,DH29116360,3,98981766
28,1113,1070504,WF20180504001,加油,,156 ,DH29116360,3,98981766
29,5124,1070504,WF20180504001,加油折讓,,6 ,DH29116360,3,98981766
30,2171,1070505,WF20180505001,4月份副總薪資,1905 ,,,2,
31,2191,1070505,WF20180505001,4月份副總薪資,47950 ,,,2,
32,1113,1070505,WF20180505001,4月份副總薪資,,49855 ,,2,
33,1113,1070505,WF20180505002,3.4月帳目員工代付勞健保,3876 ,,,2,
34,1281,1070505,WF20180505002,3.4月帳目員工代付勞健保,,3876 ,,2,
35,6120,1070505,WF20180505003,4月單位勞保保險費,1069 ,,,2,
36,1113,1070505,WF20180505003,4月單位勞保保險費,,1069 ,,2,
41,5152,1070506,WF20180506001,office365商務版,285 ,,CM11441338,3,23525730
42,5162,1070506,WF20180506001,office365商務版,14 ,,CM11441338,3,23525730
