會計代碼:1月份辦公費用,會計項目:WF20200101002,轉換代碼:noData,轉換名稱noData
會計代碼:108年1月業務支出,會計項目:WF20200103001,轉換代碼:noData,轉換名稱noData
會計代碼:108年1月業務支出,會計項目:WF20200103001,轉換代碼:noData,轉換名稱noData
會計代碼:1月份Office,會計項目:WF20200104001,轉換代碼:noData,轉換名稱noData
會計代碼:1月份Office,會計項目:WF20200104001,轉換代碼:noData,轉換名稱noData
會計代碼:1月份Office,會計項目:WF20200104001,轉換代碼:noData,轉換名稱noData
會計代碼:加油,會計項目:WF20200104002,轉換代碼:noData,轉換名稱noData
會計代碼:加油,會計項目:WF20200104002,轉換代碼:noData,轉換名稱noData
會計代碼:加油,會計項目:WF20200104002,轉換代碼:noData,轉換名稱noData
會計代碼:0106-WH59436994-Office換約折讓單,會計項目:WF20190106001,轉換代碼:noData,轉換名稱noData
會計代碼:0106-WH59436994-Office換約折讓單,會計項目:WF20190106001,轉換代碼:noData,轉換名稱noData
會計代碼:0106-WH59436994-Office換約折讓單,會計項目:WF20190106001,轉換代碼:noData,轉換名稱noData
會計代碼:預付投資、最新消息媒體費,會計項目:WF20190106002,轉換代碼:noData,轉換名稱noData
會計代碼:預付投資、最新消息媒體費,會計項目:WF20190106002,轉換代碼:noData,轉換名稱noData
會計代碼:加油,會計項目:WF20190107001,轉換代碼:noData,轉換名稱noData
會計代碼:加油,會計項目:WF20190107001,轉換代碼:noData,轉換名稱noData
會計代碼:加油,會計項目:WF20190107001,轉換代碼:noData,轉換名稱noData
會計代碼:108年12月份薪資,會計項目:WF20200110001,轉換代碼:noData,轉換名稱noData
會計代碼:108年12月份薪資,會計項目:WF20200110001,轉換代碼:noData,轉換名稱noData
會計代碼:108年12月份薪資,會計項目:WF20200110001,轉換代碼:noData,轉換名稱noData
會計代碼:108年12月勞健保,會計項目:WF20200110002,轉換代碼:noData,轉換名稱noData
會計代碼:108年12月勞健保,會計項目:WF20200110002,轉換代碼:noData,轉換名稱noData
會計代碼:1月份郵電費,會計項目:WF20200115001,轉換代碼:noData,轉換名稱noData
會計代碼:1月份郵電費,會計項目:WF20200115001,轉換代碼:noData,轉換名稱noData
會計代碼:1月份郵電費,會計項目:WF20200115001,轉換代碼:noData,轉換名稱noData
會計代碼:加油,會計項目:WF20200117001,轉換代碼:noData,轉換名稱noData
會計代碼:加油,會計項目:WF20200117001,轉換代碼:noData,轉換名稱noData
會計代碼:加油,會計項目:WF20200117001,轉換代碼:noData,轉換名稱noData
會計代碼:水電材料1項,會計項目:WF20200119001,轉換代碼:noData,轉換名稱noData
會計代碼:水電材料1項,會計項目:WF20200119001,轉換代碼:noData,轉換名稱noData
會計代碼:水電材料1項,會計項目:WF20200119001,轉換代碼:noData,轉換名稱noData
會計代碼:參加1年1度數據資料競賽說明會,會計項目:WF20200121001,轉換代碼:noData,轉換名稱noData
會計代碼:參加1年1度數據資料競賽說明會,會計項目:WF20200121001,轉換代碼:noData,轉換名稱noData
會計代碼:參加1年1度數據資料競賽說明會,會計項目:WF20200121001,轉換代碼:noData,轉換名稱noData
會計代碼:1月份業務支出 ,會計項目:WF20200131001,轉換代碼:noData,轉換名稱noData
會計代碼:1月份業務支出 ,會計項目:WF20200131001,轉換代碼:noData,轉換名稱noData
會計代碼:1月份業務支出 ,會計項目:WF20200131001,轉換代碼:noData,轉換名稱noData
會計代碼:2月份郵電費,會計項目:WF20200131002,轉換代碼:noData,轉換名稱noData
會計代碼:2月份郵電費,會計項目:WF20200131002,轉換代碼:noData,轉換名稱noData
