序號,會計編碼,日期,傳票編號,摘要,種類,借,貸,借/貸,餘額
1,1113,1080101,WF20190101005,入帳保管櫃零用金,1,42715,,借,42715
1,1121,1081231,WF20191231153,108年度結算未實現損益,2,,247124,貸,247124
1,1122,1081231,WF20191231153,108年度結算未實現損益,1,6906,,借,6906
1,1191,1081231,WF20191231127,折讓--WH--59436994--合約到期後，不同合約再換約,1,381,,借,381
1,1239,1081231,WF20191231136,電子零件盒之零件.螺母,2,,323,貸,323
1,1240,1080127,WF20190127001,Led燈,1,3058,,借,3058
1,1261,1081120,WF20191120001,11月員工行動業務支出,1,0,,借,0
1,1262,1080101,WF20190101007,1080214轉1080101營業地預付租金-客戶要求,2,,1591,貸,1591
1,1266,1080827,WF20190827001,7月份行動業務支出,1,0,,借,0
1,1281,1080105,WF20190105001,去年12月份員工勞健保,2,,197,貸,197
1,1284,1080101,WF20190101005,入帳保管櫃零用金,1,0,,借,0
1,1533,1081231,WF20191231077,107--研發無形資產,2,,26121,貸,26121
1,1551,1081231,WF20191231081,108--研發無形資產,1,516449,,借,516449
1,1555,1081231,WF20191231098,WF20181017001-2018-10-17-研究資材-區分新會科,1,11654,,借,11654
1,1583,1080610,WF20190610001,育成中心保證金,1,6000,,借,6000
1,1586,1080207,WF20190207001,海關貨物一項,2,,1621,貸,1621
1,2113,1080627,WF20190627001,6月份短期金周轉,1,0,,借,0
1,2171,1080101,WF20190101007,1080214轉1080101營業地預付租金-客戶要求,2,,2218,貸,2218
1,2191,1080105,WF20190105002,1月份薪資-主管,1,15711,,借,15711
1,3111,1080731,WF20190731002,董事長增資500000,2,,1013750,貸,1013750
1,3113,1080717,WF20190717001,資本額轉換增資,1,37460,,借,37460
1,5111,1080228,WF20190228001,104客戶網2月租金,1,1087,,借,1087
1,5124,1081231,WF20191231127,折讓--WH--59436994--合約到期後，不同合約再換約,2,,363,貸,363
1,5153,1080313,WF20190313002,研發使用文具,1,162,,借,162
1,5162,1080219,WF20190219002,研發零件一批,1,108,,借,108
1,6111,1080105,WF20190105001,去年12月份員工勞健保,1,52744,,借,52744
1,6112,1080103,WF20190103003,1月份Office365 ,1,18476,,借,18476
1,6113,1080515,WF20190515001,影印機列印點數卡,1,986,,借,986
1,6114,1080104,WF20190104001,加油,1,4010,,借,4010
1,6115,1080516,WF20190516003,一年份印表機碳粉匣,1,95,,借,95
1,6116,1080103,WF20190103002,電話及網路費用,1,12223,,借,12223
1,6120,1081231,WF20191231003,12月份公司勞保費用,1,34125,,借,34125
1,6123,1080101,WF20190101007,1080214轉1080101營業地預付租金-客戶要求,1,3963,,借,3963
1,6125,1081231,WF20191231009,折舊-研發設備,1,20507,,借,20507
1,6126,1081231,WF20191231077,107--研發無形資產,1,26410,,借,26410
1,6134,1080102,WF20190102001,發票,1,8318,,借,8318
1,7111,1081130,WF20191130003,1080621--利息收入,2,,7,貸,7
1,7141,1081130,WF20191130005,08-30-投資損益過多後的-股利收入,2,,6980,貸,6980
1,7161,1081231,WF20191231176,金融資產-0319,2,,15938,貸,15938
1,7162,1081231,WF20191231174,金融資產-0114,1,38257,,借,38257
1,7236,1081129,WF20191129002,1080213--手續費收入,2,,157,貸,157
1,7243,1081231,WF20191231174,金融資產-0114,1,385,,借,385
1,1584,1070101,None,期初資訊,1,420000,,借,420000
1,3351,1070101,None,期初資訊,1,34200,,借,34200
