序號,會計編碼,日期,傳票編號,摘要,種類,借,貸
1,6134,1110101,WF20220101001,媒體投資娛樂費,1,512,
2,1262,1110101,WF20220101001,媒體投資娛樂費,2,,512
3,6134,1110101,WF20220101002,2021-11-25-車用充電器,1,56,
4,6123,1110101,WF20220101002,2021-11-25-車用充電器,1,3,
5,1113,1110101,WF20220101002,2021-11-25-車用充電器,2,,59
6,6134,1110101,WF20220101003,2021-11-26-公司福利-茶點,1,271,
7,6123,1110101,WF20220101003,2021-11-26-公司福利-茶點,1,14,
8,1113,1110101,WF20220101003,2021-11-26-公司福利-茶點,2,,285
9,6112,1110102,WF20220102001,Office365,1,375,
10,6123,1110102,WF20220102001,Office365,1,19,
11,1113,1110102,WF20220102001,Office365,2,,394
12,1113,1110103,WF20220103001,案件支付頭期款,1,10000,
13,4111,1110103,WF20220103001,案件支付頭期款,2,,9523
14,6123,1110103,WF20220103001,案件支付頭期款,2,,477
15,6114,1110105,WF20220105001,油資,1,232,
16,6123,1110105,WF20220105001,油資,1,12,
17,1113,1110105,WF20220105001,油資,2,,244
18,6114,1110107,WF20220107001,油資,1,145,
19,6123,1110107,WF20220107001,油資,1,7,
20,1113,1110107,WF20220107001,油資,2,,152
21,2191,1110108,WF20220108001,蕭榮濱-110年預付薪資發放,1,9000,
22,1113,1110108,WF20220108001,蕭榮濱-110年預付薪資發放,2,,9000
23,6123,1110109,WF20220109001,公司負責人交際費,1,6,
24,1113,1110109,WF20220109001,公司負責人交際費,2,,117
25,6134,1110109,WF20220109002,管理費用-公司負責人津貼,1,731,
26,6123,1110109,WF20220109002,管理費用-公司負責人津貼,1,37,
27,1113,1110109,WF20220109002,管理費用-公司負責人津貼,2,,768
28,6134,1110109,WF20220109001,公司負責人交際費,1,111,
29,6114,1110116,WF20220116001,油資,1,311,
30,1113,1110116,WF20220116001,油資,2,,327
31,6123,1110116,WF20220116001,油資,1,16,
32,6114,1110117,WF20220117001,油資,1,48,
33,6123,1110117,WF20220117001,油資,1,2,
34,1113,1110117,WF20220117001,油資,2,,50
35,6134,1110119,WF20220119002,碳鋅電池-使用在網路工具的量測電池,1,33,
36,6123,1110119,WF20220119002,碳鋅電池-使用在網路工具的量測電池,1,2,
37,1113,1110119,WF20220119002,碳鋅電池-使用在網路工具的量測電池,2,,35
38,6134,1110119,WF20220119003,擦拭布,1,29,
39,6123,1110119,WF20220119003,擦拭布,1,1,
40,1113,1110119,WF20220119003,擦拭布,2,,30
41,6114,1110119,WF20220119001,組裝零件-螺母,1,9,
42,1113,1110119,WF20220119001,組裝零件-螺母,2,,9
43,6134,1110120,WF20220120001,2.5吋外接盒藍,1,179,
44,6115,1110120,WF20220120001,2.5吋外接盒藍-運費,1,45,
45,1113,1110120,WF20220120001,2.5吋外接盒藍,2,,224
46,6134,1110120,WF20220120002,SSD 2.5吋 120G/240G/480,1,443,
47,6123,1110120,WF20220120002,SSD 2.5吋 120G/240G/480,1,22,
48,1113,1110120,WF20220120002,SSD 2.5吋 120G/240G/480,2,,465
49,6123,1110122,WF20220122001,ic卡*100,1,25,
50,1113,1110122,WF20220122001,ic卡*100,2,,519
51,5111,1110122,WF20220122001,ic卡*100,1,494,
52,5111,1110124,WF20220124001,電子零件*1
IC讀卡機*5,1,1095,
53,6134,1110124,WF20220124001,電子零件*1
IC讀卡機*5,1,55,
54,1113,1110124,WF20220124001,電子零件*1
IC讀卡機*5,2,,1150
55,5111,1110126,WF20220126001,usb集線器,1,186,
56,6134,1110126,WF20220126001,usb集線器,1,9,
57,1113,1110126,WF20220126001,usb集線器,2,,195
58,6114,1110126,WF20220126002,油資,1,145,
59,6123,1110126,WF20220126002,油資,1,7,
60,1113,1110126,WF20220126002,油資,2,,152
61,5111,1110126,WF20220126003,IC卡,1,200,
62,1113,1110126,WF20220126003,IC卡,2,,200
63,6134,1110201,WF20220201001,媒體投資娛樂費,1,512,
64,1262,1110201,WF20220201001,媒體投資娛樂費,2,,512
