序號,會計編碼,日期,傳票編號,摘要,種類,借,貸,借/貸,餘額,test,test2
1,1113,1080101,WF20190101005,入帳保管櫃零用金,2,,8934,貸,8934,-1,-8934
1,1121,1080831,WF20190831003,1080909--將107的損失提列出，轉換金融資產報帳,1,152083,,借,152083,1,152083
1,1122,1080831,WF20190831003,1080909--將107的損失提列出，轉換金融資產報帳,2,,84188,貸,84188,-1,-84188
1,1191,1081231,WF20191231127,折讓--WH--59436994--合約到期後，不同合約再換約,1,381,,借,381,1,381
1,1239,1081231,WF20191231136,電子零件盒之零件.螺母,1,917,,借,917,1,917
1,1240,1080127,WF20190127001,Led燈,1,3989,,借,3989,1,3989
1,1261,1081120,WF20191120001,11月員工行動業務支出,1,0,,借,0,1,0
1,1262,1080101,WF20190101007,1080214轉1080101營業地預付租金-客戶要求,1,6725,,借,6725,1,6725
1,1266,1080827,WF20190827001,7月份行動業務支出,1,150,,借,150,1,150
1,1281,1080105,WF20190105001,去年12月份員工勞健保,1,3136,,借,3136,1,3136
1,1284,1080101,WF20190101005,入帳保管櫃零用金,1,100,,借,100,1,100
1,1533,1081231,WF20191231098,WF20181017001-2018-10-17-研究資材-區分新會科,1,235778,,借,235778,1,235778
1,1551,1081231,WF20191231077,107--研發無形資產,1,491782,,借,491782,1,491782
1,1555,1081231,WF20191231098,WF20181017001-2018-10-17-研究資材-區分新會科,1,11654,,借,11654,1,11654
1,1583,1080610,WF20190610001,育成中心保證金,1,6000,,借,6000,1,6000
1,1586,1080207,WF20190207001,海關貨物一項,1,10583,,借,10583,1,10583
,1283,1070101,None,期初資訊,1,166,,借,166,1,166
,1431,1070101,None,期初資訊,1,21418,,借,21418,1,21418
,1584,1070101,None,期初資訊,2,,0,貸,0,-1,0
,,,,,,,,,,,851740
1,2113,1080627,WF20190627001,6月份短期金周轉,1,0,,借,0,1,0
1,2171,1080101,WF20190101007,1080214轉1080101營業地預付租金-客戶要求,1,428,,借,428,-1,-428
1,2191,1080105,WF20190105002,1月份薪資-主管,2,,33679,貸,33679,1,33679
1,2197,1081031,WF20191031021,107年2月年終獎金-依員工績效發放(加班費認列),2,,200000,貸,200000,1,200000
1,3111,1080731,WF20190731002,董事長增資500000,2,,1000000,貸,1000000,1,1000000
1,3113,1080717,WF20190717001,資本額轉換增資,2,,396170,貸,396170,1,396170
1,3351,1070101,None,期初資訊,1,380517,,借,380517,1,-380517
,,,,,,,,,,,-397164
,,,,,,,,,,,851740
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
1,5111,1080228,WF20190228001,104客戶網2月租金,1,484,,借,484,1,484
1,5124,1081231,WF20191231127,折讓--WH--59436994--合約到期後，不同合約再換約,2,,363,貸,363,-1,-363
1,5153,1080313,WF20190313002,研發使用文具,1,162,,借,162,1,162
1,5162,1080219,WF20190219002,研發零件一批,1,108,,借,108,1,108
1,6111,1080105,WF20190105001,去年12月份員工勞健保,1,153069,,借,153069,1,153069
1,6112,1080103,WF20190103003,1月份Office365 ,1,18476,,借,18476,1,18476
1,6113,1080515,WF20190515001,影印機列印點數卡,1,986,,借,986,1,986
1,6114,1080104,WF20190104001,加油,1,4010,,借,4010,1,4010
1,6115,1080516,WF20190516003,一年份印表機碳粉匣,1,95,,借,95,1,95
1,6116,1080103,WF20190103002,電話及網路費用,1,11047,,借,11047,1,11047
1,6120,1081231,WF20191231003,12月份公司勞保費用,1,34125,,借,34125,1,34125
1,6122,1081231,WF20191231053,107年2月年終獎金-依員工績效發放(加班費認列),1,100000,,借,100000,1,100000
1,6123,1080101,WF20190101007,1080214轉1080101營業地預付租金-客戶要求,1,4144,,借,4144,1,4144
1,6125,1081231,WF20191231009,折舊-研發設備,1,20507,,借,20507,1,20507
1,6126,1081231,WF20191231077,107--研發無形資產,1,26410,,借,26410,1,26410
1,6134,1080101,WF20190101006,電子零件-107-12-13無稅額,1,8344,,借,8344,1,8344
1,7111,1081130,WF20191130003,1080621--利息收入,2,,7,貸,7,-1,-7
1,7141,1081130,WF20191130005,08-30-投資損益過多後的-股利收入,2,,6980,貸,6980,-1,-6980
1,7161,1081231,WF20191231176,WF21090114002-金融資產-損失 8.93%-2019/1/14,2,,15938,貸,15938,-1,-15938
1,7162,1081231,WF20191231174,WF21090114002-金融資產-損失 8.93%-2019/1/14,1,38257,,借,38257,1,38257
1,7236,1081129,WF20191129002,1080213--手續費收入,2,,157,貸,157,-1,-157
1,7243,1081231,WF20191231174,WF21090114002-金融資產-損失 8.93%-2019/1/14,1,385,,借,385,1,385
,,,,,,,,,,,397164
