sn,科目,日期,傳票,描述,借/貸,金額
1,5111,2023/11/2 上午 12:00:00,WF20231102001,辦公費用 Office365,375,
2,6123,2023/11/2 上午 12:00:00,WF20231102001,辦公費用 Office365,19,
3,1113,2023/11/2 上午 12:00:00,WF20231102001,辦公費用 Office365,,394
4,6123,2023/11/15 上午 12:00:00,WF20231115001,雜費,29,
5,6123,2023/11/15 上午 12:00:00,WF20231115001,雜費,1,
6,1113,2023/11/15 上午 12:00:00,WF20231115001,雜費,,30
7,6114,2023/11/3 上午 12:00:00,WF20231118001,油資,665,
8,6123,2023/11/3 上午 12:00:00,WF20231118001,油資,33,
9,1113,2023/11/3 上午 12:00:00,WF20231118001,油資,,698
10,6114,2023/11/22 上午 12:00:00,WF20231122001,油資,142,
11,6123,2023/11/22 上午 12:00:00,WF20231122001,油資,7,
12,1113,2023/11/22 上午 12:00:00,WF20231122001,油資,,149
13,5111,2023/11/30 上午 12:00:00,WF20231130001,yes123人力銀行,3333,
14,6123,2023/11/30 上午 12:00:00,WF20231130001,yes123人力銀行,167,
15,1113,2023/11/30 上午 12:00:00,WF20231130001,yes123人力銀行,,3500
16,6114,2023/12/9 上午 12:00:00,WF20231209001,油資,229,
17,6123,2023/12/9 上午 12:00:00,WF20231209001,油資,11,
18,1113,2023/12/9 上午 12:00:00,WF20231209001,油資,,240
19,6114,2023/12/24 上午 12:00:00,WF20231224001,油資,479,
20,6123,2023/12/24 上午 12:00:00,WF20231224001,油資,24,
21,1113,2023/12/24 上午 12:00:00,WF20231224001,油資,,503
22,6114,2023/12/25 上午 12:00:00,WF20231225001,油資,66,
23,6123,2023/12/25 上午 12:00:00,WF20231225001,油資,3,
24,1113,2023/12/25 上午 12:00:00,WF20231225001,油資,,69
