編號,序號,會計分類,財產分類,項目,財產名稱,日期,是否外帳,會科,數量,單位,原價,帳面價值,預留殘值,可提列折舊,耐用年限,使用年月,已使用年月,備註,
1,850,2,0,20,WF20181006001-2018-10-06-研究資材,2018/10/6 上午 12:00:00,1,1533,1,項,240.00,228.00,12.00,228,3.00,36,36,,
2,852,2,0,22,WF20181017001-2018-10-17-研究資材,2018/10/17 上午 12:00:00,1,1533,1,項,1257.00,1194.00,63.00,1194,3.00,36,36,,
3,855,2,0,25,WF20181231096-研發系統及模組,2018/12/31 上午 12:00:00,1,1586,1,項,235650.00,223867.00,11783.00,223867,10.00,120,48,,
4,840,1,6,10,電動零件,2018/7/25 上午 12:00:00,1,1586,1,台,853.00,810.00,43.00,810,1.50,18,18,2018/12/31,
5,845,1,7,15,三用電錶,2018/9/24 上午 12:00:00,1,1586,1,項,85.00,81.00,4.00,81,1.50,18,18,,
6,838,1,11,8,設計硬體設備-01,2018/6/30 上午 12:00:00,1,1586,1,組,6656.00,6323.00,333.00,6323,1.50,18,18,,
7,839,1,12,9,設計硬體設備-附件,2018/6/30 上午 12:00:00,1,1586,1,組,3974.00,3765.00,209.00,3765,1.50,18,18,,
8,843,1,14,13,研發電子零件,2018/8/22 上午 12:00:00,1,1586,1,台,2332.00,0.00,2332.00,0,1.50,18,18,,
9,851,1,15,21,研發電子零件一式,2018/10/8 上午 12:00:00,1,1586,1,台,908.00,863.00,45.00,863,1.50,18,18,,
10,854,1,16,24,研發電子零件一批,2018/11/16 上午 12:00:00,1,1586,1,組,743.00,706.00,37.00,706,1.50,18,18,2018/12/31,
11,853,1,17,23,NodeMcu、研發電子零件一批,2018/11/7 上午 12:00:00,1,1586,1,組,695.00,660.00,35.00,660,1.50,18,18,,
12,844,1,19,14,switch,2018/9/9 上午 12:00:00,1,1586,1,台,190.00,180.00,10.00,180,3.00,36,36,,
13,842,1,20,12,usb 3.0 集線器,2018/8/20 上午 12:00:00,1,1586,1,台,182.00,173.00,9.00,173,3.00,36,36,,
14,835,1,22,5,KX-MB2128TW,2018/3/31 上午 12:00:00,1,1586,1,台,6743.00,6406.00,337.00,6406,3.00,36,36,,
15,846,1,24,16,充電供應轉換板-研發,2018/9/25 上午 12:00:00,1,1586,1,項,305.00,290.00,15.00,290,1.50,18,18,107年不攤提,
16,847,1,25,17,顯示擴充板,2018/9/25 上午 12:00:00,1,1586,1,項,257.00,244.00,13.00,244,1.50,18,18,107年不攤提,
17,849,1,26,19,研究發展的電路板設備、連接線,2018/10/4 上午 12:00:00,1,1586,1,項,971.00,922.00,49.00,922,1.50,18,18,107年不攤提,
18,856,1,27,26,通訊用品,2018/10/9 上午 12:00:00,1,1586,2,件,360.00,342.00,18.00,342,1.50,18,18,2018/12/31,
19,857,1,28,27,鉗子工具,2018/10/14 上午 12:00:00,1,1586,1,件,114.00,108.30,5.70,108.3,1.50,18,18,2018/12/31,
20,858,1,29,28,電源轉接夾-使用各項連接零件上,2018/10/25 上午 12:00:00,1,1586,1,項,28.00,26.60,1.40,26.6,1.50,18,18,,
21,859,1,30,29,吸鍚器,2018/10/25 上午 12:00:00,1,1586,1,項,56.00,53.20,2.80,53.2,1.50,18,18,,
22,860,1,31,30,電腦移動位置器具,2018/11/23 上午 12:00:00,1,1586,1,項,285.00,270.75,14.25,270.75,1.50,18,18,,
23,861,1,32,31,研發零件乙批,2018/12/10 上午 12:00:00,1,1586,1,項,588.00,558.60,29.40,558.6,1.50,18,18,,
24,862,1,33,32,研發零件乙批-研發費用-材料,2018/12/24 上午 12:00:00,1,1586,1,項,570.00,541.50,28.50,541.5,1.50,18,18,,
25,863,1,34,33,電子器材-電路板熱接處理器材,2018/12/27 上午 12:00:00,1,1586,1,項,155.00,147.25,7.75,147.25,1.50,18,18,,
26,837,1,38,7,Notebook,2018/6/4 上午 12:00:00,1,1586,1,台,18000.00,17100.00,900.00,17100,3.00,36,36,20349,
