序號,傳票,會計科目,折舊年度,折舊日期,產物說明,金額,
1,,1533,2018/12/31 上午 12:00:00,2018/10/6 上午 12:00:00,WF20181006001-2018-10-06-研究資材,12,
2,,6126,2018/12/31 上午 12:00:00,2018/10/6 上午 12:00:00,WF20181006001-2018-10-06-研究資材,12,
3,,1533,2018/12/31 上午 12:00:00,2018/10/17 上午 12:00:00,WF20181017001-2018-10-17-研究資材,66,
4,,6126,2018/12/31 上午 12:00:00,2018/10/17 上午 12:00:00,WF20181017001-2018-10-17-研究資材,66,
5,,1586,2018/12/31 上午 12:00:00,2018/7/25 上午 12:00:00,電動零件,225,
6,,6125,2018/12/31 上午 12:00:00,2018/7/25 上午 12:00:00,電動零件,225,
7,,1586,2018/12/31 上午 12:00:00,2018/9/24 上午 12:00:00,三用電錶,13,
8,,6125,2018/12/31 上午 12:00:00,2018/9/24 上午 12:00:00,三用電錶,13,
9,,1586,2018/12/31 上午 12:00:00,2018/6/30 上午 12:00:00,設計硬體設備-01,2107,
10,,6125,2018/12/31 上午 12:00:00,2018/6/30 上午 12:00:00,設計硬體設備-01,2107,
11,,1586,2018/12/31 上午 12:00:00,2018/6/30 上午 12:00:00,設計硬體設備-附件,1258,
12,,6125,2018/12/31 上午 12:00:00,2018/6/30 上午 12:00:00,設計硬體設備-附件,1258,
13,,1586,2018/12/31 上午 12:00:00,2018/8/22 上午 12:00:00,研發電子零件,492,
14,,6125,2018/12/31 上午 12:00:00,2018/8/22 上午 12:00:00,研發電子零件,492,
15,,1586,2018/12/31 上午 12:00:00,2018/10/8 上午 12:00:00,研發電子零件一式,95,
16,,6125,2018/12/31 上午 12:00:00,2018/10/8 上午 12:00:00,研發電子零件一式,95,
17,,1586,2018/12/31 上午 12:00:00,2018/11/16 上午 12:00:00,研發電子零件一批,39,
18,,6125,2018/12/31 上午 12:00:00,2018/11/16 上午 12:00:00,研發電子零件一批,39,
19,,1586,2018/12/31 上午 12:00:00,2018/11/7 上午 12:00:00,NodeMcu、研發電子零件一批,36,
20,,6125,2018/12/31 上午 12:00:00,2018/11/7 上午 12:00:00,NodeMcu、研發電子零件一批,36,
21,,1586,2018/12/31 上午 12:00:00,2018/9/9 上午 12:00:00,switch,15,
22,,6125,2018/12/31 上午 12:00:00,2018/9/9 上午 12:00:00,switch,15,
23,,1586,2018/12/31 上午 12:00:00,2018/8/20 上午 12:00:00,usb 3.0 集線器,19,
24,,6125,2018/12/31 上午 12:00:00,2018/8/20 上午 12:00:00,usb 3.0 集線器,19,
25,,1586,2018/12/31 上午 12:00:00,2018/3/31 上午 12:00:00,KX-MB2128TW,1601,
26,,6125,2018/12/31 上午 12:00:00,2018/3/31 上午 12:00:00,KX-MB2128TW,1601,
27,,1586,2018/12/31 上午 12:00:00,2018/9/25 上午 12:00:00,充電供應轉換板-研發,48,
28,,6125,2018/12/31 上午 12:00:00,2018/9/25 上午 12:00:00,充電供應轉換板-研發,48,
29,,1586,2018/12/31 上午 12:00:00,2018/9/25 上午 12:00:00,顯示擴充板,40,
30,,6125,2018/12/31 上午 12:00:00,2018/9/25 上午 12:00:00,顯示擴充板,40,
31,,1586,2018/12/31 上午 12:00:00,2018/10/4 上午 12:00:00,研究發展的電路板設備、連接線,102,
32,,6125,2018/12/31 上午 12:00:00,2018/10/4 上午 12:00:00,研究發展的電路板設備、連接線,102,
33,,1586,2018/12/31 上午 12:00:00,2018/10/9 上午 12:00:00,通訊用品,38,
34,,6125,2018/12/31 上午 12:00:00,2018/10/9 上午 12:00:00,通訊用品,38,
35,,1586,2018/12/31 上午 12:00:00,2018/10/14 上午 12:00:00,鉗子工具,12,
36,,6125,2018/12/31 上午 12:00:00,2018/10/14 上午 12:00:00,鉗子工具,12,
37,,1586,2018/12/31 上午 12:00:00,2018/10/25 上午 12:00:00,電源轉接夾-使用各項連接零件上,2,
38,,6125,2018/12/31 上午 12:00:00,2018/10/25 上午 12:00:00,電源轉接夾-使用各項連接零件上,2,
39,,1586,2018/12/31 上午 12:00:00,2018/10/25 上午 12:00:00,吸鍚器,5,
40,,6125,2018/12/31 上午 12:00:00,2018/10/25 上午 12:00:00,吸鍚器,5,
41,,1586,2018/12/31 上午 12:00:00,2018/11/23 上午 12:00:00,電腦移動位置器具,15,
42,,6125,2018/12/31 上午 12:00:00,2018/11/23 上午 12:00:00,電腦移動位置器具,15,
43,,1586,2018/12/31 上午 12:00:00,2018/6/4 上午 12:00:00,Notebook,2850,
44,,6125,2018/12/31 上午 12:00:00,2018/6/4 上午 12:00:00,Notebook,2850,
