序號,項目,會計科目,月份,當期日,傳票,說明,發票,借/貸,金額,所屬月份
1756,1,6111,3,2020/3/10 上午 12:00:00,WF20200310002,0302-3月份業務支出,,1,697,
1757,2,6123,3,2020/3/10 上午 12:00:00,WF20200310002,0302-3月份業務支出,,1,35,
1758,3,1113,3,2020/3/10 上午 12:00:00,WF20200310002,0302-3月份業務支出,,2,35,
1759,4,1261,3,2020/3/10 上午 12:00:00,WF20200310002,0302-3月份業務支出,,2,697,
1745,1,6111,3,2020/3/31 上午 12:00:00,WF20200331001,3月份薪資,,1,31937,
1746,2,1281,3,2020/3/31 上午 12:00:00,WF20200331001,3月份勞健保,,1,2328,
1747,3,6120,3,2020/3/31 上午 12:00:00,WF20200331001,3月份保險費,,1,2474,
1748,4,1261,3,2020/3/31 上午 12:00:00,WF20200331001,3月份業務支出-遠傳總價,,1,357,
1749,5,2171,3,2020/3/31 上午 12:00:00,WF20200331001,3月份薪資,,2,2474,
1750,6,2191,3,2020/3/31 上午 12:00:00,WF20200331001,3月份薪資,,2,34622,
1884,1,6111,4,2020/4/30 上午 12:00:00,WF20200430001,4月份薪資,,1,31817,
1885,2,1281,4,2020/4/30 上午 12:00:00,WF20200430001,4月份勞健保,,1,2328,
1886,3,6120,4,2020/4/30 上午 12:00:00,WF20200430001,4月份保險費,,1,2474,
1887,4,1261,4,2020/4/30 上午 12:00:00,WF20200430001,4月份業務支出,,1,655,
1888,5,2171,4,2020/4/30 上午 12:00:00,WF20200430001,4月份薪資,,2,2474,
1889,6,2191,4,2020/4/30 上午 12:00:00,WF20200430001,4月份薪資,,2,34800,
2107,1,6111,5,2020/5/4 上午 12:00:00,WF20200504002,4月份業務支出,,1,655,
2108,2,6123,5,2020/5/4 上午 12:00:00,WF20200504002,4月份業務支出,,1,33,
2109,3,1261,5,2020/5/4 上午 12:00:00,WF20200504002,4月份業務支出,,2,655,
2110,4,1113,5,2020/5/4 上午 12:00:00,WF20200504002,4月份業務支出,,2,33,
2061,1,6111,5,2020/5/29 上午 12:00:00,WF20200529001,5月份業務支出,,1,747,
2062,2,6123,5,2020/5/29 上午 12:00:00,WF20200529001,5月份業務支出,,1,37,
2063,3,1113,5,2020/5/29 上午 12:00:00,WF20200529001,5月份業務支出,,2,37,
2064,4,1261,5,2020/5/29 上午 12:00:00,WF20200529001,5月份業務支出,,2,747,
2050,1,6111,5,2020/5/31 上午 12:00:00,WF20200531001,5月份薪資,,1,31086,
2051,2,1281,5,2020/5/31 上午 12:00:00,WF20200531001,5月份勞健保,,1,2328,
2052,3,6120,5,2020/5/31 上午 12:00:00,WF20200531001,5月份保險費,,1,2474,
2053,4,1261,5,2020/5/31 上午 12:00:00,WF20200531001,5月份業務支出,,1,747,
2054,5,2171,5,2020/5/31 上午 12:00:00,WF20200531001,5月份薪資,,2,2474,
2055,6,2191,5,2020/5/31 上午 12:00:00,WF20200531001,5月份薪資,,2,34161,
2153,1,6111,6,2020/6/10 上午 12:00:00,WF20200610003,6月份業務支出,,1,747,
2156,2,1261,6,2020/6/10 上午 12:00:00,WF20200610003,6月份業務支出,,2,747,
2142,1,6111,6,2020/6/30 上午 12:00:00,WF20200630001,6月份薪資,,1,31582,
2143,2,1281,6,2020/6/30 上午 12:00:00,WF20200630001,6月份勞健保,,1,2328,
2144,3,6120,6,2020/6/30 上午 12:00:00,WF20200630001,6月份保險費,,1,2474,
2145,4,1261,6,2020/6/30 上午 12:00:00,WF20200630001,6月份業務支出,,1,890,
2146,5,2171,6,2020/6/30 上午 12:00:00,WF20200630001,6月份薪資,,2,2474,
2147,6,2191,6,2020/6/30 上午 12:00:00,WF20200630001,6月份薪資,,2,34800,
2230,1,6111,7,2020/7/6 上午 12:00:00,WF20200706002,7月份業務支出,,1,890,
2231,2,6123,7,2020/7/6 上午 12:00:00,WF20200706002,7月份業務支出,,1,44,
2232,3,1113,7,2020/7/6 上午 12:00:00,WF20200706002,7月份業務支出,,2,44,
2233,4,1261,7,2020/7/6 上午 12:00:00,WF20200706002,7月份業務支出,,2,890,
2219,1,6111,7,2020/7/31 上午 12:00:00,WF20200731001,7月份薪資,,1,31269,
2220,2,1281,7,2020/7/31 上午 12:00:00,WF20200731001,7月份勞健保,,1,2328,
2221,3,6120,7,2020/7/31 上午 12:00:00,WF20200731001,7月份保險費,,1,2474,
2222,4,1261,7,2020/7/31 上午 12:00:00,WF20200731001,7月份業務支出,,1,1203,
