序號,說明,會計科目,項目,傳票,金額,當期日,月份,借/貸,發票,發票日期,種類,狀態,
2724,1月份預付投資、最新消息媒體費,6134,1,WF20210101001,775.00,2021/1/1 上午 12:00:00,1,1,,,0,2,
2725,1月份預付投資、最新消息媒體費,1262,2,WF20210101001,775.00,2021/1/1 上午 12:00:00,1,1,,,0,2,
2701,1月份Office365,6112,1,WF20210102001,285.00,2021/1/2 上午 12:00:00,1,1,,,0,2,
2702,1月份Office365,6123,2,WF20210102001,14.00,2021/1/2 上午 12:00:00,1,1,,,0,2,
2703,1月份Office365,1113,3,WF20210102001,299.00,2021/1/2 上午 12:00:00,1,2,,,0,2,
2707,1月份薪資支出,2171,1,WF20210112001,2474.00,2021/1/12 上午 12:00:00,1,1,,,0,2,
2708,1月份薪資支出,2191,2,WF20210112001,18157.00,2021/1/12 上午 12:00:00,1,1,,,0,2,
2719,一月份薪資,6111,1,WF20210112001,696.00,2021/1/10 上午 12:00:00,1,1,,,0,2,
2720,一月份薪資,1281,2,WF20210112001,696.00,2021/1/10 上午 12:00:00,1,1,,,0,2,
2709,1月份薪資支出,1113,3,WF20210112001,20631.00,2021/1/12 上午 12:00:00,1,2,,,0,2,
2710,業主增加股本,1113,1,WF20210112002,14651.00,2021/1/12 上午 12:00:00,1,1,,,0,2,
2711,業主增加股本,3113,2,WF20210112002,14651.00,2021/1/12 上午 12:00:00,1,2,,,0,2,
2712,1月份勞健保支出,6111,1,WF20210112003,2474.00,2021/1/12 上午 12:00:00,1,1,,,0,2,
2713,1月份勞健保支出,1281,2,WF20210112003,2474.00,2021/1/12 上午 12:00:00,1,2,,,0,2,
2704,1月份郵電費,6116,1,WF20210118001,800.00,2021/1/18 上午 12:00:00,1,1,,,0,2,
2705,1月份郵電費,6123,2,WF20210118001,40.00,2021/1/18 上午 12:00:00,1,1,,,0,2,
2706,1月份郵電費,1113,3,WF20210118001,840.00,2021/1/18 上午 12:00:00,1,2,,,0,2,
2721,油資,6114,1,WF20210130001,112.00,2021/1/30 上午 12:00:00,1,1,,,0,2,
2722,油資,6123,2,WF20210130001,6.00,2021/1/30 上午 12:00:00,1,1,,,0,2,
2723,油資,1113,3,WF20210130001,118.00,2021/1/30 上午 12:00:00,1,2,,,0,2,
2714,二月份薪資,6111,1,WF20210131001,22304.00,2021/1/31 上午 12:00:00,1,1,,,0,2,
2715,二月份勞健費,1281,2,WF20210131001,696.00,2021/1/31 上午 12:00:00,1,1,,,0,2,
2716,二月份勞保費,6120,3,WF20210131001,2474.00,2021/1/31 上午 12:00:00,1,1,,,0,2,
2717,二月份勞保費,2171,4,WF20210131001,2474.00,2021/1/31 上午 12:00:00,1,2,,,0,2,
2718,二月份薪資,2191,5,WF20210131001,23000.00,2021/1/31 上午 12:00:00,1,2,,,0,2,
