序號,項目,會計科目,月份,當期日,傳票,說明,發票,借/貸,金額,所屬月份,
2065,1,1121,5,2020/5/4 上午 12:00:00,WF20200504001,5/6--透過損益按公允價值衡量之金融資產,有4筆,1,35270.00,5,
2066,2,7243,5,2020/5/4 上午 12:00:00,WF20200504001,5/6--透過損益按公允價值衡量之金融資產,有4筆,1,80.00,5,
2067,3,1113,5,2020/5/4 上午 12:00:00,WF20200504001,5/6--透過損益按公允價值衡量之金融資產,有4筆,2,35350.00,5,
2068,1,1121,5,2020/5/5 上午 12:00:00,WF20200505001,透過損益按公允價值衡量之金融資產,,1,32150.00,5,
2069,2,7243,5,2020/5/5 上午 12:00:00,WF20200505001,透過損益按公允價值衡量之金融資產,,1,45.00,5,
2070,3,1113,5,2020/5/5 上午 12:00:00,WF20200505001,透過損益按公允價值衡量之金融資產,,2,32195.00,5,
2086,1,1113,5,2020/5/5 上午 12:00:00,WF20200505003,5/6--透過損益按公允價值衡量之金融資產,有3筆,1,46330.00,5,
2087,2,7243,5,2020/5/5 上午 12:00:00,WF20200505003,5/6--透過損益按公允價值衡量之金融資產,有3筆,1,72.00,5,
2088,3,6123,5,2020/5/5 上午 12:00:00,WF20200505003,5/6--透過損益按公允價值衡量之金融資產,有3筆,1,138.00,5,
2091,4,1122,5,2020/5/5 上午 12:00:00,WF20200505003,5/6--透過損益按公允價值衡量之金融資產,有3筆,1,714.00,5,
2089,5,1121,5,2020/5/5 上午 12:00:00,WF20200505003,5/6--透過損益按公允價值衡量之金融資產,有3筆,2,46330.00,5,
2090,6,7161,5,2020/5/5 上午 12:00:00,WF20200505003,透過損益按公允價值衡量之金融資產,,2,924.00,5,
2174,1,1113,6,2020/6/2 上午 12:00:00,WF20200602001,透過損益按公允價值衡量之金融資產,,1,6282.00,,
2175,2,7243,6,2020/6/2 上午 12:00:00,WF20200602001,透過損益按公允價值衡量之金融資產,,1,20.00,,
2176,3,6123,6,2020/6/2 上午 12:00:00,WF20200602001,透過損益按公允價值衡量之金融資產,,1,18.00,,
2177,4,1122,6,2020/6/2 上午 12:00:00,WF20200602001,透過損益按公允價值衡量之金融資產,,1,111.00,,
2178,5,1121,6,2020/6/2 上午 12:00:00,WF20200602001,透過損益按公允價值衡量之金融資產,,2,6282.00,,
2179,6,7161,6,2020/6/2 上午 12:00:00,WF20200602001,透過損益按公允價值衡量之金融資產,,2,149.00,,
2180,1,1113,6,2020/6/2 上午 12:00:00,WF20200602002,透過損益按公允價值衡量之金融資產,,1,6747.00,,
2181,2,7243,6,2020/6/2 上午 12:00:00,WF20200602002,透過損益按公允價值衡量之金融資產,,1,20.00,,
2182,3,6123,6,2020/6/2 上午 12:00:00,WF20200602002,透過損益按公允價值衡量之金融資產,,1,38.00,,
2183,4,1122,6,2020/6/2 上午 12:00:00,WF20200602002,透過損益按公允價值衡量之金融資產,,1,124.00,,
2186,5,7151,6,2020/6/2 上午 12:00:00,WF20200602002,透過損益按公允價值衡量之金融資產-資卷利息,,1,15.00,,
2184,6,1121,6,2020/6/2 上午 12:00:00,WF20200602002,透過損益按公允價值衡量之金融資產,,2,6747.00,,
2185,7,7161,6,2020/6/2 上午 12:00:00,WF20200602002,透過損益按公允價值衡量之金融資產,,2,197.00,,
2187,1,1113,6,2020/6/4 上午 12:00:00,WF20200604001,透過損益按公允價值衡量之金融資產,,1,50735.00,,
2188,2,7243,6,2020/6/4 上午 12:00:00,WF20200604001,透過損益按公允價值衡量之金融資產,,1,174.00,,
2189,3,6123,6,2020/6/4 上午 12:00:00,WF20200604001,透過損益按公允價值衡量之金融資產,,1,367.00,,
2190,4,1122,6,2020/6/4 上午 12:00:00,WF20200604001,透過損益按公允價值衡量之金融資產,,1,1801.00,,
2193,5,7151,6,2020/6/4 上午 12:00:00,WF20200604001,透過損益按公允價值衡量之金融資產,,1,224.00,,
2191,6,1121,6,2020/6/4 上午 12:00:00,WF20200604001,透過損益按公允價值衡量之金融資產,,2,50735.00,,
2192,7,7161,6,2020/6/4 上午 12:00:00,WF20200604001,透過損益按公允價值衡量之金融資產,,2,2566.00,,
2194,1,1113,6,2020/6/5 上午 12:00:00,WF20200605001,透過損益按公允價值衡量之金融資產,,1,35692.00,,
2195,2,7243,6,2020/6/5 上午 12:00:00,WF20200605001,透過損益按公允價值衡量之金融資產,,1,51.00,,
2196,3,6123,6,2020/6/5 上午 12:00:00,WF20200605001,透過損益按公允價值衡量之金融資產,,1,107.00,,
2197,4,1122,6,2020/6/5 上午 12:00:00,WF20200605001,透過損益按公允價值衡量之金融資產,,1,1987.00,,
2198,5,1121,6,2020/6/5 上午 12:00:00,WF20200605001,透過損益按公允價值衡量之金融資產,,2,35692.00,,
2199,6,7161,6,2020/6/5 上午 12:00:00,WF20200605001,透過損益按公允價值衡量之金融資產,,2,2145.00,,
2392,1,1121,9,2020/9/30 上午 12:00:00,WF20200930002,109年金融資產預結算,,1,39981.00,,
2393,2,1122,9,2020/9/30 上午 12:00:00,WF20200930002,109年金融資產預結算,,2,39981.00,,
