號碼,傳票,月份,項目,會計科目,會計日期,會計月份,描述,借/貸,金額,
1742,WF20200302001,,1,6112,,0,3月份office365,1,285.00,
1743,WF20200302001,,2,6123,,0,3月份office365,1,14.00,
1744,WF20200302001,,3,1113,,0,3月份office365,2,299.00,
1762,WF20200317001,,1,6116,,0,3月份郵電費,1,696.00,
1763,WF20200317001,,2,6123,,0,3月份郵電費,1,35.00,
1764,WF20200317001,,3,1113,,0,3月份郵電費,2,731.00,
1765,WF20200320001,,1,6114,,0,加油,1,52.00,
1766,WF20200320001,,2,6123,,0,加油,1,3.00,
1767,WF20200320001,,3,1113,,0,加油,2,55.00,
1768,WF20200326001,,1,6114,,0,加油,1,103.00,
1769,WF20200326001,,2,6123,,0,加油,1,5.00,
1770,WF20200326001,,3,1113,,0,加油,2,108.00,
1771,WF20200309001,,1,6114,,0,加油,1,122.00,
1772,WF20200309001,,2,6123,,0,加油,1,6.00,
1773,WF20200309001,,3,1113,,0,加油,2,128.00,
1899,WF20200402001,,1,6112,,0,4月份office365,1,285.00,
1900,WF20200402001,,2,6123,,0,4月份office365,1,14.00,
1901,WF20200402001,,3,1113,,0,4月份office365,2,299.00,
1929,WF20200415001,,1,6116,,0,4月份郵電費,1,645.00,
1930,WF20200415001,,2,6123,,0,4月份郵電費,1,32.00,
1931,WF20200415001,,3,1113,,0,4月份郵電費,2,677.00,
1935,WF20200408001,,1,6114,,0,加油,1,48.00,
1936,WF20200408001,,2,6123,,0,加油,1,2.00,
1937,WF20200408001,,3,1113,,0,加油,2,50.00,
1947,WF20200412001,,1,6114,,0,加油,1,86.00,
1948,WF20200412001,,2,6123,,0,加油,1,4.00,
1949,WF20200412001,,3,1113,,0,加油,2,90.00,
1963,WF20200416001,,1,1113,,4,透過損益按公允價值衡量之金融資產,1,13544.00,
1964,WF20200416001,,2,7243,,4,透過損益按公允價值衡量之金融資產,1,20.00,
1965,WF20200416001,,3,6123,,4,透過損益按公允價值衡量之金融資產,1,40.00,
1966,WF20200416001,,4,7162,,4,透過損益按公允價值衡量之金融資產,1,15547.00,
