序號,說明,會計科目,項目,傳票,金額,當期日,月份,借/貸,發票,銷售ID,購買人,發票
3768,油資,6114,1,WF20220507001,341,2022/5/7 上午 12:00:00,5,1,AB-22810013,98981766,,AB-22810013
3769,油資,6123,2,WF20220507001,17,2022/5/7 上午 12:00:00,5,1,,,,
3770,油資,1113,3,WF20220507001,358,2022/5/7 上午 12:00:00,5,2,,,,
3765,油資,6114,1,WF20220508001,148,2022/5/8 上午 12:00:00,5,1,AB-22810034,98981766,,AB-22810034
3766,油資,6123,2,WF20220508001,7,2022/5/8 上午 12:00:00,5,1,,,,
3767,油資,1113,3,WF20220508001,155,2022/5/8 上午 12:00:00,5,2,,,,
3759,油資,6114,1,WF20220518001,147,2022/5/18 上午 12:00:00,5,1,AB-22810197,98981766,,AB-22810197
3760,油資,6123,2,WF20220518001,7,2022/5/18 上午 12:00:00,5,1,,,,
3761,油資,1113,3,WF20220518001,154,2022/5/18 上午 12:00:00,5,2,,,,
3771,油資,6134,1,WF20220521001,160,2022/5/21 上午 12:00:00,5,1,AU-83587740,54833521,,AU-83587740
3772,油資,6123,2,WF20220521001,8,2022/5/21 上午 12:00:00,5,1,,,,
3773,油資,1113,3,WF20220521001,168,2022/5/21 上午 12:00:00,5,2,,,,
3780,油資,6114,1,WF20220524001,458,2022/5/24 上午 12:00:00,5,1,AB-22810316,98981766,,AB-22810316
3781,油資,6123,2,WF20220524001,23,2022/5/24 上午 12:00:00,5,1,,,,
3782,油資,1113,3,WF20220524001,481,2022/5/24 上午 12:00:00,5,2,,,,
3735,油資,6114,1,WF20220530001,144,2022/5/30 上午 12:00:00,5,1,AB-22810408,98981766,,AB-22810408
3736,油資,6123,2,WF20220530001,7,2022/5/30 上午 12:00:00,5,1,,,,
3737,油資,1113,3,WF20220530001,151,2022/5/30 上午 12:00:00,5,2,,,,
3774,20220206--新店停車場,6114,1,WF20220601001,248,2022/6/1 上午 12:00:00,6,1,WP-75187077,87541904,69746686,WP-75187077
3775,20220206--新店停車場,6123,2,WF20220601001,12,2022/6/1 上午 12:00:00,6,1,,87541904,69746686,
3776,20220206--新店停車場,1113,3,WF20220601001,260,2022/6/1 上午 12:00:00,6,2,,,,
3777,20220220--油資,6114,1,WF20220601002,952,2022/6/1 上午 12:00:00,6,1,WN-63051075,22912749,69746686,WN-63051075
3778,20220220--油資,6123,2,WF20220601002,48,2022/6/1 上午 12:00:00,6,1,,,,
3779,20220220--油資,1113,3,WF20220601002,1000,2022/6/1 上午 12:00:00,6,2,,,,
3726,油資,6114,1,WF20220603001,1385,2022/6/3 上午 12:00:00,6,1,AZ-79221453,72776403,,AZ-79221453
3729,油資,6114,1,WF20220603001,144,2022/6/3 上午 12:00:00,6,1,,,,
3727,油資,6123,2,WF20220603001,69,2022/6/3 上午 12:00:00,6,1,,,,
3730,油資,6123,2,WF20220603001,7,2022/6/3 上午 12:00:00,6,1,,,,
3728,油資,1113,3,WF20220603001,1454,2022/6/3 上午 12:00:00,6,2,,,,
3731,油資,1113,3,WF20220603001,151,2022/6/3 上午 12:00:00,6,2,,,,
3738,紅樹林停車場,6114,1,WF20220603002,19,2022/6/3 上午 12:00:00,6,1,AZ-79221453,72776403,,AZ-79221453
3739,紅樹林停車場,6123,2,WF20220603002,1,2022/6/3 上午 12:00:00,6,1,,,,
3740,紅樹林停車場,1113,3,WF20220603002,20,2022/6/3 上午 12:00:00,6,2,,,,
3724,多功能泡沫清洗齊,6134,1,WF20220604001,110,2022/6/4 上午 12:00:00,6,1,,87411233,,
3725,多功能泡沫清洗齊,1113,2,WF20220604001,110,2022/6/4 上午 12:00:00,6,2,,,,
3747,油資,6114,1,WF20220609001,144,2022/6/9 上午 12:00:00,6,1,AB-22810584,98981766,,AB-22810584
3748,油資,6123,2,WF20220609001,7,2022/6/9 上午 12:00:00,6,1,,,,
