序號,科目,描述,借/貸,金額,test
834,1113,1月份Office365,1,1407,"13,359"
835,1191,,1,381,381
836,1239,,1,1082,"1,082"
837,1240,,1,5077,"5,077"
838,1261,3月份業務支出,1,7,
839,1262,有線電視投資、時事取得,1,322,
840,1281,1月份勞健保支出,1,1780,"4,940"
841,1283,,1,166,166
842,1284,,1,300,300
843,1431,,1,21418,"21,418"
844,1533,折舊-研發產品的原始碼及相關開發套件,1,166337,"188,724"
845,1551,108年、109年軟硬體研發智財,1,847827,"817,386"
846,1555,,1,11654,"11,654"
847,1583,,1,6000,"6,000"
848,1586,TP-Link攝影機,1,11901,"11,439"
853,3351,,1,774930,"774,930"
,,,,1850589,"1,856,856"
,,,,,
849,2171,1月份薪資支出,2,16460,"8,653"
850,2191,1月份薪資支出,2,181867,"95,056"
851,3111,,2,1000000,"1,000,000"
852,3113,業主增加股本,2,849611,"753,147"
,,,,2047938,"1,856,856"
