分類,項目,金額,
資產,資產,863554.00,
流動資產,流動資產,77403.00,
流動資產,約當現金,0,
流動資產,銀行存款,34478.00,
流動資產,金融資產,42544.00,
流動資產,合約資產,0,
流動資產,應收票據,0,
流動資產,應收帳款,381.00,
流動資產,其他應收款,0,
流動資產,存貨,4706.00,
流動資產,商品,0,
流動資產,製成品 ,0,
流動資產,在製品(或在建工程),0,
流動資產,原料,917.00,
流動資產,物料,3789.00,
流動資產,預付,704.00,
流動資產,預付租金,229.00,
流動資產,預付貨款,475.00,
流動資產,其他流動資產,3326.00,
流動資產,員工借支,166.00,
流動資產,暫付款,3160.00,
流動資產,其他資產,0,
非流動資產,非流動資產,777415.00,
非流動資產,其他非流動資產,10583.00,
非流動資產,辦公設備-成本,21418.00,
非流動資產,其他無形資產,516449.00,
非流動資產,其他無形資產,11654.00,
非流動資產,累計攤銷-電腦軟體(5年),211111.00,
非流動資產,存出保證金,6000.00,
非流動資產,存出保證金,200.00,
負債,負債,37970.00,
負債,應付帳款,3705.00,
負債,應付薪資,34265.00,
負債,其他應付費用,0,
權益,業主權益,832490.00,
權益,普通股股本,1000000.00,
權益,預收股本,415970.00,
權益,累計虧損,-582581,
權益,2020年度本期損益,-899.00,
負債及權益,負債及權益總額,870460.00,
非流動資產,業主往來,0.00,
流動資產,預付薪資,0,
負債,資產調整轉金融負債,0,
