序號,傳票,日期,科目,描述,借/貸,金額
1,WF20210901001,2021/9/1 上午 12:00:00,6134,101-08-07-無糖烏龍茶,1,1086
2,WF20210901001,2021/9/1 上午 12:00:00,6123,101-08-07-無糖烏龍茶,1,54
3,WF20210901001,2021/9/1 上午 12:00:00,1113,101-08-07-無糖烏龍茶,1,1140
4,WF20210902001,2021/9/2 上午 12:00:00,6112,Office365,1,375
5,WF20210902001,2021/9/2 上午 12:00:00,6123,Office365,1,19
6,WF20210902001,2021/9/2 上午 12:00:00,1113,Office365,2,394
7,WF20210908001,2021/9/8 上午 12:00:00,6134,32吋電視,1,4752
8,WF20210908001,2021/9/8 上午 12:00:00,6123,32吋電視,1,238
9,WF20210908001,2021/9/8 上午 12:00:00,1113,32吋電視,1,4990
10,WF20210910001,2021/9/10 上午 12:00:00,1262,有線電視投資、時事取得,1,512
11,WF20210910001,2021/9/10 上午 12:00:00,1262,有線電視投資、時事取得,2,512
12,WF20210913001,2021/9/13 上午 12:00:00,6134,停車費,1,20
13,WF20210913001,2021/9/13 上午 12:00:00,1113,停車費,2,20
14,WF20210916001,2021/9/16 上午 12:00:00,6114,郵資,1,637
15,WF20210916001,2021/9/16 上午 12:00:00,6123,郵資,1,32
16,WF20210916001,2021/9/16 上午 12:00:00,1113,郵資,2,669
17,WF20210921001,2021/9/21 上午 12:00:00,6116,停車費,1,129
18,WF20210921001,2021/9/21 上午 12:00:00,6123,停車費,1,6
19,WF20210921001,2021/9/21 上午 12:00:00,1113,停車費,2,135
20,WF20210925001,2021/9/25 上午 12:00:00,6134,電話端子6P*2P,1,10
21,WF20210925001,2021/9/25 上午 12:00:00,1113,電話端子6P*2P,2,10
22,WF20210929001,2021/9/29 上午 12:00:00,6114,郵資,1,147
23,WF20210929001,2021/9/29 上午 12:00:00,6123,郵資,1,7
24,WF20210929001,2021/9/29 上午 12:00:00,1113,郵資,2,154
25,,,,,,
26,,,,,,
27,,,,,,
28,,,,,,
29,,,,,,
30,,,,,,
31,,,,,,
32,,,,,,
33,,,,,,
34,,,,,,
35,,,,,,
36,,,,,,
37,,,,,,
38,,,,,,
39,,,,,,
40,,,,,,
41,,,,,,
42,,,,,,
43,,,,,,
