序號,傳票,日期,科目,描述,借/貸,金額,
1,WF20220101001,2022/1/1 上午 12:00:00,6134,媒體投資娛樂費,1,512.00,
2,WF20220101001,2022/1/1 上午 12:00:00,1262,媒體投資娛樂費,2,512.00,
3,WF20220101002,2022/1/1 上午 12:00:00,6134,2021-11-25-車用充電器,1,56.00,
4,WF20220101002,2022/1/1 上午 12:00:00,6123,2021-11-25-車用充電器,1,3.00,
5,WF20220101002,2022/1/1 上午 12:00:00,1113,2021-11-25-車用充電器,2,59.00,
6,WF20220101003,2022/1/1 上午 12:00:00,6134,2021-11-26-公司福利-茶點,1,271.00,
7,WF20220101003,2022/1/1 上午 12:00:00,6123,2021-11-26-公司福利-茶點,1,14.00,
8,WF20220101003,2022/1/1 上午 12:00:00,1113,2021-11-26-公司福利-茶點,2,285.00,
9,WF20220102001,2022/1/2 上午 12:00:00,6112,Office365,1,375.00,
10,WF20220102001,2022/1/2 上午 12:00:00,6123,Office365,1,19.00,
11,WF20220102001,2022/1/2 上午 12:00:00,1113,Office365,2,394.00,
12,WF20220103001,2022/1/3 上午 12:00:00,1113,案件支付頭期款,1,10000.00,
13,WF20220103001,2022/1/3 上午 12:00:00,4111,案件支付頭期款,2,9523.00,
14,WF20220103001,2022/1/3 上午 12:00:00,6123,案件支付頭期款,2,477.00,
15,WF20220105001,2022/1/5 上午 12:00:00,6114,油資,1,232.00,
16,WF20220105001,2022/1/5 上午 12:00:00,6123,油資,1,12.00,
17,WF20220105001,2022/1/5 上午 12:00:00,1113,油資,2,244.00,
18,WF20220107001,2022/1/7 上午 12:00:00,6114,油資,1,145.00,
19,WF20220107001,2022/1/7 上午 12:00:00,6123,油資,1,7.00,
20,WF20220107001,2022/1/7 上午 12:00:00,1113,油資,2,152.00,
21,WF20220108001,2022/1/8 上午 12:00:00,2191,蕭榮濱-110年預付薪資發放,1,9000.00,
22,WF20220108001,2022/1/8 上午 12:00:00,1113,蕭榮濱-110年預付薪資發放,2,9000.00,
23,WF20220109001,2022/1/9 上午 12:00:00,6123,公司負責人交際費,1,6.00,
24,WF20220109001,2022/1/9 上午 12:00:00,6134,公司負責人交際費,1,111.00,
25,WF20220109001,2022/1/9 上午 12:00:00,1113,公司負責人交際費,2,117.00,
26,WF20220109002,2022/1/9 上午 12:00:00,6134,管理費用-公司負責人津貼,1,731.00,
27,WF20220109002,2022/1/9 上午 12:00:00,6123,管理費用-公司負責人津貼,1,37.00,
28,WF20220109002,2022/1/9 上午 12:00:00,1113,管理費用-公司負責人津貼,2,768.00,
29,WF20220116001,2022/1/16 上午 12:00:00,6123,油資,1,16.00,
30,WF20220116001,2022/1/16 上午 12:00:00,6114,油資,1,311.00,
31,WF20220116001,2022/1/16 上午 12:00:00,1113,油資,2,327.00,
32,WF20220116002,2022/1/16 上午 12:00:00,6123,油資,1,16.00,
33,WF20220116002,2022/1/16 上午 12:00:00,6114,油資,1,311.00,
34,WF20220116002,2022/1/16 上午 12:00:00,1113,油資,2,327.00,
35,WF20220117001,2022/1/17 上午 12:00:00,6114,油資,1,48.00,
36,WF20220117001,2022/1/17 上午 12:00:00,6123,油資,1,2.00,
37,WF20220117001,2022/1/17 上午 12:00:00,1113,油資,2,50.00,
38,WF20220117002,2022/1/17 上午 12:00:00,6114,停車費,1,48.00,
39,WF20220117002,2022/1/17 上午 12:00:00,6123,停車費,1,2.00,
40,WF20220117002,2022/1/17 上午 12:00:00,1113,停車費,2,50.00,
41,WF20220119001,2022/1/19 上午 12:00:00,6134,螺母,1,48.00,
42,WF20220119001,2022/1/19 上午 12:00:00,6123,螺母,1,2.00,
43,WF20220119001,2022/1/19 上午 12:00:00,1113,螺母,2,50.00,
44,WF20220119002,2022/1/19 上午 12:00:00,6114,組裝零件-螺母,1,9.00,
45,WF20220119002,2022/1/19 上午 12:00:00,1113,組裝零件-螺母,2,9.00,
46,WF20220119003,2022/1/19 上午 12:00:00,6134,碳鋅電池-使用在網路工具的量測電池,1,33.00,
47,WF20220119003,2022/1/19 上午 12:00:00,6123,碳鋅電池-使用在網路工具的量測電池,1,2.00,
48,WF20220119003,2022/1/19 上午 12:00:00,1113,碳鋅電池-使用在網路工具的量測電池,2,35.00,
49,WF20220119004,2022/1/19 上午 12:00:00,6114,碳鋅電池-9V 1入,1,33.00,
50,WF20220119004,2022/1/19 上午 12:00:00,6123,碳鋅電池-9V 1入,1,2.00,
51,WF20220119004,2022/1/19 上午 12:00:00,1113,碳鋅電池-9V 1入,2,35.00,
52,WF20220119005,2022/1/19 上午 12:00:00,6134,擦拭布,1,29.00,
53,WF20220119005,2022/1/19 上午 12:00:00,6123,擦拭布,1,1.00,
54,WF20220119005,2022/1/19 上午 12:00:00,1113,擦拭布,2,30.00,
55,WF20220119006,2022/1/19 上午 12:00:00,6134,五金,1,29.00,
56,WF20220119006,2022/1/19 上午 12:00:00,6123,五金,1,1.00,
57,WF20220119006,2022/1/19 上午 12:00:00,1113,五金,2,30.00,
58,WF20220120001,2022/1/20 上午 12:00:00,6134,2.5吋外接盒藍,1,179.00,
59,WF20220120001,2022/1/20 上午 12:00:00,6115,2.5吋外接盒藍-運費,1,45.00,
60,WF20220120001,2022/1/20 上午 12:00:00,1113,2.5吋外接盒藍,2,224.00,
61,WF20220120002,2022/1/20 上午 12:00:00,6134,SSD 2.5吋 120G/240G/480,1,443.00,
62,WF20220120002,2022/1/20 上午 12:00:00,6123,SSD 2.5吋 120G/240G/480,1,22.00,
63,WF20220120002,2022/1/20 上午 12:00:00,1113,SSD 2.5吋 120G/240G/480,2,465.00,
64,WF20220122001,2022/1/22 上午 12:00:00,1240,ic卡*100,1,494.00,
65,WF20220122001,2022/1/22 上午 12:00:00,6123,ic卡*100,1,25.00,
66,WF20220122001,2022/1/22 上午 12:00:00,1113,ic卡*100,2,519.00,
67,WF20220122002,2022/1/22 上午 12:00:00,5111,ic卡,1,494.00,
68,WF20220122002,2022/1/22 上午 12:00:00,6134,ic卡-運費,1,25.00,
69,WF20220122002,2022/1/22 上午 12:00:00,1113,ic卡,2,519.00,
70,WF20220124001,2022/1/24 上午 12:00:00,1240,IC讀卡機*5,1,1095.00,
71,WF20220124001,2022/1/24 上午 12:00:00,6123,IC讀卡機*5,1,55.00,
72,WF20220124001,2022/1/24 上午 12:00:00,1113,IC讀卡機*5,2,1150.00,
73,WF20220124002,2022/1/24 上午 12:00:00,5111,電子零件*1,1,1095.00,
74,WF20220124002,2022/1/24 上午 12:00:00,6134,電子零件*1,1,55.00,
75,WF20220124002,2022/1/24 上午 12:00:00,1113,電子零件*1,2,1150.00,
76,WF20220126001,2022/1/26 上午 12:00:00,5111,usb集線器,1,186.00,
77,WF20220126001,2022/1/26 上午 12:00:00,6134,usb集線器,1,9.00,
78,WF20220126001,2022/1/26 上午 12:00:00,1113,usb集線器,2,195.00,
79,WF20220126002,2022/1/26 上午 12:00:00,6114,油資,1,145.00,
80,WF20220126002,2022/1/26 上午 12:00:00,6123,油資,1,7.00,
81,WF20220126002,2022/1/26 上午 12:00:00,1113,油資,2,152.00,
82,WF20220126003,2022/1/26 上午 12:00:00,5111,IC卡,1,200.00,
83,WF20220126003,2022/1/26 上午 12:00:00,1113,IC卡,2,200.00,
