序號,傳票,日期,科目,描述,借/貸,金額
1,WF20220101001,2022/1/1 上午 12:00:00,6134,媒體投資娛樂費,1,512
2,WF20220101001,2022/1/1 上午 12:00:00,1262,媒體投資娛樂費,2,512
3,WF20220101002,2022/1/1 上午 12:00:00,6134,2021-11-25-車用充電器,1,56
4,WF20220101002,2022/1/1 上午 12:00:00,6123,2021-11-25-車用充電器,1,3
5,WF20220101002,2022/1/1 上午 12:00:00,1113,2021-11-25-車用充電器,2,59
6,WF20220101003,2022/1/1 上午 12:00:00,6134,2021-11-26-公司福利-茶點,1,271
7,WF20220101003,2022/1/1 上午 12:00:00,6123,2021-11-26-公司福利-茶點,1,14
8,WF20220101003,2022/1/1 上午 12:00:00,1113,2021-11-26-公司福利-茶點,2,285
9,WF20220102001,2022/1/2 上午 12:00:00,6112,Office365,1,375
10,WF20220102001,2022/1/2 上午 12:00:00,6123,Office365,1,19
11,WF20220102001,2022/1/2 上午 12:00:00,1113,Office365,2,394
12,WF20220103001,2022/1/3 上午 12:00:00,1113,案件支付頭期款,1,10000
13,WF20220103001,2022/1/3 上午 12:00:00,4111,案件支付頭期款,2,9523
14,WF20220103001,2022/1/3 上午 12:00:00,6123,案件支付頭期款,2,477
15,WF20220105001,2022/1/5 上午 12:00:00,6114,油資,1,232
16,WF20220105001,2022/1/5 上午 12:00:00,6123,油資,1,12
17,WF20220105001,2022/1/5 上午 12:00:00,1113,油資,2,244
18,WF20220107001,2022/1/7 上午 12:00:00,6114,油資,1,145
19,WF20220107001,2022/1/7 上午 12:00:00,6123,油資,1,7
20,WF20220107001,2022/1/7 上午 12:00:00,1113,油資,2,152
21,WF20220108001,2022/1/8 上午 12:00:00,2191,蕭榮濱-110年預付薪資發放,1,9000
22,WF20220108001,2022/1/8 上午 12:00:00,1113,蕭榮濱-110年預付薪資發放,2,9000
23,WF20220109001,2022/1/9 上午 12:00:00,6123,公司負責人交際費,1,6
24,WF20220109001,2022/1/9 上午 12:00:00,6134,公司負責人交際費,1,111
25,WF20220109001,2022/1/9 上午 12:00:00,1113,公司負責人交際費,2,117
26,WF20220109002,2022/1/9 上午 12:00:00,6134,管理費用-公司負責人津貼,1,731
27,WF20220109002,2022/1/9 上午 12:00:00,6123,管理費用-公司負責人津貼,1,37
28,WF20220109002,2022/1/9 上午 12:00:00,1113,管理費用-公司負責人津貼,2,768
29,WF20220116001,2022/1/16 上午 12:00:00,6123,油資,1,16
30,WF20220116001,2022/1/16 上午 12:00:00,6114,油資,1,311
31,WF20220116001,2022/1/16 上午 12:00:00,1113,油資,2,327
32,WF20220116002,2022/1/16 上午 12:00:00,6123,油資,1,16
33,WF20220116002,2022/1/16 上午 12:00:00,6114,油資,1,311
34,WF20220116002,2022/1/16 上午 12:00:00,1113,油資,2,327
35,WF20220117001,2022/1/17 上午 12:00:00,6114,油資,1,48
