序號,傳票,日期,科目,描述,借/貸,金額,銷售人統編,購買人統編,發票,
1,WF20221001001,2022/10/1 上午 12:00:00,6112,租金支出,1,1000.00,,,,
2,WF20221001001,2022/10/1 上午 12:00:00,1262,預付租金,2,1000.00,,,,
3,WF20221001002,2022/10/1 上午 12:00:00,1262,有線電視-媒體預付租金,1,1530.00,,,,
4,WF20221001002,2022/10/1 上午 12:00:00,1113,有線電視-媒體預付租金,2,1530.00,,,,
5,WF20221001003,2022/10/1 上午 12:00:00,6134,媒體投資娛樂費,1,512.00,,,,
6,WF20221001003,2022/10/1 上午 12:00:00,1262,媒體投資娛樂費,2,512.00,,,,
7,WF20221002001,2022/10/2 上午 12:00:00,6112,Office365,1,375.00,,,,
8,WF20221002001,2022/10/2 上午 12:00:00,6123,Office365,1,19.00,,,,
9,WF20221002001,2022/10/2 上午 12:00:00,1113,Office365,2,394.00,,,,
10,WF20221009001,2022/10/9 上午 12:00:00,6134,停車費,1,25.00,,,,
11,WF20221009001,2022/10/9 上午 12:00:00,1113,停車費,2,25.00,,,,
12,WF20221015001,2022/10/15 上午 12:00:00,6134,五金百貨,1,16.00,,,,
13,WF20221015001,2022/10/15 上午 12:00:00,6123,五金百貨,1,1.00,,,,
14,WF20221015001,2022/10/15 上午 12:00:00,1113,五金百貨,2,17.00,,,,
15,WF20221018001,2022/10/18 上午 12:00:00,6116,1018郵電費,1,702.00,,,,
16,WF20221018001,2022/10/18 上午 12:00:00,6123,1018郵電費,1,35.00,,,,
17,WF20221018001,2022/10/18 上午 12:00:00,1113,1018郵電費,2,737.00,,,,
18,WF20221022001,2022/10/22 上午 12:00:00,6134,營業費用-香蕉水.水砂紙,1,80.00,61431608,69746686,FF10207283,
19,WF20221022001,2022/10/22 上午 12:00:00,6123,營業費用-香蕉水.水砂紙,1,4.00,61431608,69746686,FF10207283,
20,WF20221022001,2022/10/22 上午 12:00:00,1113,營業費用-香蕉水.水砂紙,2,84.00,61431608,69746686,FF10207283,
