序號,科目,描述,借/貸,金額,
343,1113,3月份office365,1,45051.00,
344,1121,透過損益按公允價值衡量之金融資產,1,39981.00,
345,1122,透過損益按公允價值衡量之金融資產之評價調整,1,11546.00,
346,1191,銷售2隻美白牙膏、2隻護理牙膏,1,381.00,
347,1231,進貨,庫存牙膏8隻,62*4,1,0.00,
348,1239,,1,917.00,
349,1240,3M 電極貼片 *50,1,4075.00,
350,1261,3月份業務支出,1,1399.00,
351,1262,3月份office,1,1035.00,
352,1266,,1,475.00,
353,1281,3月份勞健保,1,2722.00,
354,1283,,1,166.00,
355,1284,,1,200.00,
356,1431,,1,21418.00,
357,1533,,1,211111.00,
358,1551,,1,516449.00,
359,1555,,1,11654.00,
360,1583,,1,6000.00,
361,1584,業主短期融資-週轉投資-補償金-,2,41504.00,
362,1586,,1,10583.00,
363,2171,3月份薪資,2,6033.00,
364,2191,3月份薪資,2,72487.00,
365,3111,,2,1000000.00,
366,3113,業主提供貨品,庫存牙膏8隻,62*6,155*2,2,619441.00,
367,3351,,1,582581.00,
368,3353,,2,198411.00,
369,4111,系統資訊工作處理收入,1,1500.00,
370,4114,銷售2隻美白牙膏、2隻護理牙膏,2,410.00,
371,5111,貨品寄送運費,1,1405.00,
372,5124,,2,363.00,
373,5153,,1,162.00,
374,5162,,1,108.00,
375,6111,3月份薪資,1,296494.00,
376,6112,3月份office,1,24019.00,
377,6113,109-02-14-公文封,1,1202.00,
378,6114,加油,1,6013.00,
379,6115,,1,95.00,
380,6116,3月份郵電費,1,18566.00,
381,6120,3月份保險費,1,51297.00,
382,6123,3月份office365,1,15272.00,
383,6125,,1,20507.00,
384,6126,,1,26410.00,
385,6134,3月份預付投資、最新消息媒體費,1,14577.00,
386,7111,年度利息收入,1,6.00,
387,7141,,2,6980.00,
388,7151,透過損益按公允價值衡量之金融資產-資卷利息,1,239.00,
389,7161,透過損益按公允價值衡量之金融資產,2,25112.00,
390,7162,透過損益按公允價值衡量之金融資產,1,53640.00,
391,7236,手續費折讓,2,26.00,
392,7243,透過損益按公允價值衡量之金融資產,1,1407.00,
