序號,會計編碼,日期,傳票編號,摘要,借方金額,貸方金額,發票號碼,收據,銷售人統編
1,5153,1070301,WF20180301001,傳真事務機耗材-廠商發票計算稅額有誤,533 ,,AP19855526,3,
2,6123,1070301,WF20180301001,傳真事務機耗材發票計算稅額有誤,27 ,,AP19855526,3,
3,1113,1070301,WF20180301001,傳真事務機耗材,,560 ,AP19855526,3,
4,6113,1070301,WF20180301002,印章,100 ,,,7,
5,1113,1070301,WF20180301002,印章,,100 ,,7,
6,6111,1070305,WF20180305001,2位員工,3298 ,,,2,
7,6120,1070305,WF20180305001,勞保、健保、退休金,1739 ,,,2,
8,1113,1070305,WF20180305001,薪資與勞健保支出,,4650 ,,2,
9,2252,1070305,WF20180305001,勞保、健保,,387 ,,2,
10,6114,1070307,WF20180330001,停車費,19 ,,AZ40738305,3,
11,6123,1070307,WF20180330001,稅捐,1 ,,AZ40738305,3,
12,1113,1070307,WF20180307001,停車費,,20 ,AZ40738305,3,
13,6114,1070308,WF20180308001,加油,119 ,,BL51530737,3,
14,6123,1070308,WF20180308001,加油,6 ,,BL51530737,3,
15,1113,1070308,WF20180308001,加油,,124 ,BL51530737,3,
16,5124,1070308,WF20180308001,加油折讓,,1 ,BL51530737,3,
17,6134,1070308,WF20180308002,申請銀行查詢費 ,300 ,,,7,
18,1113,1070308,WF20180308002,申請銀行查詢費 ,,300 ,,7,
19,6113,1070311,WF20180311001,複寫紙,91 ,,AU85981482,3,
20,6123,1070311,WF20180311001,複寫紙,5 ,,AU85981482,3,
21,1113,1070311,WF20180311001,複寫紙,,96 ,AU85981482,3,
22,6113,1070311,WF20180311002,沖洗相片,57 ,,AN09854953,3,
23,6123,1070311,WF20180311002,沖洗相片,3 ,,AN09854953,3,
24,1113,1070311,WF20180311002,沖洗相片,,60 ,AN09854953,3,
25,1113,1070312,WF20180312001,扺扣業主往來,410000 ,,,2,
26,1584,1070312,WF20180312001,,,410000 ,,2,
27,1113,1070312,WF20180312002,存入1萬,10000 ,,,2,
28,1584,1070312,WF20180312002,存入1萬,,10000 ,,2,
29,1239,1070313,WF20180313001,研發支出,333 ,,AN06148757,3,
30,6123,1070313,WF20180313001,研發支出,17 ,,AN06148757,3,
31,1113,1070313,WF20180313001,研發支出,,350 ,AN06148757,3,
32,1121,1070314,WF20180314001,,25850 ,,,5,
33,7243,1070314,WF20180314001,透過損益按公允價值衡量之金融資產,40 ,,,5,
34,1113,1070314,WF20180314001,透過損益按公允價值衡量之金融資產,,25890 ,,5,
35,1121,1070314,WF20180314002,,15428 ,,,5,
36,7243,1070314,WF20180314002,透過損益按公允價值衡量之金融資產,21 ,,,5,
37,1113,1070314,WF20180314002,透過損益按公允價值衡量之金融資產,,15449 ,,5,
38,1121,1070314,WF20180314003,,38450 ,,,5,
39,7243,1070314,WF20180314003,透過損益按公允價值衡量之金融資產,54 ,,,5,
40,1113,1070314,WF20180314003,透過損益按公允價值衡量之金融資產,,38504 ,,5,
41,1121,1070314,WF20180314004,,15102 ,,,5,
42,7243,1070314,WF20180314004,透過損益按公允價值衡量之金融資產,21 ,,,5,
43,1113,1070314,WF20180314004,透過損益按公允價值衡量之金融資產,,15123 ,,5,
44,1121,1070314,WF20180314005,,49140 ,,,5,
45,7243,1070314,WF20180314005,透過損益按公允價值衡量之金融資產,70 ,,,5,
