序號,會計編碼,日期,傳票編號,摘要,借方金額,貸方金額,發票號碼,收據,銷售人統編
1,5152,1070901,WF20180901001,辦公租用,1500,,,1,
2,1262,1070901,WF20180901001,辦公租用,,1500,,1,
3,6112,1070901,WF20180901002,9月份-主管辦公租金,500,,,1,
4,1262,1070901,WF20180901002,9月份-主管辦公租金,,500,,1,
5,5111,1070903,WF20180903001,8月份office365,263,,HF17250216,3,23525730
6,6123,1070903,WF20180903001,8月份office365,13,,HF17250216,3,23525730
7,1113,1070903,WF20180903001,8月份office365,,276,HF17250216,3,23525730
8,2171,1070905,WF20180905001,8月份副總薪資,4024,,,2,
9,2191,1070905,WF20180905001,8月份副總薪資,47463,,,2,
10,1113,1070905,WF20180905001,8月份副總薪資,,51487,,2,
11,6111,1070905,WF20180905002,8月份員工勞健保,2050,,,2,
12,1281,1070905,WF20180905002,8月份員工勞健保,,2050,,2,
13,6114,1070905,WF20180905003,加油,156,,HB29116405,3,98981766
14,6123,1070905,WF20180905003,稅捐,8,,HB29116405,3,98981766
15,1113,1070905,WF20180905003,加油,,158,HB29116405,3,98981766
16,5124,1070905,WF20180905003,加油折讓,,6,HB29116405,3,98981766
17,1113,1070906,WF20180906001,沖帳-WF20180831001-行動費用-業務人事行政使用,487,,,9,
18,1266,1070906,WF20180906001,沖帳-WF20180831001-行動費用-業務人事行政使用,,464,,9,
19,6123,1070906,WF20180906001,沖帳-WF20180831001-行動費用-業務人事行政使用,,23,,9,
20,6111,1070906,WF20180906002,8月份員工行動費用,503,,HE73071325,3,19683736
21,6123,1070906,WF20180906002,8月份員工行動費用,25,,HE73071325,3,19683736
22,1113,1070906,WF20180906002,8月份員工行動費用,,528,HE73071325,3,19683736
23,1586,1070909,WF20180909001,TP-LINK 5 埠桌上型交換器,190,,HB25280880,3,28413050
24,6123,1070909,WF20180909001,TP-LINK 5 埠桌上型交換器,9,,HB25280880,3,28413050
25,1113,1070909,WF20180909001,TP-LINK 5 埠桌上型交換器,,199,HB25280880,3,28413050
26,5111,1070913,WF20180913001,7月網路費,351,,HE73079074,3,19683736
27,6123,1070913,WF20180913001,7月網路費,18,,HE73079074,3,19683736
28,1113,1070913,WF20180913001,7月網路費,,369,HE73079074,3,19683736
29,5111,1070913,WF20180913002,8月網路費,351,,HE73079075,3,19683736
30,6123,1070913,WF20180913002,8月網路費,18,,HE73079075,3,19683736
31,1113,1070913,WF20180913002,8月網路費,,369,HE73079075,3,19683736
32,1262,1070915,WF20180915001,10月份租金預付,500,,,1,
33,1113,1070915,WF20180915001,10月份租金預付,,500,,1,
34,6114,1070917,WF20180917001,加油,131,,HB29116626,3,98981766
35,6123,1070917,WF20180917001,稅捐,6,,HB29116626,3,98981766
36,1113,1070917,WF20180917001,加油,,133,HB29116626,3,98981766
37,5124,1070917,WF20180917001,加油折讓,,4,HB29116626,3,98981766
38,5156,1070918,WF20180918001,8月份電話費,413,,HE73086447,3,19683736
39,6123,1070918,WF20180918001,8月份電話費,21,,HE73086447,3,19683736
40,1113,1070918,WF20180918001,8月份電話費,,434,HE73086447,3,19683736
41,1586,1070924,WF20180924001,三用電錶,85,,HC93465337,3,27240313
42,6123,1070924,WF20180924001,三用電錶,6,,HC93465337,3,27240313
43,5155,1070924,WF20180924001,三用電錶,48,,HC93465338,3,27240313
44,1113,1070924,WF20180924001,三用電錶,,139,HC93465337,3,27240313
45,1240,1070924,WF20180924002,線材,262,,,10,
46,5155,1070924,WF20180924002,線材,40,,,10,
47,1113,1070924,WF20180924002,線材,,292,,10,
48,5124,1070924,WF20180924002,線材,,10,,10,
49,1586,1070925,WF20180925001,充電供應轉換板-研發,305,,GF01834859,3,54174674
50,6123,1070925,WF20180925001,充電供應轉換板-研發,15,,GF01834859,3,54174674
51,1113,1070925,WF20180925001,充電供應轉換板-研發,,320,GF01834859,3,54174674
52,1586,1070925,WF20180925002,顯示擴充板,257,,GE50532639,3,53918629
53,6123,1070925,WF20180925002,顯示擴充板,13,,GE50532639,3,53918629
54,1113,1070925,WF20180925002,顯示擴充板,,270,GE50532639,3,53918629
55,6134,1070926,WF20180926001,採購貨品更換，快遞費用,28,,,2,
56,1113,1070926,WF20180926001,採購貨品更換，快遞費用,,28,,2,
57,6114,1070927,WF20180927001,加油,122,,HB29119553,3,98981766
58,6123,1070927,WF20180927001,稅捐,6,,HB29119553,3,98981766
59,1113,1070927,WF20180927001,加油,,124,HB29119553,3,98981766
60,5124,1070927,WF20180927001,加油折讓,,4,HB29119553,3,98981766
61,5111,1070930,WF20180930001,9月份yes123人力銀行,1067,,,1,
62,1262,1070930,WF20180930001,9月份yes123人力銀行,,1067,,1,
63,1262,1070930,WF20180930002,因沒空徵才-暫停不使用折讓,533,,,1,
64,5124,1070930,WF20180930002,因沒空徵才-暫停不使用折讓,,533,,1,
65,6111,1070930,WF20180930003,一個員工-8月份,45401,,,2,
66,6120,1070930,WF20180930003,9月份公司勞保費用,1487,,,2,
67,1266,1070930,WF20180930003,行動費用-業務人事行政使用,475,,,2,
68,6123,1070930,WF20180930003,行動費用-業務人事行政使用,24,,,2,
69,1281,1070930,WF20180930003,員工勞健保,2050,,,2,
70,2191,1070930,WF20180930003,一個員工-9月份,,50000,,2,
71,2171,1070930,WF20180930003,9月份公司勞保費用,,1487,,2,
72,5152,1071001,WF20181001001,辦公租用,1500,,,1,
73,1262,1071001,WF20181001001,辦公租用,,1500,,1,
74,6112,1071001,WF20181001002,10月份-主管辦公租金,500,,,1,
75,1262,1071001,WF20181001002,10月份-主管辦公租金,,500,,1,
76,1240,1071001,WF20181001006,電子材料組件,10,,HS98927011,3,80584033
77,1113,1071001,WF20181001006,電子材料組件,,10,HS98927011,3,80584033
78,1239,1071001,WF20181001007,鍚條,29,,HQ33656124,3,61431608
79,6123,1071001,WF20181001007,鍚條,1,,HQ33656124,3,61431608
80,1113,1071001,WF20181001007,鍚條,,30,HQ33656124,3,61431608
