序號,會計編碼,日期,傳票編號,摘要,種類,借,貸
1,1113,1080101,WF20190101005,入帳保管櫃零用金,1,100,
2,1284,1080101,WF20190101005,入帳保管櫃零用金,2,,100
3,1262,1080101,WF20190101007,1080214轉1080101營業地預付租金-客戶要求,1,8571,
4,2171,1080101,WF20190101007,1080214轉1080101營業地預付租金-客戶要求,2,,9000
5,6123,1080101,WF20190101007,1080214轉1080101營業地預付租金-客戶要求,1,429,
6,6134,1080102,WF20190102001,發票,1,18,
7,1113,1080102,WF20190102001,發票,2,,18
8,6116,1080103,WF20190103002,電話及網路費用,1,648,
9,6123,1080103,WF20190103002,市話及網路費用,1,32,
10,1113,1080103,WF20190103002,市話及網路費用,2,,680
11,6112,1080103,WF20190103003,1月份Office365 ,1,263,
12,6123,1080103,WF20190103003,1月份Office365,1,13,
13,1113,1080103,WF20190103003,1月份Office365,2,,276
14,6114,1080104,WF20190104001,加油,1,133,
15,6123,1080104,WF20190104001,加油,1,7,
16,1113,1080104,WF20190104001,加油,2,,140
17,6111,1080105,WF20190105001,去年12月份員工勞健保,1,2050,
18,1281,1080105,WF20190105001,去年12月份員工勞健保,2,,2050
19,2191,1080105,WF20190105002,1月份薪資-主管,1,49976,
20,2171,1080105,WF20190105002,1月份薪資-主管,1,1487,
21,1113,1080105,WF20190105002,1月份薪資-主管,2,,51463
22,6112,1080106,WF20190106001,1月-主管辦公費用,1,500,
23,1113,1080106,WF20190106001,1月-主管辦公費用,2,,500
24,6114,1080114,WF21090114001,加油,1,11,
25,6123,1080114,WF21090114001,加油,1,1,
26,1113,1080114,WF21090114001,加油,2,,12
27,6114,1080118,WF21090118001,加油,1,132,
28,6123,1080118,WF21090118001,加油,1,7,
29,1113,1080118,WF21090118001,加油,2,,139
30,1262,1080120,WF20190120001,2月-主管辦公費用,1,500,
31,1113,1080120,WF20190120001,2月-主管辦公費用,2,,500
32,1240,1080127,WF20190127001,Led燈,1,27,
33,6123,1080127,WF20190127001,Led燈,1,1,
34,1113,1080127,WF20190127001,Led燈,2,,28
35,1262,1080127,WF20190127002,1月份公司營業租金-待繳新約,2,,1500
36,6112,1080127,WF20190127002,1月份公司營業租金-待繳新約,1,1500,
37,6112,1080131,WF20190131003,2月份-主管辦公租金,1,500,
38,1262,1080131,WF20190131003,2月份-主管辦公租金,2,,500
39,6112,1080201,WF20190201001,2月份公司營業租金-待繳新約,1,1500,
40,1262,1080201,WF20190201001,2月份公司營業租金-待繳新約,2,,1500
41,6116,1080201,WF20190201004,電話及網路費用,1,746,
42,6123,1080201,WF20190201004,市話及網路費用,1,37,
43,1113,1080201,WF20190201004,市話及網路費用,2,,783
44,6112,1080203,WF20190203001,2月份Office365 ,1,263,
