序號,科目,日期,傳票,描述,借/貸,金額
1,6134,2024/4/1 上午 12:00:00,WF20240401001,2024-01-06--手機費,809,
2,6123,2024/4/1 上午 12:00:00,WF20240401001,2024-01-06--手機費,40,
3,1113,2024/4/1 上午 12:00:00,WF20240401001,2024-01-06--手機費,,849
4,6112,2024/4/1 上午 12:00:00,WF20240401002,2024-01-16--中華電信租金,637,
5,6123,2024/4/1 上午 12:00:00,WF20240401002,2024-01-16--中華電信租金,32,
6,1113,2024/4/1 上午 12:00:00,WF20240401002,2024-01-16--中華電信租金,,669
7,6134,2024/4/1 上午 12:00:00,WF20240401003,2024-01-06--零食,147,
8,6123,2024/4/1 上午 12:00:00,WF20240401003,2024-01-06--零食,7,
9,1113,2024/4/1 上午 12:00:00,WF20240401003,2024-01-06--零食,,154
10,6112,2024/4/1 上午 12:00:00,WF20240401004,2024-01-02--Office365,375,
11,6123,2024/4/1 上午 12:00:00,WF20240401004,2024-01-02--Office365,19,
12,1113,2024/4/1 上午 12:00:00,WF20240401004,2024-01-02--Office365,,394
13,6134,2024/4/1 上午 12:00:00,WF20240401005,2024-01-07--日常用品,190,
14,6123,2024/4/1 上午 12:00:00,WF20240401005,2024-01-07--日常用品,9,
15,1113,2024/4/1 上午 12:00:00,WF20240401005,2024-01-07--日常用品,,199
16,6134,2024/4/1 上午 12:00:00,WF20240401007,2024-01-12--日常用品,126,
17,6123,2024/4/1 上午 12:00:00,WF20240401007,2024-01-12--日常用品,6,
18,1113,2024/4/1 上午 12:00:00,WF20240401007,2024-01-12--日常用品,,132
19,6134,2024/4/1 上午 12:00:00,WF20240401008,2024-01-20--日常用品,670,
20,6123,2024/4/1 上午 12:00:00,WF20240401008,2024-01-20--日常用品,34,
21,1113,2024/4/1 上午 12:00:00,WF20240401008,2024-01-20--日常用品,,704
22,6134,2024/4/1 上午 12:00:00,WF20240401009,2024-02-11--日常用品,37,
23,6123,2024/4/1 上午 12:00:00,WF20240401009,2024-02-11--日常用品,2,
24,1113,2024/4/1 上午 12:00:00,WF20240401009,2024-02-11--日常用品,,39
25,6134,2024/4/1 上午 12:00:00,WF20240401010,2024-02-14--日常用品,52,
26,6123,2024/4/1 上午 12:00:00,WF20240401010,2024-02-14--日常用品,3,
27,1113,2024/4/1 上午 12:00:00,WF20240401010,2024-02-14--日常用品,,55
28,6114,2024/4/1 上午 12:00:00,WF20240401011,2024-01-17--加油,435,
29,6123,2024/4/1 上午 12:00:00,WF20240401011,2024-01-17--加油,22,
30,1113,2024/4/1 上午 12:00:00,WF20240401011,2024-01-17--加油,,457
31,6114,2024/4/1 上午 12:00:00,WF20240401012,2024-02-02--加油,645,
32,6123,2024/4/1 上午 12:00:00,WF20240401012,2024-02-02--加油,32,
33,1113,2024/4/1 上午 12:00:00,WF20240401012,2024-02-02--加油,,677
34,6114,2024/4/1 上午 12:00:00,WF20240401013,2024-02-17--加油,519,
35,6123,2024/4/1 上午 12:00:00,WF20240401013,2024-02-17--加油,26,
36,1113,2024/4/1 上午 12:00:00,WF20240401013,2024-02-17--加油,,545
37,6134,2024/4/1 上午 12:00:00,WF20240401014,2024-02-04--日常用品,172,
38,6123,2024/4/1 上午 12:00:00,WF20240401014,2024-02-04--日常用品,9,
39,1113,2024/4/1 上午 12:00:00,WF20240401014,2024-02-04--日常用品,,181
40,6134,2024/4/1 上午 12:00:00,WF20240401015,2024-02-07--日常用品,103,
41,6123,2024/4/1 上午 12:00:00,WF20240401015,2024-02-07--日常用品,5,
42,1113,2024/4/1 上午 12:00:00,WF20240401015,2024-02-07--日常用品,,108
43,6134,2024/4/1 上午 12:00:00,WF20240401016,2024-02-05--日常用品,185,
44,6123,2024/4/1 上午 12:00:00,WF20240401016,2024-02-05--日常用品,9,
45,1113,2024/4/1 上午 12:00:00,WF20240401016,2024-02-05--日常用品,,194
46,6134,2024/4/1 上午 12:00:00,WF20240401017,2024-02-07--日常用品,103,
47,6123,2024/4/1 上午 12:00:00,WF20240401017,2024-02-07--日常用品,5,
48,1113,2024/4/1 上午 12:00:00,WF20240401017,2024-02-07--日常用品,,108
49,6134,2024/4/1 上午 12:00:00,WF20240401018,2024-02-12--日常用品,103,
50,6123,2024/4/1 上午 12:00:00,WF20240401018,2024-02-12--日常用品,7,
51,1113,2024/4/1 上午 12:00:00,WF20240401018,2024-02-12--日常用品,,110
52,6134,2024/4/1 上午 12:00:00,WF20240401019,2024-02-14--日常用品,199,
53,6123,2024/4/1 上午 12:00:00,WF20240401019,2024-02-14--日常用品,10,
54,1113,2024/4/1 上午 12:00:00,WF20240401019,2024-02-14--日常用品,,209
55,6134,2024/4/1 上午 12:00:00,WF20240401020,2024-02-25--日常用品,312,
56,6123,2024/4/1 上午 12:00:00,WF20240401020,2024-02-25--日常用品,16,
57,1113,2024/4/1 上午 12:00:00,WF20240401020,2024-02-25--日常用品,,328
58,6134,2024/4/1 上午 12:00:00,WF20240401021,營業費用-大與西路,19,
59,6123,2024/4/1 上午 12:00:00,WF20240401021,營業費用-大與西路,1,
60,1113,2024/4/10 上午 12:00:00,WF20240401021,營業費用-大與西路,,20
61,6112,2024/4/1 上午 12:00:00,WF20240401022,2024-02-03--Office365,375,
62,6123,2024/4/1 上午 12:00:00,WF20240401022,2024-02-03--Office365,19,
63,1113,2024/4/1 上午 12:00:00,WF20240401022,2024-02-03--Office365,,394
64,6134,2024/4/1 上午 12:00:00,WF20240401023,2024-02-06--手機費,762,
65,6123,2024/4/1 上午 12:00:00,WF20240401023,2024-02-06--手機費,38,
66,1113,2024/4/1 上午 12:00:00,WF20240401023,2024-02-06--手機費,,800
67,6134,2024/4/1 上午 12:00:00,WF20240401024,2024-02-08--營業費用,167,
68,6123,2024/4/1 上午 12:00:00,WF20240401024,2024-02-08--營業費用,8,
69,1113,2024/4/1 上午 12:00:00,WF20240401024,2024-02-08--營業費用,,175
70,6134,2024/4/1 上午 12:00:00,WF20240401025,2024-02-08--日常用品,727,
71,6123,2024/4/1 上午 12:00:00,WF20240401025,2024-02-08--日常用品,36,
72,1113,2024/4/1 上午 12:00:00,WF20240401025,2024-02-08--日常用品,,763
73,6134,2024/4/1 上午 12:00:00,WF20240401026,2024-02-16--生活雨品,161,
74,6123,2024/4/1 上午 12:00:00,WF20240401026,2024-02-16--生活雨品,8,
75,1113,2024/4/1 上午 12:00:00,WF20240401026,2024-02-16--生活雨品,,169
76,6134,2024/4/1 上午 12:00:00,WF20240401027,2024-02-18--生活用品,504,
77,6123,2024/4/1 上午 12:00:00,WF20240401027,2024-02-18--生活用品,25,
78,1113,2024/4/1 上午 12:00:00,WF20240401027,2024-02-18--生活用品,,529
79,6134,2024/4/1 上午 12:00:00,WF20240401028,2024-02-21--電信費,1690,
80,6123,2024/4/1 上午 12:00:00,WF20240401028,2024-02-21--電信費,85,
81,1113,2024/4/1 上午 12:00:00,WF20240401028,2024-02-21--電信費,,1775
82,6114,2024/4/1 上午 12:00:00,WF20240401029,2024-01-04--加油,101,
83,6123,2024/4/1 上午 12:00:00,WF20240401029,2024-01-04--加油,5,
84,1113,2024/4/1 上午 12:00:00,WF20240401029,2024-01-04--加油,,106
85,6112,2024/4/2 上午 12:00:00,WF20240402001,Office365,400,
86,6123,2024/4/2 上午 12:00:00,WF20240402001,Office365,20,
87,1113,2024/4/2 上午 12:00:00,WF20240402001,Office365,,420
88,6134,2024/4/3 上午 12:00:00,WF20240403001,工具,13,
89,6123,2024/4/3 上午 12:00:00,WF20240403001,工具,1,
90,1113,2024/4/3 上午 12:00:00,WF20240403001,工具,,14
91,6114,2024/4/6 上午 12:00:00,WF20240406001,加油,140,
92,6123,2024/4/6 上午 12:00:00,WF20240406001,加油,7,
93,1113,2024/4/6 上午 12:00:00,WF20240406001,加油,,147
94,6134,2024/4/7 上午 12:00:00,WF20240407001,日常用品,105,
95,6123,2024/4/7 上午 12:00:00,WF20240407001,日常用品,5,
96,1113,2024/4/7 上午 12:00:00,WF20240407001,日常用品,,110
97,6134,2024/4/10 上午 12:00:00,WF20240410001,手機費,762,
98,6123,2024/4/10 上午 12:00:00,WF20240410001,手機費,38,
99,1113,2024/4/10 上午 12:00:00,WF20240410001,手機費,,800
100,6134,2024/4/14 上午 12:00:00,WF20240414001,檢修主機-散熱膏,19,
101,6123,2024/4/14 上午 12:00:00,WF20240414001,檢修主機-散熱膏,1,
102,1113,2024/4/14 上午 12:00:00,WF20240414001,檢修主機-散熱膏,,20
103,6134,2024/4/15 上午 12:00:00,WF20240415001,日常用品,142,
104,6123,2024/4/15 上午 12:00:00,WF20240415001,日常用品,7,
105,1113,2024/4/15 上午 12:00:00,WF20240415001,日常用品,,149
106,6134,2024/4/15 上午 12:00:00,WF20240415002,日常用品,195,
107,6123,2024/4/15 上午 12:00:00,WF20240415002,日常用品,10,
108,1113,2024/4/15 上午 12:00:00,WF20240415002,日常用品,,205
109,6112,2024/4/16 上午 12:00:00,WF20240416001,電信費、網路費、Mod,1394,
110,6123,2024/4/16 上午 12:00:00,WF20240416001,電信費、網路費、Mod,70,
111,1113,2024/4/16 上午 12:00:00,WF20240416001,電信費、網路費、Mod,,1464
112,6134,2024/4/18 上午 12:00:00,WF20240418001,日常用品,85,
113,6123,2024/4/18 上午 12:00:00,WF20240418001,日常用品,4,
114,1113,2024/4/18 上午 12:00:00,WF20240418001,日常用品,,89
115,6114,2024/4/21 上午 12:00:00,WF20240421001,加油,89,
116,6123,2024/4/21 上午 12:00:00,WF20240421001,加油,4,
117,1113,2024/4/21 上午 12:00:00,WF20240421001,加油,,93
118,6134,2024/4/23 上午 12:00:00,WF20240423001,日常生活,10,
119,1113,2024/4/23 上午 12:00:00,WF20240423001,日常生活,,10
120,6134,2024/4/28 上午 12:00:00,WF20240428001,營業用品,35,
121,6123,2024/4/28 上午 12:00:00,WF20240428001,營業用品,2,
122,1113,2024/4/28 上午 12:00:00,WF20240428001,營業用品,,37
123,6114,2024/4/30 上午 12:00:00,WF20240430001,加油,105,
124,6123,2024/4/30 上午 12:00:00,WF20240430001,加油,5,
125,1113,2024/4/30 上午 12:00:00,WF20240430001,加油,,110
