序號,科目,日期,傳票,描述,借/貸,貸,銷售人統編,購買人統編,發票
1,6123,1121002,WF20231002001,辦公費用--Office365,19,,,,
2,5111,1121002,WF20231002001,辦公費用--Office365,375,,,,
3,1113,1121002,WF20231002001,辦公費用--Office365,,394,,,
4,6114,1121007,WF20231007001,油資,151,,,,
5,6123,1121007,WF20231007001,油資,8,,,,
6,1113,1121007,WF20231007001,油資,,159,,,
7,5111,1121006,WF20231007002,0802--辦公費用-Office365,375,,,,
8,6123,1121006,WF20231007002,0802--辦公費用-Office365,19,,,,
9,1113,1121006,WF20231007002,0802--辦公費用-Office365,,394,,,
10,6134,1121016,WF20231016001,營業費用-外包接案成本,560,,,,
11,6123,1121016,WF20231016001,營業費用-外包接案成本-稅收,28,,,,
12,1113,1121016,WF20231016001,營業費用-外包接案成本-稅收,,588,,,
