1分類,2分類,編號,Acc_Type,財產名稱,會科,科目,數量,單位,取得時間,外帳,價格(取得原價),帳面,預留殘值,取得原價減預留殘值,耐用或攤折年數(原表),已攤提年月,月數,本期提列數,重估前折舊,截至本期止累計數,未折減餘額,備註
103,1,3,3,文具一批-切紙機,文具用品,6113,1,組,2018/1/4,,799,799,0,0,0,,0,12,0,0,0,
501,1,1,2,電腦網站、軟體模版、公司網站,無形資產,1555,1,組,2018/1/10,,300000,243000,15000,285000,5,,12,12,0,57000,228000,
320,1,16,1,投影機,其他資產/不予列入,9999,1,台,2018/1/28,2,2980,2980,0,0,3,,0,12,0,0,0,
103,1,4,3,公司大小章,資產/費用,9999,1,式,2018/1/30,,450,450,0,0,0,,0,12,0,0,0,
320,1,15,1,KX-MB2128TW,其他資產,1586,1,台,2018/3/31,1,6743,4964,337,6406,3,,10,10,0,0,4626,
501,1,3,1,WINDOWS SERVER,無形資產/不予列入,9999,1,項,2018/5/15,2,14800,12620,740,14060,4,,8,8,0,0,11880,
320,2,3,1,Notebook,資產,1586,1,台,2018/6/4,1,18000,14675,900,17100,3,,7,7,0,3325,13775,20349
320,1,4,1,設計硬體設備-01,資產,1586,1,組,2018/6/30,1,6656,4548,333,6323,1.5,,12,7,0,2108,4215,
320,1,5,1,設計硬體設備-附件,資產,1586,1,組,2018/6/30,1,3974,2851,209,3963,1.5,,12,7,0,1321,2642,
309,1,1,1,電動零件,資產,1586,1,台,2018/7/25,1,853,718,43,810,1.5,,6,6,0,135,675,2018/12/31
320,1,14,1,NOTEBOOK K43E,其他資產/不予列入,9999,1,台,2018/8/1,1,6567,5527,328,6239,3,,6,5,0,0,5199,
320,1,13,1,usb 3.0 集線器,其他資產,1586,1,台,2018/8/20,1,182,158,9,173,3,,5,5,0,0,149,
320,1,7,1,研發電子零件,其他資產,1586,1,台,2018/8/22,1,2332,855.0666667,2332,2332,1.5,,12,5,0,1,0,
320,1,12,1,switch,其他資產,1586,1,台,2018/9/9,1,190,170,10,181,3,,4,4,0,0,160,
311,1,1,1,三用電錶,其他資產,1586,1,項,2018/9/24,1,85,76,4,81,1.5,,4,4,0,9,72,
320,1,17,1,充電供應轉換板-研發,其他資產,1586,1,項,2018/9/25,1,305,273,15,290,1.5,0,4,4,0,0,258,107年不攤提
320,1,18,1,顯示擴充板,其他資產,1586,1,項,2018/9/25,1,257,230,13,244,1.5,0,4,4,0,0,217,107年不攤提
601,1,1,2,WF20181001008--2018-10-01-研究資材,其他資產,1533,1,項,2018/10/1,1,85,58,4,81,3,0,3,3,0,0,54,43830
320,1,19,1,研究發展的電路板設備、連接線,其他資產,1586,1,項,2018/10/4,1,971,894,49,922,1.5,0,3,3,0,0,846,107年不攤提
601,1,3,2,WF20181006001-2018-10-06-研究資材,攤提,1533,1,項,2018/10/6,1,240,164,12,228,3,0,3,3,0,0,152,
320,1,8,1,研發電子零件一式,其他資產,1586,1,台,2018/10/8,1,908,836,45,863,1.5,,3,3,0,72,791,
601,1,2,2,WF20181017001-2018-10-17-研究資材,其他資產,1533,1,項,2018/10/17,1,1257,859,63,1194,3,0,3,3,0,0,796,
320,1,10,1,NodeMcu、研發電子零件一批,其他資產,1586,1,組,2018/11/7,1,695,658,35,660,1.5,,2,2,0,0,624,
320,1,9,1,研發電子零件一批,其他資產,1586,1,組,2018/11/16,1,743,704,37,706,1.5,,0,2,0,0,667,2018/12/31
602,1,1,2,WF20181231096-研發系統及模組,無形資產,1586,1,項,2018/12/31,1,235650,213263,11783,223868,10,0,0,1,0,0,201481,
320,1,20,1,通訊用品,其他資產,1586,2,件,2018/10/9,1,360,303,18,342,1.5,0,3,0.25,0,57,303,2018/12/31
320,1,21,1,鉗子工具,其他資產,1586,1,件,2018/10/14,1,114,95.95,5.7,108.3,1.5,0,3,0.25,0,18.05,95.95,2018/12/31
320,1,22,1,電源轉接夾-使用各項連接零件上,其他資產,1586,1,項,2018/10/25,1,28,23.56666667,1.4,26.6,1.5,0,3,0.25,0,4.433333333,23.56666667,
320,1,23,1,吸鍚器,其他資產,1586,1,項,2018/10/25,1,56,47.13333333,2.8,53.2,1.5,0,3,0.25,0,8.866666667,47.13333333,
320,1,24,1,電腦移動位置器具,其他資產,1586,1,項,2018/11/23,1,285,254.9166667,14.25,270.75,1.5,0,2,0.166666667,0,30.08333333,254.9166667,
320,1,25,1,研發零件乙批,其他資產,1586,1,項,2018/12/10,1,588,556.9666667,29.4,558.6,1.5,0,1,0.083333333,0,31.03333333,556.9666667,
320,1,26,1,研發零件乙批-研發費用-材料,其他資產,1586,1,項,2018/12/24,1,570,539.9166667,28.5,541.5,1.5,0,1,0.083333333,0,30.08333333,539.9166667,
320,1,27,1,電子器材-電路板熱接處理器材,其他資產,1586,1,項,2018/12/27,1,155,146.8194444,7.75,147.25,1.5,0,1,0.083333333,0,8.180555556,146.8194444,
