序號,會計編碼,排序,計算編碼,借/貸,金額,描述,類別,報表型式,建立日期,
1642,4111,1,0,2,8019.0000,營業收入,營業淨利,1,2020/11/13 下午 12:29:48,
1643,4113,2,0,1,0.0000,銷貨退回,營業淨利,1,2020/11/13 下午 12:29:48,
1644,4114,3,0,1,0.0000,銷貨折讓,營業淨利,1,2020/11/13 下午 12:29:48,
1645,4141,4,0,2,0.0000,其他收入,營業淨利,1,2020/11/13 下午 12:29:48,
1646,,5,1,3,0.0000,營業收入淨額,營業淨利,1,2020/11/13 下午 12:29:48,
1647,5,6,2,3,-30383.0000,營業成本,營業淨利,1,2020/11/13 下午 12:29:48,
1648,,7,3,3,-22364.0000,營業毛利,營業淨利,1,2020/11/13 下午 12:29:48,
1649,,8,4,3,-278.8800,毛利率,營業淨利,1,2020/11/13 下午 12:29:48,
1650,,9,5,3,-329761.0000,營業費用及損失總額,營業淨利,1,2020/11/13 下午 12:29:48,
1651,,10,6,3,-41.1200,費用率,營業淨利,1,2020/11/13 下午 12:29:48,
1652,6111,11,0,1,266.1900,薪資支出,營業淨利,1,2020/11/13 下午 12:29:48,
1653,6112,12,0,1,18342.0000,租金支出,營業淨利,1,2020/11/13 下午 12:29:48,
1654,6113,14,0,1,1442.0000,文具用品,營業淨利,1,2020/11/13 下午 12:29:48,
1655,6114,15,0,1,5293.0000,旅費,營業淨利,1,2020/11/13 下午 12:29:48,
1656,6115,18,0,1,100.0000,運費,營業淨利,1,2020/11/13 下午 12:29:48,
1657,6116,20,0,1,0.0000,郵電費,營業淨利,1,2020/11/13 下午 12:29:48,
1658,6117,21,0,1,0.0000,修繕費,營業淨利,1,2020/11/13 下午 12:29:48,
1659,6118,22,0,1,0.0000,廣告費,營業淨利,1,2020/11/13 下午 12:29:48,
1660,6119,23,0,1,0.0000,水電瓦斯費,營業淨利,1,2020/11/13 下午 12:29:48,
1661,6120,24,0,1,19230.0000,保險費,營業淨利,1,2020/11/13 下午 12:29:48,
1662,6121,25,0,1,0.0000,交際費,營業淨利,1,2020/11/13 下午 12:29:48,
1663,6122,26,0,1,3222.0000,捐贈,營業淨利,1,2020/11/13 下午 12:29:48,
1664,5162,27,0,1,0.0000,稅捐,營業淨利,1,2020/11/13 下午 12:29:48,
1665,6123,28,0,1,3820.0000,稅捐,營業淨利,1,2020/11/13 下午 12:29:48,
1666,6124,29,0,1,0.0000,呆帳損失,營業淨利,1,2020/11/13 下午 12:29:48,
1667,6125,30,0,1,0.0000,折舊,營業淨利,1,2020/11/13 下午 12:29:48,
1668,6126,31,0,1,0.0000,各項耗竭及攤提,營業淨利,1,2020/11/13 下午 12:29:48,
1669,6127,32,0,1,0.0000,外銷損失,營業淨利,1,2020/11/13 下午 12:29:48,
1670,6128,33,0,1,0.0000,伙食費,營業淨利,1,2020/11/13 下午 12:29:48,
1671,6129,34,0,1,0.0000,職工福利,營業淨利,1,2020/11/13 下午 12:29:48,
1672,6130,35,0,1,10733.0000,研究發展費,營業淨利,1,2020/11/13 下午 12:29:48,
1673,6131,36,0,1,0.0000,佣金支出,營業淨利,1,2020/11/13 下午 12:29:48,
1674,6132,37,0,1,0.0000,訓練費,營業淨利,1,2020/11/13 下午 12:29:48,
1675,6134,38,0,1,1389.0000,其他費用,營業淨利,1,2020/11/13 下午 12:29:48,
1676,,39,7,3,-352125.0000,營業淨利,營業淨利,1,2020/11/13 下午 12:29:48,
1677,,40,8,3,-43.9100,營業淨利率,營業淨利,1,2020/11/13 下午 12:29:48,
1678,,41,9,3,10783.0000,非營業收入總額,非營業收入總額,2,2020/11/13 下午 12:29:48,
1679,7141,42,0,2,6130.0000,投資收益,非營業收入總額,2,2020/11/13 下午 12:29:48,
1680,7191,43,0,2,0.0000,股利及盈餘,非營業收入總額,2,2020/11/13 下午 12:29:48,
1681,7111,44,0,2,7.0000,利息收入,非營業收入總額,2,2020/11/13 下午 12:29:48,
1682,7121,45,0,2,0.0000,租賃收入,非營業收入總額,2,2020/11/13 下午 12:29:48,
1683,7161,46,0,2,809.0000,處分資產利益,非營業收入總額,2,2020/11/13 下午 12:29:48,
1684,7232,47,0,2,0.0000,佣金收入,非營業收入總額,2,2020/11/13 下午 12:29:48,
1685,7181,48,0,2,0.0000,兌換盈益,非營業收入總額,2,2020/11/13 下午 12:29:48,
1686,7247,49,0,2,3837.0000,其他收入,非營業收入總額,2,2020/11/13 下午 12:29:48,
1687,7236,69,0,2,0.0000,手續費收入,非營業收入總額,2,2020/11/13 下午 12:29:48,
1688,,50,10,3,-6513.0000,非營業損失及費用總額,非營業損失總額,3,2020/11/13 下午 12:29:48,
1689,7151,51,0,1,0.0000,利息支出,非營業損失總額,3,2020/11/13 下午 12:29:48,
1690,7162,52,0,1,5578.0000,投資損失,非營業損失總額,3,2020/11/13 下午 12:29:48,
1691,7202,53,0,1,0.0000,處分資產損失,非營業損失總額,3,2020/11/13 下午 12:29:48,
1692,7242,54,0,1,0.0000,災害損失,非營業損失總額,3,2020/11/13 下午 12:29:48,
