序號,會計編碼,排序,計算編碼,借/貸,金額,描述,類別,報表型式,建立日期,
2642,4111,1,0,2,8019.0000,營業收入,營業淨利,1,2021/2/1 下午 05:05:56,
2643,4113,2,0,1,0.0000,銷貨退回,營業淨利,1,2021/2/1 下午 05:05:56,
2644,4114,3,0,1,0.0000,銷貨折讓,營業淨利,1,2021/2/1 下午 05:05:56,
2645,4141,4,0,2,0.0000,其他收入,營業淨利,1,2021/2/1 下午 05:05:56,
2646,,5,1,3,0.0000,營業收入淨額,營業淨利,1,2021/2/1 下午 05:05:56,
2647,5,6,2,3,-30383.0000,營業成本,營業淨利,1,2021/2/1 下午 05:05:56,
2648,,7,3,3,-22364.0000,營業毛利,營業淨利,1,2021/2/1 下午 05:05:56,
2649,,8,4,3,-278.8800,毛利率,營業淨利,1,2021/2/1 下午 05:05:56,
2650,,9,5,3,-329761.0000,營業費用及損失總額,營業淨利,1,2021/2/1 下午 05:05:56,
2651,,10,6,3,-41.1200,費用率,營業淨利,1,2021/2/1 下午 05:05:56,
2652,6111,11,0,1,266.1900,薪資支出,營業淨利,1,2021/2/1 下午 05:05:56,
2653,6112,12,0,1,18342.0000,租金支出,營業淨利,1,2021/2/1 下午 05:05:56,
2654,6113,14,0,1,1442.0000,文具用品,營業淨利,1,2021/2/1 下午 05:05:56,
2655,6114,15,0,1,5293.0000,旅費,營業淨利,1,2021/2/1 下午 05:05:56,
2656,6115,18,0,1,100.0000,運費,營業淨利,1,2021/2/1 下午 05:05:56,
2657,6116,20,0,1,0.0000,郵電費,營業淨利,1,2021/2/1 下午 05:05:56,
2658,6117,21,0,1,0.0000,修繕費,營業淨利,1,2021/2/1 下午 05:05:56,
2659,6118,22,0,1,0.0000,廣告費,營業淨利,1,2021/2/1 下午 05:05:56,
2660,6119,23,0,1,0.0000,水電瓦斯費,營業淨利,1,2021/2/1 下午 05:05:56,
2661,6120,24,0,1,19230.0000,保險費,營業淨利,1,2021/2/1 下午 05:05:56,
2662,6121,25,0,1,0.0000,交際費,營業淨利,1,2021/2/1 下午 05:05:56,
2663,6122,26,0,1,3222.0000,捐贈,營業淨利,1,2021/2/1 下午 05:05:56,
2664,5162,27,0,1,0.0000,稅捐,營業淨利,1,2021/2/1 下午 05:05:56,
2665,6123,28,0,1,3820.0000,稅捐,營業淨利,1,2021/2/1 下午 05:05:56,
2666,6124,29,0,1,0.0000,呆帳損失,營業淨利,1,2021/2/1 下午 05:05:56,
2667,6125,30,0,1,0.0000,折舊,營業淨利,1,2021/2/1 下午 05:05:56,
2668,6126,31,0,1,0.0000,各項耗竭及攤提,營業淨利,1,2021/2/1 下午 05:05:56,
2669,6127,32,0,1,0.0000,外銷損失,營業淨利,1,2021/2/1 下午 05:05:56,
2670,6128,33,0,1,0.0000,伙食費,營業淨利,1,2021/2/1 下午 05:05:56,
