序號,說明,會計科目,項目,傳票,金額,當期日,月份,借/貸,發票,核對,紙本,電子,金融資產,銀行
2790,預付109年1.2月租金,1262,1,WF20200101001,500,2020/1/1 上午 12:00:00,1,1,,,,,,
2792,預付109年1.2月租金,1113,2,WF20200101001,500,2020/1/1 上午 12:00:00,1,2,,,,,,
2794,1月份辦公費用,6112,1,WF20200101002,500,2020/1/1 上午 12:00:00,1,1,,,,,,
2796,1月份辦公費用,1262,2,WF20200101002,500,2020/1/1 上午 12:00:00,1,2,,,,,,
2798,108年1月業務支出-帳目已修正,2171,1,WF20200103001,562,2020/1/3 上午 12:00:00,1,1,YC39584398,V,,,,
2800,108年1月業務支出-帳目已修正,1113,2,WF20200103001,562,2020/1/3 上午 12:00:00,1,2,YC39584398,V,,,,
2802,1月份Office,6112,1,WF20200104001,285,2020/1/4 上午 12:00:00,1,1,YC28144129,v,,,,
2804,1月份Office,6123,2,WF20200104001,14,2020/1/4 上午 12:00:00,1,1,YC28144129,v,,,,
2806,1月份Office,1113,3,WF20200104001,299,2020/1/4 上午 12:00:00,1,2,YC28144129,v,,,,
2808,加油,6114,1,WF20200104002,48,2020/1/4 上午 12:00:00,1,1,XF13551119,V,,,,
2810,加油,6123,2,WF20200104002,2,2020/1/4 上午 12:00:00,1,1,XF13551119,V,,,,
2812,加油,1113,3,WF20200104002,50,2020/1/4 上午 12:00:00,1,2,XF13551119,V,,,,
2776,0106-WH59436994-Office換約折讓單,1113,1,WF20190106001,381,2020/1/6 上午 12:00:00,1,1,WH59436994,已沖銷,,V,,
2778,0106-WH59436994-Office換約折讓單,5124,2,WF20190106001,363,2020/1/6 上午 12:00:00,1,2,WH59436994,已沖銷,,V,,
2780,0106-WH59436994-Office換約折讓單,6123,3,WF20190106001,18,2020/1/6 上午 12:00:00,1,2,WH59436994,已沖銷,,V,,
2781,預付投資、最新消息媒體費,1262,1,WF20190106002,1683,2020/1/6 上午 12:00:00,1,1,XG47859035,v,,,,
2782,預付投資、最新消息媒體費,1113,2,WF20190106002,1683,2020/1/6 上午 12:00:00,1,2,XG47859035,v,,,,
2784,加油,6114,1,WF20190107001,133,2020/1/7 上午 12:00:00,1,1,YB22993444,v,,,,
2786,加油,6123,2,WF20190107001,7,2020/1/7 上午 12:00:00,1,1,YB22993444,v,,,,
2788,加油,1113,3,WF20190107001,140,2020/1/7 上午 12:00:00,1,2,YB22993444,v,,,,
2813,108年12月份薪資,2191,1,WF20200110001,34265,2020/1/10 上午 12:00:00,1,1,,,,,,
2814,108年12月份薪資,2171,2,WF20200110001,2474,2020/1/10 上午 12:00:00,1,1,,,,,,
2815,108年12月份薪資,1113,3,WF20200110001,36739,2020/1/10 上午 12:00:00,1,2,,,,,,
2816,108年12月勞健保,6111,1,WF20200110002,2328,2020/1/10 上午 12:00:00,1,1,,,,,,
2817,108年12月勞健保,1281,2,WF20200110002,2328,2020/1/10 上午 12:00:00,1,2,,,,,,
2819,1月份郵電費,6116,1,WF20200115001,637,2020/1/15 上午 12:00:00,1,1,YC39596834,v,,,,
2821,1月份郵電費,6123,2,WF20200115001,32,2020/1/15 上午 12:00:00,1,1,YC39596834,v,,,,
2823,1月份郵電費,1113,3,WF20200115001,669,2020/1/15 上午 12:00:00,1,2,YC39596834,v,,,,
2825,加油,6114,1,WF20200117001,137,2020/1/17 上午 12:00:00,1,1,YB22993633,v,,,,
2827,加油,6123,2,WF20200117001,7,2020/1/17 上午 12:00:00,1,1,YB22993633,v,,,,
2829,加油,1113,3,WF20200117001,144,2020/1/17 上午 12:00:00,1,2,YB22993633,v,,,,
2831,水電材料1項,6134,1,WF20200119001,285,2020/1/19 上午 12:00:00,1,1,XF13687730,v,,,,
2833,水電材料1項,6123,2,WF20200119001,14,2020/1/19 上午 12:00:00,1,1,XF13687730,v,,,,
2835,水電材料1項,1113,3,WF20200119001,299,2020/1/19 上午 12:00:00,1,2,XF13687730,v,,,,
2837,參加1年1度數據資料競賽說明會,6114,1,WF20200121001,19,2020/1/21 上午 12:00:00,1,1,YR22993633,v,,,,
2839,參加1年1度數據資料競賽說明會,6123,2,WF20200121001,1,2020/1/21 上午 12:00:00,1,1,YR22993633,v,,,,
2841,參加1年1度數據資料競賽說明會,1113,3,WF20200121001,20,2020/1/21 上午 12:00:00,1,2,YR22993633,v,,,,
2843,1月份業務支出 ,1261,1,WF20200131001,475,2020/1/31 上午 12:00:00,1,1,,v,,,,
2845,1月份業務支出 ,6123,2,WF20200131001,24,2020/1/31 上午 12:00:00,1,1,,v,,,,
2847,1月份業務支出 ,1113,3,WF20200131001,499,2020/1/31 上午 12:00:00,1,2,,v,,,,
