序號,說明,會計科目,項目,傳票,金額,當期日,月份,借/貸,發票,發票日期,種類,狀態,
2606,12月份office,6112,1,WF20201201001,500.00,2020/12/1 上午 12:00:00,12,1,,,0,1,
2607,12月份office,1262,2,WF20201201001,500.00,2020/12/1 上午 12:00:00,12,2,,,0,1,
2608,12月份預付投資、最新消息媒體費,6134,1,WF20201201002,775.00,2020/12/1 上午 12:00:00,12,1,,,0,1,
2609,12月份預付投資、最新消息媒體費

,1262,2,WF20201201002,775.00,2020/12/1 上午 12:00:00,12,2,,,0,1,
2610,12月份郵電費-1216,6116,1,WF20201201003,830.00,2020/12/1 上午 12:00:00,12,1,,,0,1,
2611,12月份郵電費-1216,6123,2,WF20201201003,41.00,2020/12/1 上午 12:00:00,12,1,,,0,1,
2612,12月份郵電費-1216,1113,3,WF20201201003,871.00,2020/12/1 上午 12:00:00,12,2,,,0,1,
2627,11月份業務支出,6111,1,WF20201201004,777.00,2020/12/1 上午 12:00:00,12,1,,,0,1,
3035,11月份業務支出-蕭副總短少電話費-預支,1261,1,WF20201201004,316.00,2020/12/1 上午 12:00:00,12,1,,,3,0,
2628,11月份業務支出,6123,2,WF20201201004,57.00,2020/12/1 上午 12:00:00,12,1,,,0,1,
2629,11月份業務支出,1113,3,WF20201201004,373.00,2020/12/1 上午 12:00:00,12,2,,,0,1,
2630,11月份業務支出,1281,4,WF20201201004,777.00,2020/12/1 上午 12:00:00,12,2,,,0,1,
2613,12月份office365-1202,6112,1,WF20201203001,285.00,2020/12/3 上午 12:00:00,12,1,,,0,1,
2614,12月份office365-1202,6123,2,WF20201203001,14.00,2020/12/3 上午 12:00:00,12,1,,,0,1,
2615,12月份office365-1202,1113,3,WF20201203001,299.00,2020/12/3 上午 12:00:00,12,2,,,0,1,
2622,12月份薪資支出,2171,1,WF20201210001,3206.00,2020/12/10 上午 12:00:00,12,1,,,0,1,
2623,12月份薪資支出,2191,2,WF20201210001,18229.00,2020/12/10 上午 12:00:00,12,1,,,0,1,
2624,12月份薪資支出,1113,3,WF20201210001,21435.00,2020/12/10 上午 12:00:00,12,2,,,0,1,
2625,12月份勞健保支出,6111,1,WF20201210002,696.00,2020/12/10 上午 12:00:00,12,1,,,0,1,
2626,12月份勞健保支出,1281,2,WF20201210002,696.00,2020/12/10 上午 12:00:00,12,2,,,0,1,
2631,油資,6123,1,WF20201212001,6.00,2020/12/12 上午 12:00:00,12,1,,,0,1,
2633,油資,6114,2,WF20201212001,112.00,2020/12/12 上午 12:00:00,12,1,,,0,1,
2632,油資,1113,3,WF20201212001,118.00,2020/12/12 上午 12:00:00,12,2,,,0,1,
2662,董事長購買股本,1113,1,WF20201214001,15210.00,2020/12/14 上午 12:00:00,12,1,,,0,1,
2663,董事長購買股本,3113,2,WF20201214001,15210.00,2020/12/14 上午 12:00:00,12,2,,,0,1,
2634,停車費用-停車亭-民生物聯網-劍潭捷運站,6134,1,WF20201218001,20.00,2020/12/18 上午 12:00:00,12,1,,,0,1,
2635,停車費用-停車亭-民生物聯網-劍潭捷運站,1113,2,WF20201218001,20.00,2020/12/18 上午 12:00:00,12,2,,,0,1,
2681,12月份薪資,6111,1,WF20201231001,16283.00,2020/12/31 上午 12:00:00,12,1,,,0,1,
2682,12月份薪資,1281,2,WF20201231001,696.00,2020/12/31 上午 12:00:00,12,1,,,0,1,
2683,12月份薪資,6120,3,WF20201231001,2474.00,2020/12/31 上午 12:00:00,12,1,,,0,1,
2684,12月份薪資-給付日前短少之薪資,1261,4,WF20201231001,1178.00,2020/12/31 上午 12:00:00,12,1,,,0,1,
2685,12月份薪資,2171,5,WF20201231001,2474.00,2020/12/31 上午 12:00:00,12,2,,,0,1,
2686,12月份薪資,2191,6,WF20201231001,18157.00,2020/12/31 上午 12:00:00,12,2,,,0,1,
2687,業務支出短少，薪資給付-再計算,6111,1,WF20201231002,520.00,2020/12/31 上午 12:00:00,12,1,,,0,1,
2688,業務支出短少，薪資給付-再計算,1261,2,WF20201231002,520.00,2020/12/31 上午 12:00:00,12,2,,,0,1,
2694,110年1月份業務支出,6111,6,WF20201231003,658.00,2020/12/31 上午 12:00:00,12,1,,,3,0,
2695,110年1月份業務支出,6123,7,WF20201231003,33.00,2020/12/31 上午 12:00:00,12,1,,,3,0,
2696,110年1月份業務支出,1261,8,WF20201231003,658.00,2020/12/31 上午 12:00:00,12,2,,,3,0,
2697,110年1月份業務支出,1113,9,WF20201231003,33.00,2020/12/31 上午 12:00:00,12,2,,,3,0,
