序號,項目,會計科目,月份,當期日,傳票,說明,發票,借/貸,金額,所屬月份,
1954,1,7243,4,2020/4/14 上午 12:00:00,WF20200414001,透過損益按公允價值衡量之金融資產,,1,20.00,4,
1956,2,1121,4,2020/4/14 上午 12:00:00,WF20200414001,透過損益按公允價值衡量之金融資產,,1,6300.00,4,
1955,3,1113,4,2020/4/14 上午 12:00:00,WF20200414001,透過損益按公允價值衡量之金融資產,,2,6320.00,4,
1957,1,7243,4,2020/4/14 上午 12:00:00,WF20200414002,透過損益按公允價值衡量之金融資產,,1,20.00,4,
1959,2,1121,4,2020/4/14 上午 12:00:00,WF20200414002,透過損益按公允價值衡量之金融資產,,1,8380.00,4,
1958,3,1113,4,2020/4/14 上午 12:00:00,WF20200414002,透過損益按公允價值衡量之金融資產,,2,8400.00,4,
1997,1,1121,4,2020/4/14 上午 12:00:00,WF20200414003,透過損益按公允價值衡量之金融資產,,1,34750.00,4,
1998,2,7243,4,2020/4/14 上午 12:00:00,WF20200414003,透過損益按公允價值衡量之金融資產,,1,49.00,4,
1999,3,1113,4,2020/4/14 上午 12:00:00,WF20200414003,透過損益按公允價值衡量之金融資產,,2,34799.00,4,
1963,1,1113,4,2020/4/16 上午 12:00:00,WF20200416001,透過損益按公允價值衡量之金融資產,,1,13544.00,4,
1964,2,7243,4,2020/4/16 上午 12:00:00,WF20200416001,透過損益按公允價值衡量之金融資產,,1,20.00,4,
1965,3,6123,4,2020/4/16 上午 12:00:00,WF20200416001,透過損益按公允價值衡量之金融資產,,1,40.00,4,
1966,4,7162,4,2020/4/16 上午 12:00:00,WF20200416001,透過損益按公允價值衡量之金融資產,,1,15547.00,4,
1967,5,1121,4,2020/4/16 上午 12:00:00,WF20200416001,透過損益按公允價值衡量之金融資產,,2,29151.00,4,
1968,1,1113,4,2020/4/16 上午 12:00:00,WF20200416002,透過損益按公允價值衡量之金融資產,,1,8465.00,4,
1969,2,7243,4,2020/4/16 上午 12:00:00,WF20200416002,透過損益按公允價值衡量之金融資產,,1,20.00,4,
1970,3,6123,4,2020/4/16 上午 12:00:00,WF20200416002,透過損益按公允價值衡量之金融資產,,1,25.00,4,
1971,4,7161,4,2020/4/16 上午 12:00:00,WF20200416002,透過損益按公允價值衡量之金融資產,,2,65.00,4,
1972,5,1121,4,2020/4/16 上午 12:00:00,WF20200416002,透過損益按公允價值衡量之金融資產,,2,8380.00,4,
2001,1,1122,4,2020/4/16 上午 12:00:00,WF20200416002,透過損益按公允價值衡量之金融資產之評價調整,,2,65.00,4,
1973,1,1121,4,2020/4/16 上午 12:00:00,WF20200416003,透過損益按公允價值衡量之金融資產,,1,42550.00,4,
1974,2,7243,4,2020/4/16 上午 12:00:00,WF20200416003,透過損益按公允價值衡量之金融資產,,1,60.00,4,
1975,3,1113,4,2020/4/16 上午 12:00:00,WF20200416003,透過損益按公允價值衡量之金融資產,,2,42610.00,4,
1976,1,1121,4,2020/4/16 上午 12:00:00,WF20200416004,透過損益按公允價值衡量之金融資產,,1,8510.00,4,
1977,2,7243,4,2020/4/16 上午 12:00:00,WF20200416004,透過損益按公允價值衡量之金融資產,,1,20.00,4,
1978,3,1113,4,2020/4/16 上午 12:00:00,WF20200416004,透過損益按公允價值衡量之金融資產,,2,8530.00,4,
1979,1,1113,4,2020/4/16 上午 12:00:00,WF20200416005,透過損益按公允價值衡量之金融資產,,1,34797.00,4,
1980,2,7243,4,2020/4/16 上午 12:00:00,WF20200416005,透過損益按公允價值衡量之金融資產,,1,49.00,4,
1981,3,7162,4,2020/4/16 上午 12:00:00,WF20200416005,透過損益按公允價值衡量之金融資產,,1,2.00,4,
1982,4,6123,4,2020/4/16 上午 12:00:00,WF20200416005,透過損益按公允價值衡量之金融資產,,1,104.00,4,
1983,5,1121,4,2020/4/16 上午 12:00:00,WF20200416005,透過損益按公允價值衡量之金融資產,,2,34750.00,4,
1984,6,1122,4,2020/4/16 上午 12:00:00,WF20200416005,透過損益按公允價值衡量之金融資產之評價調整,,2,202.00,4,
1985,1,1113,4,2020/4/17 上午 12:00:00,WF20200417001,透過損益按公允價值衡量之金融資產,,1,17165.00,4,
1986,2,7243,4,2020/4/17 上午 12:00:00,WF20200417001,透過損益按公允價值衡量之金融資產,,1,24.00,4,
1987,3,6123,4,2020/4/17 上午 12:00:00,WF20200417001,透過損益按公允價值衡量之金融資產,,1,51.00,4,
1988,4,1121,4,2020/4/17 上午 12:00:00,WF20200417001,透過損益按公允價值衡量之金融資產,,2,17020.00,4,
1989,5,7161,4,2020/4/17 上午 12:00:00,WF20200417001,透過損益按公允價值衡量之金融資產,,2,121.00,4,
1990,6,1122,4,2020/4/17 上午 12:00:00,WF20200417001,透過損益按公允價值衡量之金融資產之評價調整,,2,99.00,4,
1991,1,1113,4,2020/4/17 上午 12:00:00,WF20200417002,透過損益按公允價值衡量之金融資產,,1,34567.00,4,
1992,2,7243,4,2020/4/17 上午 12:00:00,WF20200417002,透過損益按公允價值衡量之金融資產,,1,49.00,4,
1993,3,6123,4,2020/4/17 上午 12:00:00,WF20200417002,透過損益按公允價值衡量之金融資產,,1,104.00,4,
1994,4,1121,4,2020/4/17 上午 12:00:00,WF20200417002,透過損益按公允價值衡量之金融資產,,2,34047.00,4,
1995,5,7161,4,2020/4/17 上午 12:00:00,WF20200417002,透過損益按公允價值衡量之金融資產,,2,471.00,4,
1996,6,1122,4,2020/4/17 上午 12:00:00,WF20200417002,透過損益按公允價值衡量之金融資產之評價調整,,2,202.00,4,
2002,1,1121,4,2020/4/20 上午 12:00:00,WF20200420001,透過損益按公允價值衡量之金融資產,,1,8590.00,4,
2003,2,7243,4,2020/4/20 上午 12:00:00,WF20200420001,透過損益按公允價值衡量之金融資產,,1,20.00,4,
2004,3,1113,4,2020/4/20 上午 12:00:00,WF20200420001,透過損益按公允價值衡量之金融資產,,2,8610.00,4,
2005,1,1121,4,2020/4/22 上午 12:00:00,WF20200422002,透過損益按公允價值衡量之金融資產,,1,24675.00,4,
2006,2,7243,4,2020/4/22 上午 12:00:00,WF20200422002,透過損益按公允價值衡量之金融資產,,1,35.00,4,
2007,3,1113,4,2020/4/22 上午 12:00:00,WF20200422002,透過損益按公允價值衡量之金融資產,,2,24710.00,4,
