號碼,傳票,月份,項目,會計科目,會計日期,會計月份,描述,借/貸,金額,
1928,WF20200329001,,1,1262,,0,主管辦公用地4月及5月租金預付,1,1000.00,
1927,WF20200329001,,2,1113,,0,主管辦公用地4月及5月租金預付,2,1000.00,
2111,WF20200502002,,1,1262,,0,109年6-9月主管辦公預付租金,1,2000.00,
2112,WF20200502002,,2,1113,,0,109年6-9月主管辦公預付租金,2,2000.00,
2113,WF20200505006,,1,1262,,0,109年5-7月投資及商媒支付,1,1530.00,
2114,WF20200505006,,2,1113,,0,109年5-7月投資及商媒支付,2,1530.00,
2299,WF20200805001,,1,1262,,0,有線電視-投資、時事取得,1,1530.00,
2300,WF20200805001,,2,1113,,0,有線電視-投資、時事取得,2,1530.00,
2394,WF20200930003,,1,1262,,0,109-08-30--預付10-12月的辦公室租金-待重拿發票,1,1500.00,
2395,WF20200930003,,2,2171,,0,109-08-30--預付10-12月的辦公室租金-待重拿發票,2,1500.00,
2651,WF20201130003,,1,1262,,0,1090830--租金,1,1500.00,
2652,WF20201130003,,2,1113,,0,1090830--租金,2,1500.00,
2781,WF20190106002,,1,1262,,0,12月份預付投資、最新消息媒體費,1,1683.00,
2782,WF20190106002,,2,1113,,0,12月份預付投資、最新消息媒體費,2,1683.00,
2790,WF20200101001,,1,1262,,0,預付109年1.2月租金,1,500.00,
2792,WF20200101001,,2,1113,,0,預付109年1.2月租金,2,500.00,
2874,WF20200209001,,1,1262,,0,預付109年3月租金,1,500.00,
2876,WF20200209001,,2,1113,,0,預付109年3月租金,2,500.00,
