序號,說明,會計科目,項目,傳票,金額,當期日,月份,借/貸,發票,發票日期,種類,狀態,銷售ID,購買ID,發票,
3774,20220206--新店停車場,6114,1,WF20220601001,248.00,2022/6/1 上午 12:00:00,6,1,WP-75187077,,0,1,87541904,69746686,WP-75187077,
3775,20220206--新店停車場,6123,2,WF20220601001,12.00,2022/6/1 上午 12:00:00,6,1,,,0,1,87541904,69746686,,
3776,20220206--新店停車場,1113,3,WF20220601001,260.00,2022/6/1 上午 12:00:00,6,2,,,0,1,,,,
3777,20220220--油資,6114,1,WF20220601002,952.00,2022/6/1 上午 12:00:00,6,1,WN-63051075,,0,1,22912749,69746686,WN-63051075,
3778,20220220--油資,6123,2,WF20220601002,48.00,2022/6/1 上午 12:00:00,6,1,,,0,1,,,,
3779,20220220--油資,1113,3,WF20220601002,1000.00,2022/6/1 上午 12:00:00,6,2,,,0,1,,,,
3726,油資,6114,1,WF20220603001,1385.00,2022/6/3 上午 12:00:00,6,1,AZ-79221453,,0,1,72776403,,AZ-79221453,
3729,油資,6114,1,WF20220603001,144.00,2022/6/3 上午 12:00:00,6,1,,,0,1,,,,
3727,油資,6123,2,WF20220603001,69.00,2022/6/3 上午 12:00:00,6,1,,,0,1,,,,
3730,油資,6123,2,WF20220603001,7.00,2022/6/3 上午 12:00:00,6,1,,,0,1,,,,
3728,油資,1113,3,WF20220603001,1454.00,2022/6/3 上午 12:00:00,6,2,,,0,1,,,,
3731,油資,1113,3,WF20220603001,151.00,2022/6/3 上午 12:00:00,6,2,,,0,1,,,,
3738,紅樹林停車場,6114,1,WF20220603002,19.00,2022/6/3 上午 12:00:00,6,1,AZ-79221453,,0,1,72776403,,AZ-79221453,
3739,紅樹林停車場,6123,2,WF20220603002,1.00,2022/6/3 上午 12:00:00,6,1,,,0,1,,,,
3740,紅樹林停車場,1113,3,WF20220603002,20.00,2022/6/3 上午 12:00:00,6,2,,,0,1,,,,
3724,多功能泡沫清洗齊,6134,1,WF20220604001,110.00,2022/6/4 上午 12:00:00,6,1,,,0,1,87411233,,,
3725,多功能泡沫清洗齊,1113,2,WF20220604001,110.00,2022/6/4 上午 12:00:00,6,2,,,0,1,,,,
3747,油資,6114,1,WF20220609001,144.00,2022/6/9 上午 12:00:00,6,1,AB-22810584,,0,1,98981766,,AB-22810584,
3748,油資,6123,2,WF20220609001,7.00,2022/6/9 上午 12:00:00,6,1,,,0,1,,,,
3749,油資,1113,3,WF20220609001,151.00,2022/6/9 上午 12:00:00,6,2,,,0,1,,,,
3744,油資,6114,1,WF20220610001,95.00,2022/6/10 上午 12:00:00,6,1,NT-86160043,,0,1,83750154,,NT-86160043,
3745,油資,6123,2,WF20220610001,5.00,2022/6/10 上午 12:00:00,6,1,,,0,1,,,,
3746,油資,1113,3,WF20220610001,100.00,2022/6/10 上午 12:00:00,6,2,,,0,1,,,,
3750,負責人美姿美儀,6134,1,WF20220613001,210.00,2022/6/13 上午 12:00:00,6,1,AT-58098008,,0,1,10006279,,AT-58098008,
3753,負責人美姿美儀,6134,1,WF20220613001,210.00,2022/6/13 上午 12:00:00,6,1,,,0,1,,,,
3751,負責人美姿美儀,6123,2,WF20220613001,10.00,2022/6/13 上午 12:00:00,6,1,,,0,1,,,,
3754,負責人美姿美儀,6123,2,WF20220613001,10.00,2022/6/13 上午 12:00:00,6,1,,,0,1,,,,
3752,負責人美姿美儀,1113,3,WF20220613001,220.00,2022/6/13 上午 12:00:00,6,2,,,0,1,,,,
3755,負責人美姿美儀,1113,3,WF20220613001,220.00,2022/6/13 上午 12:00:00,6,2,,,0,1,,,,
3741,油資,6114,1,WF20220620001,184.00,2022/6/20 上午 12:00:00,6,1,AB-22810879,,0,1,98981766,,AB-22810879,
3742,油資,6123,2,WF20220620001,9.00,2022/6/20 上午 12:00:00,6,1,,,0,1,,,,
3743,油資,1113,3,WF20220620001,193.00,2022/6/20 上午 12:00:00,6,2,,,0,1,,,,
3721,油資,6114,1,WF20220627001,125.00,2022/6/27 上午 12:00:00,6,1,AB-22811017,,0,1,98981766,,AB-22811017,
3722,油資,6123,2,WF20220627001,6.00,2022/6/27 上午 12:00:00,6,1,,,0,1,,,,
3723,油資,1113,3,WF20220627001,131.00,2022/6/27 上午 12:00:00,6,2,,,0,1,,,,
3789,營業費用,6113,0,WF20220629001,67.00,2022/6/29 上午 12:00:00,6,1,AB22811062,2022/6/29 上午 12:00:00,0,1,98981766,69746686,AB22811062,
3790,營業費用,6123,0,WF20220629001,3.00,2022/6/29 上午 12:00:00,6,1,AB22811062,2022/6/29 上午 12:00:00,0,1,98981766,69746686,AB22811062,
3791,營業費用,1113,0,WF20220629001,70.00,2022/6/29 上午 12:00:00,6,2,AB22811062,2022/6/29 上午 12:00:00,0,1,98981766,69746686,AB22811062,
