序號,傳票,日期,科目,描述,借/貸,金額,
1,WF20210101001,2021/1/1 上午 12:00:00,6134,1月份預付投資、最新消息媒體費,1,775.00,
2,WF20210101001,2021/1/1 上午 12:00:00,1262,1月份預付投資、最新消息媒體費,2,775.00,
3,WF20210102001,2021/1/2 上午 12:00:00,6112,1月份Office365,1,285.00,
4,WF20210102001,2021/1/2 上午 12:00:00,6123,1月份Office365,1,14.00,
5,WF20210102001,2021/1/2 上午 12:00:00,1113,1月份Office365,2,299.00,
6,WF20210112001,2021/1/12 上午 12:00:00,2171,1月份薪資支出,1,2474.00,
7,WF20210112001,2021/1/12 上午 12:00:00,2191,1月份薪資支出,1,18157.00,
8,WF20210112001,2021/1/12 上午 12:00:00,1113,1月份薪資支出,2,20631.00,
9,WF20210112002,2021/1/12 上午 12:00:00,1113,業主增加股本,1,14651.00,
10,WF20210112002,2021/1/12 上午 12:00:00,3113,業主增加股本,2,14651.00,
11,WF20210112003,2021/1/12 上午 12:00:00,6111,1月份勞健保支出,1,2474.00,
12,WF20210112003,2021/1/12 上午 12:00:00,1281,1月份勞健保支出,2,2474.00,
13,WF20210112004,2021/1/10 上午 12:00:00,6111,一月份薪資,1,696.00,
14,WF20210112004,2021/1/10 上午 12:00:00,1281,一月份薪資,2,696.00,
15,WF20210118001,2021/1/18 上午 12:00:00,6116,1月份郵電費,1,800.00,
16,WF20210118001,2021/1/18 上午 12:00:00,6123,1月份郵電費,1,40.00,
17,WF20210118001,2021/1/18 上午 12:00:00,1113,1月份郵電費,2,840.00,
18,WF20210130001,2021/1/30 上午 12:00:00,6114,油資,1,112.00,
19,WF20210130001,2021/1/30 上午 12:00:00,6123,油資,1,6.00,
20,WF20210130001,2021/1/30 上午 12:00:00,1113,油資,2,118.00,
21,WF20210131001,2021/1/31 上午 12:00:00,6111,二月份薪資,1,22304.00,
22,WF20210131001,2021/1/31 上午 12:00:00,1281,二月份勞健費,1,696.00,
23,WF20210131001,2021/1/31 上午 12:00:00,6120,二月份勞保費,1,2474.00,
24,WF20210131001,2021/1/31 上午 12:00:00,2171,二月份勞保費,2,2474.00,
25,WF20210131001,2021/1/31 上午 12:00:00,2191,二月份薪資,2,23000.00,
