序號,傳票,日期,科目,描述,借/貸,金額,銷售人統編,購買人統編,發票,
1,WF20221101001,2022/11/1 上午 12:00:00,6134,2022-10-20-保鮮盒-一般營運使用,1,91.00,56801904,69746686,FK85612118,
2,WF20221101001,2022/11/1 上午 12:00:00,6123,2022-10-20-保鮮盒-一般營運使用,1,5.00,56801904,69746686,FK85612118,
3,WF20221101001,2022/11/1 上午 12:00:00,1113,2022-10-20-保鮮盒-一般營運使用,2,96.00,56801904,69746686,FK85612118,
4,WF20221101002,2022/11/1 上午 12:00:00,6134,2022-10-20-漱口水-一般營運使用,1,227.00,56801904,69746686,FK85339757,
5,WF20221101002,2022/11/1 上午 12:00:00,6123,2022-10-20-漱口水-一般營運使用,1,11.00,56801904,69746686,FK85339757,
6,WF20221101002,2022/11/1 上午 12:00:00,1113,2022-10-20-漱口水-一般營運使用,2,238.00,56801904,69746686,FK85339757,
7,WF20221101003,2022/11/1 上午 12:00:00,6134,2022-10-13-洗車用品-一般營運使用,1,245.00,56801904,69746686,FK82774807,
8,WF20221101003,2022/11/1 上午 12:00:00,6123,2022-10-13-洗車用品-一般營運使用,1,12.00,56801904,69746686,FK82774807,
9,WF20221101003,2022/11/1 上午 12:00:00,1113,2022-10-13-洗車用品-一般營運使用,2,257.00,56801904,69746686,FK82774807,
10,WF20221101004,2022/11/1 上午 12:00:00,6134,2022-10-13-吸塵器-一般營運使用,1,1295.00,56801904,69746686,FK82475552,
11,WF20221101004,2022/11/1 上午 12:00:00,6123,2022-10-13-吸塵器-一般營運使用,1,65.00,56801904,69746686,FK82475552,
12,WF20221101004,2022/11/1 上午 12:00:00,1113,2022-10-13-吸塵器-一般營運使用,2,1360.00,56801904,69746686,FK82475552,
13,WF20221101005,2022/11/1 上午 12:00:00,6134,2022-10-11-修車用品-一般營運使用,1,255.00,56801904,69746686,FK81504075,
14,WF20221101005,2022/11/1 上午 12:00:00,6123,2022-10-11-修車用品-一般營運使用,1,13.00,56801904,69746686,FK81504075,
15,WF20221101005,2022/11/1 上午 12:00:00,1113,2022-10-11-修車用品-一般營運使用,2,268.00,56801904,69746686,FK81504075,
16,WF20221101006,2022/11/1 上午 12:00:00,6134,2022-10-11-車充延長線-一般營運使用,1,132.00,56801904,69746686,FK81147445,
17,WF20221101006,2022/11/1 上午 12:00:00,6123,2022-10-11-車充延長線-一般營運使用,1,7.00,56801904,69746686,FK81147445,
18,WF20221101006,2022/11/1 上午 12:00:00,1113,2022-10-11-車充延長線-一般營運使用,2,139.00,56801904,69746686,FK81147445,
19,WF20221101007,2022/11/1 上午 12:00:00,6134,2022-09-26-隨身碟-一般營運使用,1,112.00,56801904,69746686,FK75716931,
20,WF20221101007,2022/11/1 上午 12:00:00,6123,2022-09-26-隨身碟-一般營運使用,1,6.00,56801904,69746686,FK75716931,
21,WF20221101007,2022/11/1 上午 12:00:00,1113,2022-09-26-隨身碟-一般營運使用,2,118.00,56801904,69746686,FK75716931,
22,WF20221101008,2022/11/1 上午 12:00:00,6134,2022-09-24-凱擘搖控器-一般營運使用,1,152.00,56801904,69746686,FK75135960,
23,WF20221101008,2022/11/1 上午 12:00:00,6123,2022-09-24-凱擘搖控器-一般營運使用,1,8.00,56801904,69746686,FK75135960,
24,WF20221101008,2022/11/1 上午 12:00:00,1113,2022-09-24-凱擘搖控器-一般營運使用,2,160.00,56801904,69746686,FK75135960,
25,WF20221101009,2022/11/1 上午 12:00:00,6134,2022-09-19-水龍頭轉接頭-一般營運使用,1,24.00,56801904,69746686,FK73126215,
26,WF20221101009,2022/11/1 上午 12:00:00,6123,2022-09-19-水龍頭轉接頭-一般營運使用,1,1.00,56801904,69746686,FK73126215,
27,WF20221101009,2022/11/1 上午 12:00:00,1113,2022-09-19-水龍頭轉接頭-一般營運使用,2,25.00,56801904,69746686,FK73126215,
28,WF20221101010,2022/11/1 上午 12:00:00,6134,2022-09-19-泡茶壹-一般營運使用,1,123.00,56801904,69746686,FK72970242,
29,WF20221101010,2022/11/1 上午 12:00:00,6123,2022-09-19-泡茶壹-一般營運使用,1,6.00,56801904,69746686,FK72970242,
30,WF20221101010,2022/11/1 上午 12:00:00,1113,2022-09-19-泡茶壹-一般營運使用,2,129.00,56801904,69746686,FK72970242,
31,WF20221101011,2022/11/1 上午 12:00:00,6134,2022-09-19-無痕貼片-一般營運使用,1,29.00,56801904,69746686,FK72652438,
32,WF20221101011,2022/11/1 上午 12:00:00,6123,2022-09-19-無痕貼片-一般營運使用,1,1.00,56801904,69746686,FK72652438,
33,WF20221101011,2022/11/1 上午 12:00:00,1113,2022-09-19-無痕貼片-一般營運使用,2,30.00,56801904,69746686,FK72652438,
34,WF20221101012,2022/11/1 上午 12:00:00,6134,2022-09-16-無線吸塵器--一般營運使用,1,474.00,56801904,69746686,FK72038326,
35,WF20221101012,2022/11/1 上午 12:00:00,6123,2022-09-16-無線吸塵器--一般營運使用,1,24.00,56801904,69746686,FK72038326,
36,WF20221101012,2022/11/1 上午 12:00:00,1113,2022-09-16-無線吸塵器--一般營運使用,2,498.00,56801904,69746686,FK72038326,
37,WF20221101013,2022/11/1 上午 12:00:00,6134,2022-09-11--一般營運使用,1,455.00,56801904,69746686,FK69052697,
38,WF20221101013,2022/11/1 上午 12:00:00,6123,2022-09-11--一般營運使用,1,23.00,56801904,69746686,FK69052697,
39,WF20221101013,2022/11/1 上午 12:00:00,1113,2022-09-11--一般營運使用,2,478.00,56801904,69746686,FK69052697,
40,WF20221101014,2022/11/1 上午 12:00:00,6134,2022-08-09-機車腳踏設備--一般營運使用,1,107.00,56801904,69746686,DH53980421,
41,WF20221101014,2022/11/1 上午 12:00:00,6123,2022-08-09-機車腳踏設備--一般營運使用,1,5.00,56801904,69746686,DH53980421,
42,WF20221101014,2022/11/1 上午 12:00:00,1113,2022-08-09-機車腳踏設備--一般營運使用,2,112.00,56801904,69746686,DH53980421,
43,WF20221101015,2022/11/1 上午 12:00:00,6134,2022-07-13-汔車用品--一般營運使用,1,525.00,56801904,69746686,DH42692620,
44,WF20221101015,2022/11/1 上午 12:00:00,6123,2022-07-13-汔車用品--一般營運使用,1,26.00,56801904,69746686,DH42692620,
45,WF20221101015,2022/11/1 上午 12:00:00,1113,2022-07-13-汔車用品--一般營運使用,2,551.00,56801904,69746686,DH42692620,
46,WF20221101016,2022/11/1 上午 12:00:00,6134,2022-07-13-瑜咖設備--一般營運使用,1,123.00,56801904,69746686,DH42632426,
47,WF20221101016,2022/11/1 上午 12:00:00,6123,2022-07-13-瑜咖設備--一般營運使用,1,6.00,56801904,69746686,DH42632426,
48,WF20221101016,2022/11/1 上午 12:00:00,1113,2022-07-13-瑜咖設備--一般營運使用,2,129.00,56801904,69746686,DH42632426,
49,WF20221101017,2022/11/1 上午 12:00:00,6134,2022-07-11-製冰盒--一般營運使用,1,140.00,56801904,69746686,DH42085671,
50,WF20221101017,2022/11/1 上午 12:00:00,6123,2022-07-11-製冰盒--一般營運使用,1,7.00,56801904,69746686,DH42085671,
51,WF20221101017,2022/11/1 上午 12:00:00,1113,2022-07-11-製冰盒--一般營運使用,2,147.00,56801904,69746686,DH42085671,
52,WF20221101018,2022/11/1 上午 12:00:00,6134,2022-07-11-洗車水管--一般營運使用,1,241.00,56801904,69746686,DH42076474,
53,WF20221101018,2022/11/1 上午 12:00:00,6123,2022-07-11-洗車水管--一般營運使用,1,12.00,56801904,69746686,DH42076474,
54,WF20221101018,2022/11/1 上午 12:00:00,1113,2022-07-11-洗車水管--一般營運使用,2,253.00,56801904,69746686,DH42076474,
55,WF20221101019,2022/11/1 上午 12:00:00,6112,租金支出,1,1000.00,,,,
56,WF20221101019,2022/11/1 上午 12:00:00,1262,預付租金,2,1000.00,,,,
57,WF20221101020,2022/11/1 上午 12:00:00,6134,媒體投資娛樂費,1,512.00,,,,
58,WF20221101020,2022/11/1 上午 12:00:00,1262,媒體投資娛樂費,2,512.00,,,,
59,WF20221102001,2022/11/2 上午 12:00:00,6112,Office365,1,375.00,23525730,69746686,GZ74788862,
60,WF20221102001,2022/11/2 上午 12:00:00,6123,Office365,1,19.00,,,,
61,WF20221102001,2022/11/2 上午 12:00:00,1113,Office365,2,394.00,,,,
62,WF20221109001,2022/11/9 上午 12:00:00,1262,預付款,1,1530.00,97169897,69746686,GR34177202,
63,WF20221109001,2022/11/9 上午 12:00:00,1113,預付款,2,1530.00,97169897,69746686,GR34177202,
64,WF20221114001,2022/11/14 上午 12:00:00,6134,無線電接收片-一般營運使用,1,94.00,56801904,69746686,HM71325568,
65,WF20221114001,2022/11/14 上午 12:00:00,6123,無線電接收片-一般營運使用,1,5.00,56801904,69746686,HM71325568,
66,WF20221114001,2022/11/14 上午 12:00:00,1113,無線電接收片-一般營運使用,2,101.00,56801904,69746686,HM71325568,
67,WF20221114004,2022/11/14 上午 12:00:00,5111,銷貨成本,1,166.00,82623666,69746686,HM18429007,
68,WF20221114004,2022/11/14 上午 12:00:00,6123,銷貨成本,1,8.00,82623666,69746686,HM18429007,
69,WF20221114004,2022/11/14 上午 12:00:00,1113,銷貨成本,2,174.00,82623666,69746686,HM18429007,
70,WF20221115001,2022/11/15 上午 12:00:00,6134,爪扣貼-一般營運使用,1,128.00,56801904,69746686,HM71567176,
71,WF20221115001,2022/11/15 上午 12:00:00,6123,爪扣貼-一般營運使用,1,6.00,56801904,69746686,HM71567176,
72,WF20221115001,2022/11/15 上午 12:00:00,1113,爪扣貼-一般營運使用,2,134.00,56801904,69746686,HM71567176,
73,WF20221116001,2022/11/16 上午 12:00:00,5111,銷貨成本,1,560.00,28466605,69746686,HJ14420539,
74,WF20221116001,2022/11/16 上午 12:00:00,6123,銷貨成本,1,28.00,28466605,69746686,HJ14420539,
75,WF20221116001,2022/11/16 上午 12:00:00,1113,銷貨成本,2,588.00,28466605,69746686,HJ14420539,
76,WF20221116002,2022/11/16 上午 12:00:00,6116,電話費,1,746.00,19683736,69746686,GK76738248,
77,WF20221116002,2022/11/16 上午 12:00:00,6123,電話費,1,37.00,,,,
78,WF20221116002,2022/11/16 上午 12:00:00,1113,電話費,2,783.00,,,,
79,WF20221119001,2022/11/19 上午 12:00:00,6113,油資,1,87.00,98981766,69746686,GF22813196,
80,WF20221119001,2022/11/19 上午 12:00:00,6123,油資,1,4.00,98981766,69746686,GF22813196,
81,WF20221119001,2022/11/19 上午 12:00:00,1113,油資,2,91.00,98981766,69746686,GF22813196,
82,WF20221121001,2022/11/21 上午 12:00:00,6134,美工刀-酒精-研究--一般營運使用,1,96.00,56801904,69746686,HM74130477,
83,WF20221121001,2022/11/21 上午 12:00:00,6123,美工刀-酒精-研究--一般營運使用,1,5.00,56801904,69746686,HM74130477,
84,WF20221121001,2022/11/21 上午 12:00:00,1113,美工刀-酒精-研究--一般營運使用,2,101.00,56801904,69746686,HM74130477,
85,WF20221124001,2022/11/24 上午 12:00:00,6134,電池盒-酒精-研究--一般營運使用,1,71.00,56801904,69746686,HM75876135,
86,WF20221124001,2022/11/24 上午 12:00:00,6123,電池盒-酒精-研究--一般營運使用,1,4.00,56801904,69746686,HM75876135,
87,WF20221124001,2022/11/24 上午 12:00:00,1113,電池盒-酒精-研究--一般營運使用,2,75.00,56801904,69746686,HM75876135,
