序號,傳票,日期,科目,描述,借/貸,金額,銷售人統編,購買人統編,發票,
1,WF20221201001,2022/12/1 上午 12:00:00,6134,鼎嘉數位-電子費用,1,522.00,54890698,69746686,CY99351147,
2,WF20221201001,2022/12/1 上午 12:00:00,6123,鼎嘉數位-電子費用,1,27.00,54890698,69746686,,
3,WF20221201001,2022/12/1 上午 12:00:00,1113,鼎嘉數位-電子費用,2,549.00,54890698,69746686,,
4,WF20221201002,2022/12/1 上午 12:00:00,6112,租金支出,1,1000.00,,,,
5,WF20221201002,2022/12/1 上午 12:00:00,1262,預付租金,2,1000.00,,,,
6,WF20221201003,2022/12/1 上午 12:00:00,6134,媒體投資娛樂費,1,512.00,,,,
7,WF20221201003,2022/12/1 上午 12:00:00,1262,媒體投資娛樂費,2,512.00,,,,
8,WF20221202001,2022/12/2 上午 12:00:00,6112,Office365,1,375.00,23525730,69746686,GZ74798599,
9,WF20221202001,2022/12/2 上午 12:00:00,6123,Office365,1,19.00,,,,
10,WF20221202001,2022/12/2 上午 12:00:00,1113,Office365,2,394.00,,,,
11,WF20221210001,2022/12/21 上午 12:00:00,6134,水箱精-4l-一般營運使用,1,463.00,27365925,69746686,HQ75601366,
12,WF20221210001,2022/12/21 上午 12:00:00,6123,水箱精-4l-一般營運使用,1,23.00,27365925,69746686,HQ75601366,
13,WF20221210001,2022/12/21 上午 12:00:00,1113,水箱精-4l-一般營運使用,2,486.00,27365925,69746686,HQ75601366,
14,WF20221212001,2022/12/12 上午 12:00:00,6113,油資,1,516.00,98981766,69746686,GF22813520,
15,WF20221212001,2022/12/12 上午 12:00:00,6123,油資,1,26.00,98981766,69746686,GF22813520,
16,WF20221212001,2022/12/12 上午 12:00:00,1113,油資,2,542.00,98981766,69746686,GF22813520,
17,WF20221216001,2022/12/16 上午 12:00:00,6113,油資,1,125.00,98981766,69746686,GF22813576,
18,WF20221216001,2022/12/16 上午 12:00:00,6123,油資,1,6.00,98981766,69746686,GF22813576,
19,WF20221216001,2022/12/16 上午 12:00:00,1113,油資,2,131.00,98981766,69746686,GF22813576,
20,WF20221216002,2022/12/16 上午 12:00:00,1262,預付費用,1,560.00,28466605,69746686,HJ14421046,
21,WF20221216002,2022/12/16 上午 12:00:00,6123,預付費用,1,28.00,,,,
22,WF20221216002,2022/12/16 上午 12:00:00,1113,預付費用,2,588.00,,,,
23,WF20221218001,2022/12/18 上午 12:00:00,6134,電池盒-研究--一般營運使用,1,32.00,56801904,69746686,HM86188291,
24,WF20221218001,2022/12/18 上午 12:00:00,6123,電池盒-研究--一般營運使用,1,2.00,,69746686,,
25,WF20221218001,2022/12/18 上午 12:00:00,1113,電池盒-研究--一般營運使用,2,34.00,,69746686,,
