序號,科目,描述,借/貸,金額,
6664,1113,油資,1,2750.00,
6665,1191,銷售網路線、usb延長線、6插6開15尺延長線,1,9904.00,
6666,1239,,1,1082.00,
6667,1240,,1,5077.00,
6668,1262,媒體投資娛樂費,2,5274.00,
6669,1266,預付租金,1,12530.00,
6670,1281,,1,4940.00,
6671,1283,,1,166.00,
6672,1284,預付租金,1,2300.00,
6673,1431,,1,21418.00,
6674,1533,,1,188724.00,
6675,1551,,1,817386.00,
6676,1555,,1,11654.00,
6677,1583,,1,6000.00,
6678,1586,,1,11439.00,
6679,2171,,2,8653.00,
6680,2191,蕭榮濱-110年預付薪資發放,2,86056.00,
6681,3111,,2,1000000.00,
6682,3113,股東營業費用現金給予,2,793147.00,
6683,3351,,1,774930.00,
6684,4111,案件支付頭期款,2,29406.00,
6685,5111,電子零件*1
IC讀卡機*5,1,3936.00,
6686,6111,4月份業務支出,1,1369.00,
6687,6112,Office365,1,14416.00,
6688,6113,標準信封、膠水、中油筆、筆

,1,6057.00,
6689,6114,油資,1,6916.00,
6690,6115,2.5吋外接盒藍-運費,1,197.00,
6691,6116,220418-4月-郵電費,1,5590.00,
6692,6123,油資,1,738.00,
6693,6134,碳鋅電池-使用在網路工具的量測電池,1,13017.00,
