序號,日期,傳票編號,會計項目,會計編碼,摘要,借方金額,貸方金額,datatype
212,1071231,WF20181231008,,1113,代聯收107-08-07   +交換票107-08-06,3837,,u
213,1071231,WF20181231008,,7247,代聯收107-08-07   +交換票107-08-06,,3837,u
3,1071231,WF20181231120,,1113,退營業稅-107-08-15,1430,,+
4,1071231,WF20181231120,,6123,退營業稅-107-08-15,,1430,+
214,1071231,WF20181231009,,1121,透過損益按公允價值衡量之金融資產,50320,,f
215,1071231,WF20181231009,,7243,透過損益按公允價值衡量之金融資產,70,,f
280,1071231,WF20181231039,,1121,資產減少-20180830,76955,,f
281,1071231,WF20181231039,,1113,透過損益按公允價值衡量之金融資產-20180830,,76164,f
282,1071231,WF20181231039,,7162,捐失1%-20180830,,455,f
283,1071231,WF20181231039,,7243,透過損益按公允價值衡量之金融資產-20180830,,336,f
284,1071231,WF20181231040,,1113,透過損益按公允價值衡量之金融資產-20180830,76164,,f
285,1071231,WF20181231040,,7162,捐失1%-20180830,1645,,f
286,1071231,WF20181231040,,7243,透過損益按公允價值衡量之金融資產-20180830,108,,f
287,1071231,WF20181231040,,6123,交易稅-20180830,228,,f
288,1071231,WF20181231040,,1121,資產減少-20180830,,78145,f
1181,1071231,WF20181231052,,1121,資產減少-20180926,51522,,f
1180,1071231,WF20181231052,,7243,透過損益按公允價值衡量之金融資產-20180926,,211,f
1194,1071231,WF20181231052,,1113,透過損益按公允價值衡量之金融資產-20180926,,47589,f
1195,1071231,WF20181231052,,7162,捐失7.63%-20180926,,3722,f
1184,1071231,WF20181231054,,7162,捐失1%-20180926,3933,,f
1185,1071231,WF20181231054,,7243,透過損益按公允價值衡量之金融資產-20180926,68,,f
1186,1071231,WF20181231054,,6123,交易稅-20180926,143,,f
1196,1071231,WF20181231054,,1113,透過損益按公允價值衡量之金融資產-20180926,47589,,f
1187,1071231,WF20181231054,,1121,資產減少-20180926,,51733,f
1201,1071231,WF20181231056,,1113,透過損益按公允價值衡量之金融資產-0316,13041,,f
1202,1071231,WF20181231056,,7243,透過損益按公允價值衡量之金融資產-0316,20,,f
1203,1071231,WF20181231056,,6123,透過損益按公允價值衡量之金融資產-0316,39,,f
1188,1071231,WF20181231056,,7161,透過損益按公允價值衡量之金融資產-0316,,71,f
1204,1071231,WF20181231056,,1121,透過損益按公允價值衡量之金融資產-0316,,13029,f
