序號,日期,傳票編號,會計項目,會計編碼,摘要,借方金額,貸方金額,datatype
483,1070314,WF20180314001,,1121,透過損益按公允價值衡量之金融資產,25810,,u
484,1070314,WF20180314001,,7243,透過損益按公允價值衡量之金融資產,40,,u
485,1070314,WF20180314001,,1113,透過損益按公允價值衡量之金融資產,,25850,u
486,1070314,WF20180314002,,1121,透過損益按公允價值衡量之金融資產,15407,,u
487,1070314,WF20180314002,,7243,透過損益按公允價值衡量之金融資產,21,,u
488,1070314,WF20180314002,,1113,透過損益按公允價值衡量之金融資產,,15428,u
489,1070314,WF20180314003,,1121,透過損益按公允價值衡量之金融資產,38396,,u
490,1070314,WF20180314003,,7243,透過損益按公允價值衡量之金融資產,54,,u
491,1070314,WF20180314003,,1113,透過損益按公允價值衡量之金融資產,,38450,u
492,1070314,WF20180314004,,1121,透過損益按公允價值衡量之金融資產,15081,,u
493,1070314,WF20180314004,,7243,透過損益按公允價值衡量之金融資產,21,,u
494,1070314,WF20180314004,,1113,透過損益按公允價值衡量之金融資產,,15102,u
495,1070314,WF20180314005,,1121,透過損益按公允價值衡量之金融資產,49070,,u
496,1070314,WF20180314005,,7243,透過損益按公允價值衡量之金融資產,70,,u
497,1070314,WF20180314005,,1113,透過損益按公允價值衡量之金融資產,,49140,u
508,1070315,WF20180315005,,1121,透過損益按公允價值衡量之金融資產,9980,,u
509,1070315,WF20180315005,,7243,透過損益按公允價值衡量之金融資產,20,,u
510,1070315,WF20180315005,,1113,透過損益按公允價值衡量之金融資產,,10000,u
511,1070315,WF20180315006,,1121,透過損益按公允價值衡量之金融資產,15029,,u
512,1070315,WF20180315006,,7243,透過損益按公允價值衡量之金融資產,21,,u
513,1070315,WF20180315006,,1113,透過損益按公允價值衡量之金融資產,,15050,u
518,1070316,WF20180316001,,1121,透過損益按公允價值衡量之金融資產,25864,,u
519,1070316,WF20180316001,,7243,透過損益按公允價值衡量之金融資產,36,,u
520,1070316,WF20180316001,,1113,透過損益按公允價值衡量之金融資產,,25900,u
1,1070316,WF20180316003,,1113,透過損益按公允價值衡量之金融資產,13191,,+
2,1070316,WF20180316003,,7243,透過損益按公允價值衡量之金融資產,20,,+
3,1070316,WF20180316003,,6123,透過損益按公允價值衡量之金融資產,39,,+
4,1070316,WF20180316003,,7161,透過損益按公允價值衡量之金融資產,,271,+
5,1070316,WF20180316003,,1121,透過損益按公允價值衡量之金融資產,,12979,+
530,1070319,WF20180319002,,1121,透過損益按公允價值衡量之金融資產,25514,,u
531,1070319,WF20180319002,,7243,透過損益按公允價值衡量之金融資產,36,,u
532,1070319,WF20180319002,,1113,透過損益按公允價值衡量之金融資產,,25550,u
533,1070319,WF20180319003,,1121,透過損益按公允價值衡量之金融資產,32804,,u
534,1070319,WF20180319003,,7243,透過損益按公允價值衡量之金融資產,46,,u
535,1070319,WF20180319003,,1113,透過損益按公允價值衡量之金融資產,,32850,u
536,1070319,WF20180319004,,1113,透過損益按公允價值衡量之金融資產,13191,,u
537,1070319,WF20180319004,,7243,透過損益按公允價值衡量之金融資產,20,,u
538,1070319,WF20180319004,,7161,透過損益按公允價值衡量之金融資產,39,,u
539,1070319,WF20180319004,,1121,透過損益按公允價值衡量之金融資產,,12861,u
540,1070319,WF20180319005,,1121,透過損益按公允價值衡量之金融資產,39195,,u
541,1070319,WF20180319005,,7243,透過損益按公允價值衡量之金融資產,55,,u
542,1070319,WF20180319005,,1113,透過損益按公允價值衡量之金融資產,,39250,u
543,1070320,WF20180320001,,1121,透過損益按公允價值衡量之金融資產,15746,,u
544,1070320,WF20180320001,,7243,透過損益按公允價值衡量之金融資產,22,,u
545,1070320,WF20180320001,,1113,透過損益按公允價值衡量之金融資產,,15768,u
546,1070320,WF20180320002,,1121,透過損益按公允價值衡量之金融資產,19422,,u
547,1070320,WF20180320002,,7243,透過損益按公允價值衡量之金融資產,27,,u
548,1070320,WF20180320002,,1113,透過損益按公允價值衡量之金融資產,,19449,u
621,1070426,WF20180426001,,1113,透過損益按公允價值衡量之金融資產,49819,,u
622,1070426,WF20180426001,,7243,透過損益按公允價值衡量之金融資產,71,,u
623,1070426,WF20180426001,,6123,透過損益按公允價值衡量之金融資產,150,,u
11,1070426,WF20180426001,5,7161,透過損益按公允價值衡量之金融資產,,609,p
624,1070426,WF20180426001,,1121,透過損益按公允價值衡量之金融資產,,49431,u
951,1070830,WF20180830001,,1113,透過損益按公允價值衡量之金融資產,76164,,u
952,1070830,WF20180830001,,7243,透過損益按公允價值衡量之金融資產,108,,u
953,1070830,WF20180830001,,7162,透過損益按公允價值衡量之金融資產-減少1%,1645,,u
12,1070830,WF20180830001,5,6123,透過損益按公允價值衡量之金融資產,228,,p
954,1070830,WF20180830001,,1121,透過損益按公允價值衡量之金融資產,,78145,u
1031,1070926,WF20180926002,,1113,透過損益按公允價值衡量之金融資產,47589,,u
1032,1070926,WF20180926002,,7243,透過損益按公允價值衡量之金融資產,68,,u
1033,1070926,WF20180926002,,7162,捐失7.63%,3933,,u
13,1070926,WF20180926002,5,6123,透過損益按公允價值衡量之金融資產,143,,p
1034,1070926,WF20180926002,,1121,透過損益按公允價值衡量之金融資產-資產減少,,51733,u
14,1071008,1,,1121,透過損益按公允價值衡量之金融資產,17400,,+
15,1071008,1,,7243,透過損益按公允價值衡量之金融資產,24,,+
16,1071008,1,,1113,透過損益按公允價值衡量之金融資產,,17376,+
17,1071017,2,,1121,透過損益按公允價值衡量之金融資產,25439,,+
18,1071017,2,,7243,透過損益按公允價值衡量之金融資產,36,,+
19,1071017,2,,1113,透過損益按公允價值衡量之金融資產,,25403,+
139,1071121,WF20181121002,,1121,透過損益按公允價值衡量之金融資產,18302,,u
140,1071121,WF20181121002,,7243,透過損益按公允價值衡量之金融資產,26,,u
141,1071121,WF20181121002,,1113,透過損益按公允價值衡量之金融資產,,18328,u
