序號,日期,傳票編號,會計項目,會計編碼,摘要,借方金額,貸方金額,datatype
1,1080515,WF20191510002,存出保證金,1284,影印機列印點數卡,100,,r
2,1080515,WF20191510002,銀行存款,1113,影印機列印點數卡,,100,r
3,1081231,WF20191231164,銀行存款,1113,沖帳-WF20190516004-5月份電話費-0516,706,,e
4,1081231,WF20191231164,郵電費,5156,沖帳-WF20190516004-5月份電話費-0516,,672,e
5,1081231,WF20191231164,稅捐,6123,沖帳-WF20190516004-5月份電話費-0516,,34,e
6,1081231,WF20191231165,銀行存款,1113,沖帳-WF20190611002-6月份電話費-0611,732,,e
7,1081231,WF20191231165,郵電費,5156,沖帳-WF20190611002-6月份電話費-0611,,697,e
8,1081231,WF20191231165,稅捐,6123,沖帳-WF20190611002-6月份電話費-0611,,35,e
9,1081231,WF20191231166,,1121,沖帳-WF20191231138-金融資產-損失 8.93%,78155,,e
10,1081231,WF20191231166,,7243,沖帳-WF20191231138-金融資產-損失 8.94%,,101,e
11,1081231,WF20191231166,,7162,沖帳-WF20191231138-金融資產-損失 8.95%,,6955,e
12,1081231,WF20191231166,,6123,沖帳-WF20191231138-金融資產-損失 8.96%,,213,e
13,1081231,WF20191231166,,1113,沖帳-WF20191231138-金融資產-損失 8.97%,,70886,e
14,1081231,WF20190311003,,1121,沖帳-WF20190311003-金融資產-減少-11%,8684,,e
15,1081231,WF20190311003,,7162,沖帳-WF20190311003-金融資產減少-11%,,964,e
16,1081231,WF20190311003,,7243,沖帳-WF20190311003-金融資產減少-11%,,20,e
17,1081231,WF20190311003,,6123,沖帳-WF20190311003-金融資產減少-11%,,23,e
18,1081231,WF20190311003,,1113,沖帳-WF20190311003-金融資產減少-11%,,7677,e
19,1081231,WF20190319002,,1121,沖帳-WF20190319002-金融資產-增加 6.7%,35812,,e
20,1081231,WF20190319002,,7161,沖帳-WF20190319002-金融資產增加 6.7%,2388,,e
21,1081231,WF20190319002,,7243,沖帳-WF20190319002-金融資產增加 6.7%,,54,e
22,1081231,WF20190319002,,6123,沖帳-WF20190319002-金融資產增加 6.7%,,114,e
23,1081231,WF20190319002,,1113,沖帳-WF20190319002-金融資產增加 6.7%,,38032,e
24,1081231,WF20191510003,,1121,沖帳-WF20191510003-金融資產-減少 48.94%,52343,,e
25,1081231,WF20191510003,,7243,沖帳-WF20191510003-金融資產減少 48.94%,,38,e
26,1081231,WF20191510003,,6123,沖帳-WF20191510003-金融資產減少 48.94%,,80,e
27,1081231,WF20191510003,,7162,沖帳-WF20191510003-金融資產減少 48.94%,,25559,e
28,1081231,WF20191510003,,1113,沖帳-WF20191510003-金融資產減少 48.94%,,26666,e
29,1081231,WF20190726002,,1121,沖帳-WF20190726002-金融資產-損失1.31%,34348,,e
30,1081231,WF20190726002,,7162,沖帳-WF20190726002-金融資產-損失1.31%,,448,e
31,1081231,WF20190726002,,7243,沖帳-WF20190726002-金融資產-損失1.31%,,48,e
32,1081231,WF20190726002,,6123,沖帳-WF20190726002-金融資產-損失1.31%,,101,e
33,1081231,WF20190726002,,1113,沖帳-WF20190726002-金融資產-損失1.31%,,33751,e
34,1081231,WF20190729001,,1121,沖帳-WF20190729001-金融資產-損失39.49%,11006,,e
35,1081231,WF20190729001,,6123,沖帳-WF20190729001-金融資產-損失39.49%,,20,e
36,1081231,WF20190729001,,7162,沖帳-WF20190729001-金融資產-損失39.49%,,4331,e
37,1081231,WF20190729001,,7243,沖帳-WF20190729001-金融資產-損失39.49%,,20,e
38,1081231,WF20190729001,,1113,沖帳-WF20190729001-金融資產-損失39.49%,,6635,e
39,1081231,WF20190910004,,1121,沖帳-WF20190910004-金融資產-金融資產購買,20308,,e
40,1081231,WF20190910004,,1113,沖帳-WF20190910004-金融資產購買,,20280,e
41,1081231,WF20190910004,,7243,沖帳-WF20190910004-金融資產購買,,28,e
42,1081231,WF20191231137,,1121,沖帳-WF20191231137-金融資產-減資後銷售，略估損益為500,40150,,e
43,1081231,WF20191231137,,7161,沖帳-WF20191231137-金融資產-減資後銷售，略估損益為501,13550,,e
44,1081231,WF20191231137,,1113,沖帳-WF20191231137-金融資產-減資後銷售，略估損益為502,,53463,e
45,1081231,WF20191231137,,6123,沖帳-WF20191231137-金融資產-減資後銷售，略估損益為503,,161,e
46,1081231,WF20191231137,,7243,沖帳-WF20191231137-金融資產-減資後銷售，略估損益為504,,76,e
47,1081231,WF20191231138,,7243,WF21090114002-金融資產-損失 8.93%-2019/1/14,101,,+
48,1081231,WF20191231138,,7162,WF21090114002-金融資產-損失 8.93%-2019/1/14,6955,,+
49,1081231,WF20191231138,,6123,WF21090114002-金融資產-損失 8.93%-2019/1/14,213,,+
50,1081231,WF20191231138,,1113,WF21090114002-金融資產-損失 8.93%-2019/1/14,70886,,+
51,1081231,,,1113,WF21090114002-金融資產-損失 8.93%-2019/1/15,,314,+
52,1081231,WF20191231138,,1121,WF21090114002-金融資產-損失 8.93%-2019/1/14,,77841,+
53,1081231,WF20190311003,,7162,金融資產減少-11%-2019/3/11,964,,+
54,1081231,WF20190311003,,7243,金融資產減少-11%-2019/3/11,20,,+
55,1081231,WF20190311003,,6123,金融資產減少-11%-2019/3/11,23,,+
56,1081231,WF20190311003,,1113,金融資產減少-11%-2019/3/11,7677,,+
57,1081231,WF20190311003,,1113,金融資產減少-11%-2019/3/11,,43,+
58,1081231,WF20190311003,,1121,金融資產-減少-11%-2019/3/11,,8641,+
59,1081231,WF20190319002,,7243,金融資產增加 6.7%-2019/3/19,54,,+
60,1081231,WF20190319002,,6123,金融資產增加 6.7%-2019/3/19,114,,+
61,1081231,WF20190319002,,1113,金融資產增加 6.7%-2019/3/19,38032,,+
62,1081231,WF20190319002,,1113,金融資產增加 6.7%-2019/3/19,,168,+
63,1081231,WF20190319002,,1121,金融資產-增加 6.7%-2019/3/19,,35644,+
64,1081231,WF20190319002,,7161,金融資產增加 6.7%-2019/3/19,,2388,+
65,1081231,WF20191510003,,7243,金融資產減少 48.94%-2019/5/15,38,,+
66,1081231,WF20191510003,,6123,金融資產減少 48.94%-2019/5/15,80,,+
67,1081231,WF20191510003,,7162,金融資產減少 48.94%-2019/5/15,25559,,+
68,1081231,WF20191510003,,1113,金融資產減少 48.94%-2019/5/15,26666,,+
69,1081231,WF20191510003,,1113,金融資產減少 48.94%-2019/5/15,,118,+
70,1081231,WF20191510003,,1121,金融資產-減少 48.94%-2019/5/15,,52225,+
71,1081231,WF20190726002,,7162,金融資產-損失1.31%-2019/7/26,448,,+
72,1081231,WF20190726002,,7243,金融資產-損失1.31%-2019/7/26,48,,+
73,1081231,WF20190726002,,6123,金融資產-損失1.31%-2019/7/26,101,,+
74,1081231,WF20190726002,,1113,金融資產-損失1.31%-2019/7/26,33751,,+
75,1081231,WF20190726002,,1113,金融資產-損失1.31%-2019/7/26,,149,+
76,1081231,WF20190726002,,1121,金融資產-損失1.31%-2019/7/26,,34199,+
77,1081231,WF20190729001,,6123,金融資產-損失39.49%-2019/7/29,20,,+
78,1081231,WF20190729001,,7162,金融資產-損失39.49%-2019/7/29,4331,,+
79,1081231,WF20190729001,,7243,金融資產-損失39.49%-2019/7/29,20,,+
80,1081231,WF20190729001,,1113,金融資產-損失39.49%-2019/7/29,6635,,+
81,1081231,WF20190729001,,1113,金融資產-損失39.49%-2019/7/29,,40,+
82,1081231,WF20190729001,,1121,金融資產-損失39.49%-2019/7/29,,10966,+
83,1081231,WF20190910004,,1121,金融資產-金融資產購買-2019/9/10,20280,,+
84,1081231,WF20190910004,,7243,金融資產購買-2019/9/10,28,,+
85,1081231,WF20190910004,,1113,金融資產購買-2019/9/10,,20308,+
86,1081231,WF20191231137,,1113,金融資產-減資後銷售，略估損益為500-2019/10/3,53463,,+
87,1081231,WF20191231137,,6123,金融資產-減資後銷售，略估損益為500-2019/10/4,161,,+
88,1081231,WF20191231137,,7243,金融資產-減資後銷售，略估損益為500-2019/10/5,76,,+
89,1081231,WF20191231137,,1113,金融資產-減資後銷售，略估損益為500-2019/10/3,,237,+
90,1081231,WF20191231137,,1121,金融資產-減資後銷售，略估損益為500-2019/10/6,,39913,+
91,1081231,WF20191231137,,7161,金融資產-減資後銷售，略估損益為500-2019/10/7,,13550,+
