序號,說明,會計科目,項目,傳票,金額,類別,當期日,細項,月份,所屬月份,增減,借/貸,發票,發票日期,種類,狀態,
32954,折舊-研發設備,6125,2,WF20191231009,63.00,0,2019/12/31 上午 12:00:00,0,12,0,0,1,,,3,0,
32955,折舊-研發設備,1586,1,WF20191231009,63.00,0,2019/12/31 上午 12:00:00,0,12,0,0,2,,,3,0,
33046,折舊-其他研發資產一項,6125,2,WF20191231034,96.00,0,2019/12/31 上午 12:00:00,0,12,0,0,1,,,3,0,
33047,折舊-其他研發資產一項,1586,1,WF20191231034,96.00,0,2019/12/31 上午 12:00:00,0,12,0,0,2,,,3,0,
33127,2018-03-31-KX-MB2128TW,6125,2,WF20191231054,2135.00,0,2019/12/31 上午 12:00:00,0,12,0,0,1,,,3,0,
33128,2018-03-31-KX-MB2128TW,1586,1,WF20191231054,2135.00,0,2019/12/31 上午 12:00:00,0,12,0,0,2,,,3,0,
33129,2018-06-04-Notebook,6125,2,WF20191231055,5700.00,0,2019/12/31 上午 12:00:00,0,12,0,0,1,,,3,0,
33130,2018-06-04-Notebook,1586,1,WF20191231055,5700.00,0,2019/12/31 上午 12:00:00,0,12,0,0,2,,,3,0,
33131,2018-06-01-設計硬體設備-01,6125,2,WF20191231056,3513.00,0,2019/12/31 上午 12:00:00,0,12,0,0,1,,,3,0,
33132,2018-06-01-設計硬體設備-01,1586,1,WF20191231056,3513.00,0,2019/12/31 上午 12:00:00,0,12,0,0,2,,,3,0,
33133,2018-06-06-設計硬體設備-附件,6125,2,WF20191231057,2307.00,0,2019/12/31 上午 12:00:00,0,12,0,0,1,,,3,0,
33134,2018-06-06-設計硬體設備-附件,1586,1,WF20191231057,2307.00,0,2019/12/31 上午 12:00:00,0,12,0,0,2,,,3,0,
33135,2018-07-25-電動零件,6125,2,WF20191231058,540.00,0,2019/12/31 上午 12:00:00,0,12,0,0,1,,,3,0,
33136,2018-07-25-電動零件,1586,1,WF20191231058,540.00,0,2019/12/31 上午 12:00:00,0,12,0,0,2,,,3,0,
33137,2018-08-20-usb 3.0 集線器,6125,2,WF20191231059,58.00,0,2019/12/31 上午 12:00:00,0,12,0,0,1,,,3,0,
33138,2018-08-20-usb 3.0 集線器,1586,1,WF20191231059,58.00,0,2019/12/31 上午 12:00:00,0,12,0,0,2,,,3,0,
33139,2018-08-22-研發電子零件,6125,2,WF20191231060,1477.00,0,2019/12/31 上午 12:00:00,0,12,0,0,1,,,3,0,
33140,2018-08-22-研發電子零件,1586,1,WF20191231060,1477.00,0,2019/12/31 上午 12:00:00,0,12,0,0,2,,,3,0,
33141,2018-09-09-switch,6125,2,WF20191231061,60.00,0,2019/12/31 上午 12:00:00,0,12,0,0,1,,,3,0,
33142,2018-09-09-switch,1586,1,WF20191231061,60.00,0,2019/12/31 上午 12:00:00,0,12,0,0,2,,,3,0,
33143,2018-09-24-三用電錶,6125,2,WF20191231062,54.00,0,2019/12/31 上午 12:00:00,0,12,0,0,1,,,3,0,
33144,2018-09-24-三用電錶,1586,1,WF20191231062,54.00,0,2019/12/31 上午 12:00:00,0,12,0,0,2,,,3,0,
33145,2018-09-25-充電供應轉換板-研發,6125,2,WF20191231063,193.00,0,2019/12/31 上午 12:00:00,0,12,0,0,1,,,3,0,
33146,2018-09-25-充電供應轉換板-研發,1586,1,WF20191231063,193.00,0,2019/12/31 上午 12:00:00,0,12,0,0,2,,,3,0,
33147,2018-09-25-顯示擴充板,6125,2,WF20191231064,162.00,0,2019/12/31 上午 12:00:00,0,12,0,0,1,,,3,0,
33148,2018-09-25-顯示擴充板,1586,1,WF20191231064,162.00,0,2019/12/31 上午 12:00:00,0,12,0,0,2,,,3,0,
33149,2018-10-04-研究發展的電路板設備、連接線,6125,2,WF20191231065,615.00,0,2019/12/31 上午 12:00:00,0,12,0,0,1,,,3,0,
33150,2018-10-04-研究發展的電路板設備、連接線,1586,1,WF20191231065,615.00,0,2019/12/31 上午 12:00:00,0,12,0,0,2,,,3,0,
33151,2018-10-08-研發電子零件一式,6125,2,WF20191231066,575.00,0,2019/12/31 上午 12:00:00,0,12,0,0,1,,,3,0,
33152,2018-10-08-研發電子零件一式,1586,1,WF20191231066,575.00,0,2019/12/31 上午 12:00:00,0,12,0,0,2,,,3,0,
33153,2018-10-09通訊用品,6125,2,WF20191231067,228.00,0,2019/12/31 上午 12:00:00,0,12,0,0,1,,,3,0,
33154,2018-10-09通訊用品,1586,1,WF20191231067,228.00,0,2019/12/31 上午 12:00:00,0,12,0,0,2,,,3,0,
33155,2018-10-14-鉗子工具,6125,2,WF20191231068,72.00,0,2019/12/31 上午 12:00:00,0,12,0,0,1,,,3,0,
33156,2018-10-14-鉗子工具,1586,1,WF20191231068,72.00,0,2019/12/31 上午 12:00:00,0,12,0,0,2,,,3,0,
33157,2018-10-25-電源轉接夾-使用各項連接零件上,6125,2,WF20191231069,18.00,0,2019/12/31 上午 12:00:00,0,12,0,0,1,,,3,0,
33158,2018-10-25-電源轉接夾-使用各項連接零件上,1586,1,WF20191231069,18.00,0,2019/12/31 上午 12:00:00,0,12,0,0,2,,,3,0,
33159,2018-10-25-吸鍚器,6125,2,WF20191231070,35.00,0,2019/12/31 上午 12:00:00,0,12,0,0,1,,,3,0,
33160,2018-10-25-吸鍚器,1586,1,WF20191231070,35.00,0,2019/12/31 上午 12:00:00,0,12,0,0,2,,,3,0,
33161,2018-11-07-NodeMcu、研發電子零件一批,6125,2,WF20191231071,440.00,0,2019/12/31 上午 12:00:00,0,12,0,0,1,,,3,0,
33162,2018-11-07-NodeMcu、研發電子零件一批,1586,1,WF20191231071,440.00,0,2019/12/31 上午 12:00:00,0,12,0,0,2,,,3,0,
33163,2018-11-16-研發電子零件一批,6125,2,WF20191231072,471.00,0,2019/12/31 上午 12:00:00,0,12,0,0,1,,,3,0,
33164,2018-11-16-研發電子零件一批,1586,1,WF20191231072,471.00,0,2019/12/31 上午 12:00:00,0,12,0,0,2,,,3,0,
33165,2018-11-23-電腦使用移動器具一項,6125,2,WF20191231073,181.00,0,2019/12/31 上午 12:00:00,0,12,0,0,1,,,3,0,
33166,2018-11-23-電腦使用移動器具一項,1586,1,WF20191231073,181.00,0,2019/12/31 上午 12:00:00,0,12,0,0,2,,,3,0,
33167,2018-12-10-研發零件乙批,6125,2,WF20191231074,372.00,0,2019/12/31 上午 12:00:00,0,12,0,0,1,,,3,0,
33168,2018-12-10-研發零件乙批,1586,1,WF20191231074,372.00,0,2019/12/31 上午 12:00:00,0,12,0,0,2,,,3,0,
33169,2018-12-24-研發零件乙批-研發費用-材料,6125,2,WF20191231075,361.00,0,2019/12/31 上午 12:00:00,0,12,0,0,1,,,3,0,
33170,2018-12-24-研發零件乙批-研發費用-材料,1586,1,WF20191231075,361.00,0,2019/12/31 上午 12:00:00,0,12,0,0,2,,,3,0,
33171,2018-12-27-電子器材-電路板熱接處理器材,6125,2,WF20191231076,98.00,0,2019/12/31 上午 12:00:00,0,12,0,0,1,,,3,0,
33172,2018-12-27-電子器材-電路板熱接處理器材,1586,1,WF20191231076,98.00,0,2019/12/31 上午 12:00:00,0,12,0,0,2,,,3,0,
33241,折舊-10/24發票-路由器,6125,2,WF20191231101,52.00,0,2019/12/31 上午 12:00:00,0,12,0,0,1,,,3,0,
33242,折舊-10/24發票-路由器,1586,1,WF20191231101,52.00,0,2019/12/31 上午 12:00:00,0,12,0,0,2,,,3,0,
33401,108年折舊-液晶43吋電視,6125,2,WF20191231157,271.00,0,2019/12/31 上午 12:00:00,0,12,0,0,1,,,3,0,
33402,108年折舊-液晶43吋電視,1586,1,WF20191231157,271.00,0,2019/12/31 上午 12:00:00,0,12,0,0,2,,,3,0,
