序號,科目,描述,借/貸,金額,
0,1113,加油,1,66911.00,
1,1121,透過損益按公允價值衡量之金融資產,1,271354.00,
2,1239,研發支出,1,1240.00,
3,1240,端子線、端子線附件,1,731.00,
4,1262,辦公租用,1,5450.00,
5,1266,11月份-業務人事行政使用,1,475.00,
6,1281,10月份員工勞健保,1,2050.00,
7,1283,員工已離職-其薪資結算支付上期未結清之自付勞健保,1,166.00,
8,1284,置物櫃保證金,1,100.00,
9,1431,傳真印表機,1,21418.00,
10,1533,WF20181001008--2018-10-01-研究資材,1,237232.00,
11,1551,2018-12-31-電腦網站、軟體模版、公司網站,1,300000.00,
12,1583,,1,3150.00,
13,1584,扺扣業主往來,1,0.00,
14,1586,研發零件乙批,1,12204.00,
15,2171,主管-11月份,2,1154.00,
16,2191,主管-11月份,2,49952.00,
17,3111,1031-董事長購買股本,2,500000.00,
18,3113,董事長購買股本,2,753430.00,
19,3351,107年結算,1,343682.00,
20,3353,107年結算,2,309482.00,
21,4111,銷貨軟體專業建置-1070801,2,7619.00,
22,4141,投資手續費折讓  1070913,2,400.00,
23,5111,11月份office365,1,11609.00,
24,5124,折讓,2,52.00,
25,5131,購買設備零組件.細牙,1,33.00,
26,5152,辦公租用,1,11855.00,
27,5153,傳輸線.充電線,1,1450.00,
28,5155,電動零件組成器-0524換日期,1,258.00,
29,5156,11月份網路網路電話費、網路費,1,5030.00,
30,5162,銷貨軟體專業建置-1070801,1,438.00,
31,5911,申請研發設備辦理費用-發票加統編,1,200.00,
32,6111,11月份-員工行動費用,1,266190.00,
33,6112,2月份辦公租金,1,18342.00,
34,6113,公司設備.碎紙機,1,1442.00,
35,6114,加油,1,5293.00,
36,6115,名片,1,100.00,
37,6120,11月份公司勞保費用,1,19230.00,
38,6122,獎助津貼,1,3222.00,
39,6123,稅捐,1,3382.00,
40,6125,2018-03-31-KX-MB2128TW,1,10733.00,
41,6134,工商憑證費,1,1389.00,
42,7111,銀行 107/6/21 利息收入,2,7.00,
43,7141,股利收入 1070810,2,6130.00,
44,7161,透過損益按公允價值衡量之金融資產,2,809.00,
45,7162,透過損益按公允價值衡量之金融資產-減少1%,1,5578.00,
46,7243,透過損益按公允價值衡量之金融資產,1,935.00,
47,7247,代聯收107-08-07   +交換票107-08-06,2,3837.00,
