序號,說明,會計科目,項目,傳票,金額,類別,當期日,細項,月份,所屬月份,增減,借/貸,發票,發票日期,種類,狀態,
132,研發零件乙批,1586,2,WF20181116001,743.00,0,2018/11/16 上午 12:00:00,0,11,0,0,1,JC06094818,,3,0,
133,研發零件乙批,6123,3,WF20181116001,37.00,0,2018/11/16 上午 12:00:00,0,11,0,0,1,JC06094818,,3,0,
134,研發零件乙批,1113,1,WF20181116001,780.00,0,2018/11/16 上午 12:00:00,0,11,0,0,2,JC06094818,,3,0,
142,電腦移動位置器具,1586,2,WF20181123001,285.00,0,2018/11/23 上午 12:00:00,0,11,0,0,1,JC04080587,,3,0,
143,電腦移動位置器具,6123,3,WF20181123001,14.00,0,2018/11/23 上午 12:00:00,0,11,0,0,1,JC04080587,,3,0,
144,電腦移動位置器具,1113,1,WF20181123001,299.00,0,2018/11/23 上午 12:00:00,0,11,0,0,2,JC04080587,,3,0,
174,研發零件乙批,1586,2,WF20181210001,588.00,0,2018/12/10 上午 12:00:00,0,12,0,0,1,JC06095423,,3,0,
175,研發零件乙批,6123,3,WF20181210001,29.00,0,2018/12/10 上午 12:00:00,0,12,0,0,1,JC06095423,,3,0,
176,研發零件乙批,1113,1,WF20181210001,617.00,0,2018/12/10 上午 12:00:00,0,12,0,0,2,JC06095423,,3,0,
181,研發零件乙批,1586,2,WF20181224001,570.00,0,2018/12/24 上午 12:00:00,0,12,0,0,1,JB32702063,,3,0,
182,研發零件乙批,6123,3,WF20181224001,29.00,0,2018/12/24 上午 12:00:00,0,12,0,0,1,JB32702063,,3,0,
183,研發零件乙批,1113,1,WF20181224001,599.00,0,2018/12/24 上午 12:00:00,0,12,0,0,2,JB32702063,,3,0,
184,電子器材,1586,2,WF20181227001,155.00,0,2018/12/27 上午 12:00:00,0,12,0,0,1,KP98934784,,3,0,
185,電子器材,6123,3,WF20181227001,8.00,0,2018/12/27 上午 12:00:00,0,12,0,0,1,KP98934784,,3,0,
186,電子器材,1113,1,WF20181227001,163.00,0,2018/12/27 上午 12:00:00,0,12,0,0,2,KP98934784,,3,0,
274,電動零件組成器-0524換日期,1586,2,WF20181231037,853.00,0,2018/12/31 上午 12:00:00,0,12,0,0,1,EH07565169,,2,0,
275,電動零件組成器-0524換日期,5155,3,WF20181231037,46.00,0,2018/12/31 上午 12:00:00,0,12,0,0,1,EH07565169,,2,0,
276,電動零件組成器-0524換日期,5162,4,WF20181231037,60.00,0,2018/12/31 上午 12:00:00,0,12,0,0,1,EH07565169,,2,0,
