序號,日期,傳票,項目,科目,描述,金額,借/貸,
3477,2022/1/3 上午 12:00:00,WF20220103001,2,4111,案件支付頭期款,9523.00,2,
3500,2022/2/1 上午 12:00:00,WF20220201002,2,4111,案件-第一期款 (發票先開),9523.00,2,
3482,2022/2/16 上午 12:00:00,WF20220216003,2,4111,案件支付第一期款,9523.00,2,
3489,2022/2/23 上午 12:00:00,WF20220223002,2,4111,銷售網路線、usb延長線、6插6開15尺延長線,657.00,2,
3878,2022/9/10 上午 12:00:00,WF20220910001,3,4111,20220910001-餐廳收入,60.00,2,
3888,2022/9/13 上午 12:00:00,WF20220913001,3,4111,20220913001-餐廳收入,120.00,2,
3537,2022/1/22 上午 12:00:00,WF20220122001,1,5111,ic卡*100,494.00,1,
3425,2022/1/24 上午 12:00:00,WF20220124001,1,5111,電子零件*1
IC讀卡機*5,1095.00,1,
3428,2022/1/26 上午 12:00:00,WF20220126001,1,5111,usb集線器,186.00,1,
3434,2022/1/26 上午 12:00:00,WF20220126003,1,5111,IC卡,200.00,1,
3509,2022/2/4 上午 12:00:00,WF20220204001,1,5111,延長線-1開4插(15尺)*2,466.00,1,
3515,2022/2/14 上午 12:00:00,WF20220214002,1,5111,攝影機 1290(稅)
腳架 250 (稅),1467.00,1,
3450,2022/2/17 上午 12:00:00,WF20220217001,1,5111,零件銷售-發票寄送,28.00,1,
