金心資訊科技有限公司,,
損益表,,
分類,項目,金額
營業淨利,營業收入,
營業淨利,銷貨退回,
營業淨利,銷貨折讓,
營業淨利,其他收入,
營業淨利,營業收入淨額,
營業淨利,營業成本,
營業淨利,營業毛利,
營業淨利,毛利率,
營業淨利,營業費用及損失總額,
營業淨利,費用率,
營業淨利,薪資支出,
營業淨利,租金支出,
營業淨利,文具用品,
營業淨利,旅費,
營業淨利,運費,
營業淨利,郵電費,
營業淨利,修繕費,
營業淨利,廣告費,
營業淨利,水電瓦斯費,
營業淨利,保險費,
營業淨利,交際費,
營業淨利,捐贈,
營業淨利,稅捐,
營業淨利,稅捐,
營業淨利,呆帳損失,
營業淨利,折舊,
營業淨利,各項耗竭及攤提,
營業淨利,外銷損失,
營業淨利,伙食費,
營業淨利,職工福利,
營業淨利,研究發展費,
營業淨利,佣金支出,
營業淨利,訓練費,
營業淨利,其他費用,
營業淨利,營業淨利,
營業淨利,營業淨利率,
非營業收入總額,非營業收入總額,
非營業收入總額,投資收益,
非營業收入總額,股利及盈餘,
非營業收入總額,利息收入,
非營業收入總額,租賃收入,
非營業收入總額,處分資產利益,
非營業收入總額,佣金收入,
非營業收入總額,兌換盈益,
非營業收入總額,其他收入,
非營業損失總額,非營業損失及費用總額,
非營業損失總額,利息支出,
非營業損失總額,投資損失,
非營業損失總額,處分資產損失,
非營業損失總額,災害損失,
非營業損失總額,兌換虧損,
非營業損失總額,其他損失,
損益及課稅所得,全年所得額,
損益及課稅所得,純益率,
損益及課稅所得,國際金融免稅所得,
損益及課稅所得,證券交易所得(損失),
損益及課稅所得,免徵所得稅之出售土地利益(損失),
損益及課稅所得,合於獎勵規定之免稅所得,
損益及課稅所得,適用噸位稅制收入之所得(損失),
損益及課稅所得,依船舶淨噸位計算之所得,
損益及課稅所得,中小企業增僱員工薪資費用加成減除金額,
損益及課稅所得,,
損益及課稅所得,前十年核定虧損本年度扣除額,
損益及課稅所得,課稅所得額,
