序號,日期,傳票,項目,科目,描述,金額,借/貸,
3015,2021/4/22 上午 12:00:00,WF20210422001,1,5155,金心出勤打卡系統-運費,65.00,1,
3016,2021/4/22 上午 12:00:00,WF20210422001,2,5111,金心出勤打卡系統-料件-銷貨成本,750.00,1,
3017,2021/4/22 上午 12:00:00,WF20210422001,3,1113,金心出勤打卡系統-銷貨成本,815.00,2,
3705,2021/12/31 上午 12:00:00,WF20211231001,1,5163,折舊-研發產品的原始碼及相關開發套件,22387.00,1,
3706,2021/12/31 上午 12:00:00,WF20211231001,2,1533,折舊-研發產品的原始碼及相關開發套件,22387.00,2,
3707,2021/12/31 上午 12:00:00,WF20211231002,1,5163,108年、109年軟硬體研發智財,82313.00,1,
3708,2021/12/31 上午 12:00:00,WF20211231002,2,1551,108年、109年軟硬體研發智財,82313.00,2,
3150,2021/6/30 上午 12:00:00,WF20210630001,1,5611,6月份薪資結算,23236.00,1,
3151,2021/6/30 上午 12:00:00,WF20210630001,2,6120,6月份薪資結算,330.00,1,
3152,2021/6/30 上午 12:00:00,WF20210630001,3,2191,6月份薪資結算,23316.00,2,
3153,2021/6/30 上午 12:00:00,WF20210630001,4,2171,6月份薪資結算,330.00,2,
3154,2021/6/30 上午 12:00:00,WF20210630001,5,1281,6月份薪資結算,80.00,1,
