序號,日期,傳票,項目,科目,描述,金額,借/貸
,2021/1/12 上午 12:00:00,WF20210112003,1,6111,1月份勞健保支出,2474,1
,2021/1/12 上午 12:00:00,WF20210112003,2,1281,1月份勞健保支出,2474,2
,2021/1/10 上午 12:00:00,WF20210112004,1,6111,一月份薪資勞健保支出,696,1
,2021/1/10 上午 12:00:00,WF20210112004,2,1281,一月份薪資勞健保支出,696,2
,2021/1/31 上午 12:00:00,WF20210131001,1,6111,二月份薪資,22304,1
,2021/1/31 上午 12:00:00,WF20210131001,2,1281,二月份勞健費,696,1
,2021/1/31 上午 12:00:00,WF20210131001,3,6120,二月份勞保費,2474,1
,2021/1/31 上午 12:00:00,WF20210131001,4,2171,二月份勞保費,2474,2
,2021/1/31 上午 12:00:00,WF20210131001,5,2191,二月份薪資,23000,2
,2021/2/10 上午 12:00:00,WF20210210002,1,6111,2月份勞健保支出,2474,1
,2021/2/10 上午 12:00:00,WF20210210002,2,1281,2月份勞健保支出,2474,2
,2021/2/28 上午 12:00:00,WF20210228001,1,6111,2月份薪資,31745,1
,2021/2/28 上午 12:00:00,WF20210228001,2,1281,2月份薪資,696,1
,2021/2/28 上午 12:00:00,WF20210228001,3,6120,2月份公司勞保,2474,1
,2021/2/28 上午 12:00:00,WF20210228001,4,2171,員工1月份健保費退款-2月份公司勞保,4106,2
,2021/2/28 上午 12:00:00,WF20210228001,5,2191,2月份薪資,30809,2
,2021/3/10 上午 12:00:00,WF20210310001,1,6111,3月份業務支出,684,1
,2021/3/10 上午 12:00:00,WF20210310001,3,1113,3月份業務支出,34,2
,2021/3/10 上午 12:00:00,WF20210310001,4,1261,3月份業務支出,684,2
,2021/4/10 上午 12:00:00,WF20210410001,1,6111,4月份業務支出,684,1
,2021/4/10 上午 12:00:00,WF20210410001,3,1113,4月份業務支出,34,2
,2021/4/10 上午 12:00:00,WF20210410001,1,1261,4月份業務支出,684,2
,2021/7/9 上午 12:00:00,WF20210709001,1,6111,7月份業務支出,684,1
,2021/7/9 上午 12:00:00,WF20210709001,3,1113,7月份業務支出,34,2
,2021/7/9 上午 12:00:00,WF20210709001,4,1262,7月份業務支出,684,2
,2021/8/4 上午 12:00:00,WF20210804001,1,6111,8月份業務支出,1048,1
,2021/8/4 上午 12:00:00,WF20210804001,3,1113,8月份業務支出,52,2
,2021/8/4 上午 12:00:00,WF20210804001,4,1261,8月份業務支出,1048,2
,2021/1/2 上午 12:00:00,WF20210102001,1,6112,1月份Office365,285,1
,2021/1/2 上午 12:00:00,WF20210102001,3,1113,1月份Office365,299,2
,2021/2/2 上午 12:00:00,WF20210202001,1,6112,2月份Office365,285,1
,2021/2/2 上午 12:00:00,WF20210202001,3,1113,2月份Office365,299,2
,2021/2/10 上午 12:00:00,WF20210210003,1,6112,2月份Office365換約,375,1
,2021/2/10 上午 12:00:00,WF20210210003,3,1113,2月份Office365換約,394,2
,2021/3/2 上午 12:00:00,WF20210302001,1,6112,3月份office365,70,1
,2021/3/2 上午 12:00:00,WF20210302001,3,1113,3月份office365,74,2
,2021/4/2 上午 12:00:00,WF20210402001,1,6112,4月份office365,375,1
,2021/4/2 上午 12:00:00,WF20210402001,3,1113,4月份office365,394,2
,2021/5/3 上午 12:00:00,WF20210503001,1,6112,5月份office365,375,1
,2021/5/3 上午 12:00:00,WF20210503001,3,1113,5月份office365,394,2
,2021/6/3 上午 12:00:00,WF20210603001,1,6112,6月份Office365,375,1
,2021/6/3 上午 12:00:00,WF20210603001,3,1113,6月份Office365,394,2
,2021/7/2 上午 12:00:00,WF20210702001,1,6112,7月份office365,375,1
,2021/7/2 上午 12:00:00,WF20210702001,3,1113,7月份office365,394,2
,2021/8/2 上午 12:00:00,WF20210802001,1,6112,8月份office365,375,1
,2021/8/2 上午 12:00:00,WF20210802001,3,1113,8月份office365,394,2
,2021/9/2 上午 12:00:00,WF20210902001,1,6112,Office365,375,1
,2021/9/2 上午 12:00:00,WF20210902001,3,1113,Office365,394,2
,2021/10/2 上午 12:00:00,WF20211002001,1,6112,Office365,375,1
,2021/10/2 上午 12:00:00,WF20211002001,3,1113,Office365,394,2
,2021/11/2 上午 12:00:00,WF20211102001,1,6112,Office365,375,1
,2021/11/2 上午 12:00:00,WF20211102001,3,1113,Office365,394,2
,2021/12/2 上午 12:00:00,WF20211202001,1,6112,Office365,375,1
,2021/12/2 上午 12:00:00,WF20211202001,3,1113,Office365,394,2
,2021/1/21 上午 12:00:00,WF20210121001,1,6114,出差停車費,19,1
,2021/1/21 上午 12:00:00,WF20210121001,3,1113,出差停車費,20,2
,2021/1/30 上午 12:00:00,WF20210130001,1,6114,油資,112,1
,2021/1/30 上午 12:00:00,WF20210130001,3,1113,油資,118,2
,2021/2/1 上午 12:00:00,WF20210201001,1,6114,109-12-30-油資,119,1
,2021/2/1 上午 12:00:00,WF20210201001,3,1113,109-12-30-油資,125,2
,2021/2/1 上午 12:00:00,WF20210201003,1,6114,109-11-26-出差停車費,19,1
,2021/2/1 上午 12:00:00,WF20210201003,3,1113,109-11-26-出差停車費,20,2
,2021/3/19 上午 12:00:00,WF20210319002,1,6114,油資,127,1
,2021/3/19 上午 12:00:00,WF20210319002,3,1113,油資,133,2
,2021/3/25 上午 12:00:00,WF20210325001,1,6114,油資,130,1
,2021/3/25 上午 12:00:00,WF20210325001,3,1113,油資,137,2
