序號,會計編碼,日期,傳票編號,摘要,種類,借,貸,借/貸,餘額
1,1113,1080101,WF20190101005,入帳保管櫃零用金,1,44562,,借,44562
1,1121,1080114,WF21090114002,金融資產減少,1,20325,,借,20325
1,1122,1081231,WF20191231153,108年度結算未實現損益,1,7975,,借,7975
1,1239,1081231,WF20191231136,電子零件盒之零件.螺母,1,917,,借,917
1,1240,1080127,WF20190127001,Led燈,1,3989,,借,3989
1,1261,1081120,WF20191120001,11月員工行動業務支出,1,0,,借,0
1,1262,1080101,WF20190101007,1080214轉1080101營業地預付租金-客戶要求,1,1128,,借,1128
1,1266,1080101,WF20190101004,主管發放年初獎金,1,451,,借,451
1,1281,1080102,WF20190102002,員工行政業務使用-薪資扣除沖帳,1,2328,,借,2328
1,1284,1080101,WF20190101005,入帳保管櫃零用金,1,200,,借,200
1,1533,1081231,WF20191231098,WF20181017001-2018-10-17-研究資材,1,514217,,借,514217
1,1551,1081231,WF20191231077,107--研發無形資產,1,812357,,借,812357
1,1555,1081231,WF20191231145,1080207--海關貨物一項,1,10701,,借,10701
1,1583,1081130,WF20191130007,換營業地-租金保證金回收,1,6000,,借,6000
1,1586,1080131,WF20190131004,研發資產-1071128-快遞發放發票模式更改,1,5806,,借,5806
1,2113,1080627,WF20190627001,6月份短期金周轉,1,0,,借,0
1,2171,1080101,WF20190101007,1080214轉1080101營業地預付租金-客戶要求,2,,60,貸,60
1,2191,1080105,WF20190105002,1月份薪資-主管,2,,34112,貸,34112
1,2197,1081231,WF20191231008,沖帳107年2月年終獎金-依員工績效發放(加班費認列),2,,100000,貸,100000
1,3111,1080127,WF20190127003,業主購買普通股股本,2,,1000000,貸,1000000
1,3113,1081210,WF20191210001,董事長購買股本,2,,996170,貸,996170
1,3351,1081231,WF20191231156,107年營所稅累計虧損重新計算-核定與營所稅相同,1,344214,,借,344214
1,5111,1080131,WF20190131002,104客戶網1月租金,1,1087,,借,1087
1,5124,1081231,WF20191231127,折讓--WH--59436994--合約到期後，不同合約再換約,2,,363,貸,363
1,5153,1080313,WF20190313002,研發使用文具,1,162,,借,162
1,5156,1080516,WF20190516004,5月份電話網路費用,1,1369,,借,1369
1,5162,1080219,WF20190219002,研發零件一批,1,108,,借,108
1,6111,1080103,WF20190103001,員工行政業務使用-薪資扣除,1,56169,,借,56169
1,6112,1080103,WF20190103003,1月份Office365 ,1,19965,,借,19965
1,6113,1080515,WF20191510001,影印機列印點數卡,1,986,,借,986
1,6114,1080104,WF20190104001,加油,1,4010,,借,4010
1,6115,1080516,WF20190516003,一年份印表機碳粉匣,1,95,,借,95
1,6116,1080103,WF20190103002,市話及網路費用,1,9678,,借,9678
1,6120,1080131,WF20190131002,1月份公司勞保費用,1,34287,,借,34287
1,6122,1080101,WF20190101004,主管發放年初獎金,1,100000,,借,100000
1,6123,1080101,WF20190101007,1080214轉1080101營業地預付租金-客戶要求,1,3776,,借,3776
1,6125,1081231,WF20191231009,折舊-研發設備,1,48234,,借,48234
1,6126,1081231,WF20191231098,WF20181017001-2018-10-17-研究資材,1,24129,,借,24129
1,6134,1080101,WF20190101006,電子零件-107-12-13無稅額,1,8344,,借,8344
1,6166,1081231,WF20191231004,WF20190501005-營所稅損益調整,2,,10449,貸,10449
1,7111,1081130,WF20191130003,1080621--利息收入,2,,7,貸,7
1,7141,1081130,WF20191130005,投資損益過多後的股利收入,2,,6980,貸,6980
1,7161,1081231,WF20191231131,沖帳--WF20191003002--減資後銷售，略估損益為500,2,,2822,貸,2822
1,7162,1080114,WF21090114002,損失 8.93%,1,38257,,借,38257
1,7236,1081129,WF20191129002,1080213--手續費收入,2,,157,貸,157
1,7243,1080114,WF21090114002,金融資產手續費,1,385,,借,385
1,1283,1070101,None,期初資訊,1,166,,借,166
1,1431,1070101,None,期初資訊,1,24743,,借,24743
