序號,日期,傳票編號,會計項目,會計編碼,摘要,借方金額,貸方金額,datatype
1,1070906,WF20180906001,,1113,沖帳-WF20180831001-行動費用-業務人事行政使用,487,,-
2,1070906,WF20180906001,,1266,沖帳-WF20180831001-行動費用-業務人事行政使用,,464,-
3,1070906,WF20180906001,,6123,沖帳-WF20180831001-行動費用-業務人事行政使用,,23,-
4,1070906,WF20180906002,,6111,8月份員工行動費用,503,,-
5,1070906,WF20180906002,,6123,8月份員工行動費用,25,,-
6,1070906,WF20180906002,,1113,8月份員工行動費用,,528,-
7,1070906,WF20180906001,,2191,沖帳-WF20180831001-一個員工-8月份,47463,,+
8,1070906,WF20180906001,,2171,沖帳-WF20180831001-8月份公司勞保費用,4024,,+
9,1070906,WF20180906001,,6111,沖帳-WF20180831001-一個員工-8月份,,47463,+
10,1070906,WF20180906001,,6120,沖帳-WF20180831001-8月份公司勞保費用,,1487,+
11,1070906,WF20180906001,,1266,沖帳-WF20180831001-行動費用-業務人事行政使用,,464,+
12,1070906,WF20180906001,,6123,沖帳-WF20180831001-行動費用-業務人事行政使用,,23,+
13,1070906,WF20180906001,,1281,沖帳-WF20180831001-員工勞健保,,2050,+
14,1070906,WF20180906002,,6111,一個員工-8月份,47463,,+
15,1070906,WF20180906002,,6120,8月份公司勞保費用,1487,,+
16,1070906,WF20180906002,,1266,行動費用-業務人事行政使用,503,,+
17,1070906,WF20180906002,,6123,行動費用-業務人事行政使用,25,,+
18,1070906,WF20180906002,,1281,員工勞健保,2050,,+
19,1070906,WF20180906002,,2191,一個員工-8月份,,47463,+
20,1070906,WF20180906002,,2171,8月份公司勞保費用,,4065,+
