序號,日期,傳票編號,會計項目,會計編碼,摘要,借方金額,貸方金額,datatype
33354,2019/12/31,WF20191231138,1121,12,沖帳-WF20191231138-金融資產-損失 8.93%,78155,,e
33355,2019/12/31,WF20191231138,7243,12,沖帳-WF20191231138-金融資產-損失 8.94%,,101,e
33353,2019/12/31,WF20191231138,7162,12,沖帳-WF20191231138-金融資產-損失 8.95%,,6955,e
33356,2019/12/31,WF20191231138,6123,12,沖帳-WF20191231138-金融資產-損失 8.96%,,213,e
33357,2019/12/31,WF20191231138,1113,12,沖帳-WF20191231138-金融資產-損失 8.97%,,70886,e
32335,2019/3/11,WF20190311003,1121,3,沖帳-WF20190311003-金融資產-減少-11%,8684,,e
32333,2019/3/11,WF20190311003,7162,3,沖帳-WF20190311003-金融資產減少-11%,,964,e
32334,2019/3/11,WF20190311003,7243,3,沖帳-WF20190311003-金融資產減少-11%,,20,e
32336,2019/3/11,WF20190311003,6123,3,沖帳-WF20190311003-金融資產減少-11%,,23,e
32337,2019/3/11,WF20190311003,1113,3,沖帳-WF20190311003-金融資產減少-11%,,7677,e
32366,2019/3/19,WF20190319002,1121,3,沖帳-WF20190319002-金融資產-增加 6.7%,35812,,e
32364,2019/3/19,WF20190319002,7161,3,沖帳-WF20190319002-金融資產增加 6.7%,2388,,e
32365,2019/3/19,WF20190319002,7243,3,沖帳-WF20190319002-金融資產增加 6.7%,,54,e
32367,2019/3/19,WF20190319002,6123,3,沖帳-WF20190319002-金融資產增加 6.7%,,114,e
32368,2019/3/19,WF20190319002,1113,3,沖帳-WF20190319002-金融資產增加 6.7%,,38032,e
33413,2019/5/15,WF20191510003,1121,5,沖帳-WF20191510003-金融資產-減少 48.94%,52343,,e
33412,2019/5/15,WF20191510003,7243,5,沖帳-WF20191510003-金融資產減少 48.94%,,38,e
33414,2019/5/15,WF20191510003,6123,5,沖帳-WF20191510003-金融資產減少 48.94%,,80,e
33411,2019/5/15,WF20191510003,7162,5,沖帳-WF20191510003-金融資產減少 48.94%,,25559,e
33415,2019/5/15,WF20191510003,1113,5,沖帳-WF20191510003-金融資產減少 48.94%,,26666,e
32596,2019/7/26,WF20190726002,1121,7,沖帳-WF20190726002-金融資產-損失1.31%,34348,,e
32594,2019/7/26,WF20190726002,7162,7,沖帳-WF20190726002-金融資產-損失1.31%,,448,e
32595,2019/7/26,WF20190726002,7243,7,沖帳-WF20190726002-金融資產-損失1.31%,,48,e
32597,2019/7/26,WF20190726002,6123,7,沖帳-WF20190726002-金融資產-損失1.31%,,101,e
32598,2019/7/26,WF20190726002,1113,7,沖帳-WF20190726002-金融資產-損失1.31%,,33751,e
32601,2019/7/29,WF20190729001,1121,7,沖帳-WF20190729001-金融資產-損失39.49%,11006,,e
32602,2019/7/29,WF20190729001,6123,7,沖帳-WF20190729001-金融資產-損失39.49%,,20,e
32599,2019/7/29,WF20190729001,7162,7,沖帳-WF20190729001-金融資產-損失39.49%,,4331,e
32600,2019/7/29,WF20190729001,7243,7,沖帳-WF20190729001-金融資產-損失39.49%,,20,e
32603,2019/7/29,WF20190729001,1113,7,沖帳-WF20190729001-金融資產-損失39.49%,,6635,e
32704,2019/9/10,WF20190910004,1121,9,沖帳-WF20190910004-金融資產-金融資產購買,20308,,e
32703,2019/9/10,WF20190910004,1113,9,沖帳-WF20190910004-金融資產購買,,20280,e
32705,2019/9/10,WF20190910004,7243,9,沖帳-WF20190910004-金融資產購買,,28,e
33349,2019/12/31,WF20191231137,1121,12,沖帳-WF20191231137-金融資產-減資後銷售，略估損益為500,40150,,e
33348,2019/12/31,WF20191231137,7161,12,沖帳-WF20191231137-金融資產-減資後銷售，略估損益為501,13550,,e
