序號,會計編碼,日期,傳票編號,摘要,種類,借,貸,借/貸,餘額
1,1113,1070103,WF20180103001,加油,1,49780,,借,49780
1,1121,1070314,WF20180314001,透過損益按公允價值衡量之金融資產,1,288742,,借,288742
1,1239,1070313,WF20180313001,研發支出,1,1240,,借,1240
1,1240,1070817,WF20180817001,研發線材：杜邦線,1,731,,借,731
1,1262,1070430,WF20180430006,辦公租金-5月份租金支出(2個月)-發票日期 3/26,1,5450,,借,5450
1,1266,1070906,WF20180906002,行動費用-業務人事行政使用,1,475,,借,475
1,1281,1070305,WF20180305001,勞健保,1,3357,,借,3357
1,1283,1071231,WF20181231125,3月份員工離職後借支勞健保費用,1,166,,借,166
1,1284,1070530,WF20180530002,置物櫃保證金,1,100,,借,100
1,1431,1070331,WF20180331005,傳真印表機,1,21418,,借,21418
1,1533,1071231,WF20181231068,WF20181001008--2018-10-01-研究資材,1,237232,,借,237232
1,1584,1070312,WF20180312001,扺扣業主往來,1,0,,借,0
1,1586,1070601,WF20180601003,研發費用-開發設備-3年折舊-換發票06月01日,1,12204,,借,12204
1,2171,1070331,WF20180331002,兩個員工退休金、勞保、健保,2,,1154,貸,1154
1,2191,1070331,WF20180331002,員工薪資,2,,49952,貸,49952
1,3111,1070331,WF20180331004,傳真印表機,2,,500000,貸,500000
1,3113,1071130,WF20181130003,董事長購買股本,2,,453430,貸,453430
1,3351,1071231,WF20181231102,107年結算,1,343682,,借,343682
1,3353,1071231,WF20181231102,107年結算,2,,309482,貸,309482
1,4111,1071231,WF20181231007,銷貨軟體專業建置-1070801,2,,7619,貸,7619
1,4141,1071231,WF20181231046,投資手續費折讓  1070913,2,,400,貸,400
1,5111,1070501,WF20180501007,104網 3個月又17天的費用,1,11609,,借,11609
1,5124,1070114,WF20180114001,折讓,2,,52,貸,52
1,5131,1070406,WF20180406001,購買設備零組件.細牙,1,33,,借,33
1,5152,1070324,WF20180324001,Office365 商務版,1,11855,,借,11855
1,5153,1070108,WF20180108001,傳輸線.充電線,1,1450,,借,1450
1,5155,1070516,WF20180516002,自動原子筆、壓克力刀,1,258,,借,258
1,5156,1070716,WF20180716002,7月份網路網路電話費、網路費,1,4566,,借,4566
1,5162,1070324,WF20180324001,Office365 商務版,1,438,,借,438
1,5911,1070601,WF20180601002,申請研發設備辦理費用-發票加統編,1,200,,借,200
1,6111,1070305,WF20180305001,1位員工、員工自付1月健保費,1,266654,,借,266654
1,6112,1070202,WF20180202001,2月份辦公租金,1,18342,,借,18342
1,6113,1070104,WF20180104001,公司設備.碎紙機,1,1442,,借,1442
1,6114,1070103,WF20180103001,加油,1,5293,,借,5293
1,6115,1070207,WF20180207002,名片,1,100,,借,100
1,6120,1070305,WF20180305001,2月單位勞保費、勞工就業保險、退休金,1,17784,,借,17784
1,6122,1070807,WF20180807001,獎助津貼,1,3222,,借,3222
1,6123,1070103,WF20180103001,稅捐,1,3382,,借,3382
1,6130,1071231,WF20181231011,2018-03-31-KX-MB2128TW,1,10733,,借,10733
1,6134,1070103,WF20180103002,工商憑證費,1,1389,,借,1389
1,7111,1071231,WF20181231012,銀行 107/6/21 利息收入,2,,7,貸,7
1,7141,1071231,WF20181231043,股利收入 1070810,2,,6130,貸,6130
1,7161,1070316,WF20180316003,透過損益按公允價值衡量之金融資產,2,,951,貸,951
1,7162,1070830,WF20180830001,透過損益按公允價值衡量之金融資產-減少1%,1,5578,,借,5578
1,7243,1070314,WF20180314001,透過損益按公允價值衡量之金融資產,1,959,,借,959
1,7247,1071231,WF20181231008,代聯收107-08-07   +交換票107-08-06,2,,3837,貸,3837
1,1583,1070101,None,期初資訊,1,3150,,借,3150
