序號,科目,日期,借/貸,描述,金額,
1,4111,2018/12/31 上午 12:00:00,2,銷貨軟體專業建置-1070801,7619.00,
2,4141,2018/12/31 上午 12:00:00,2,投資手續費折讓  1070913,400.00,
3,5111,2018/11/3 上午 12:00:00,1,11月份office365,11609.00,
4,5124,2018/1/14 上午 12:00:00,2,折讓,52.00,
5,5131,2018/4/6 上午 12:00:00,1,購買設備零組件.細牙,33.00,
6,5152,2018/11/1 上午 12:00:00,1,辦公租用,11855.00,
7,5153,2018/1/8 上午 12:00:00,1,傳輸線.充電線,1450.00,
8,5155,2018/12/31 上午 12:00:00,1,電動零件組成器-0524換日期,258.00,
9,5156,2018/11/15 上午 12:00:00,1,11月份網路網路電話費、網路費,5030.00,
10,5911,2018/6/1 上午 12:00:00,1,申請研發設備辦理費用-發票加統編,200.00,
