序號,科目,借/貸,描述,金額,
1,6134,1,五金百貨,100.00,
2,6123,1,五金百貨,5.00,
3,1113,2,五金百貨,105.00,
4,6134,1,停車費,19.00,
5,6123,1,停車費,1.00,
6,1113,2,停車費,20.00,
7,6134,1,出差停車費,19.00,
8,6123,1,出差停車費,1.00,
9,1113,2,出差停車費,20.00,
10,6134,1,有線電視投資、時事取得,512.00,
11,1262,2,有線電視投資、時事取得,512.00,
12,6134,1,有線電視投資、時事取得,512.00,
13,1262,2,有線電視投資、時事取得,512.00,
14,6134,1,有線電視投資、時事取得,512.00,
15,1262,2,有線電視投資、時事取得,512.00,
16,6134,1,有線電視投資、時事取得,512.00,
17,1262,2,有線電視投資、時事取得,512.00,
18,6134,1,公司行銷業務補貼行動費用,684.00,
19,6123,1,公司行銷業務補貼行動費用,34.00,
20,1113,2,公司行銷業務補貼行動費用,718.00,
21,6134,1,110-08-07-無糖烏龍茶,1086.00,
22,6123,1,110-08-07-無糖烏龍茶,54.00,
23,6123,2,110-08-07-無糖烏龍茶,1140.00,
24,6134,1,32吋電視,4752.00,
25,6123,1,32吋電視,238.00,
26,1113,2,32吋電視,4990.00,
27,6134,1,有線電視投資、時事取得,512.00,
28,1262,2,有線電視投資、時事取得,512.00,
29,6134,1,停車費,20.00,
30,1113,2,停車費,20.00,
31,6134,1,電話端子6P*2P,10.00,
32,1113,2,電話端子6P*2P,10.00,
33,6134,1,電池,48.00,
34,6123,1,電池,2.00,
35,1113,2,電池,50.00,
36,6134,1,媒體投資娛樂費,512.00,
37,1262,2,媒體投資娛樂費,512.00,
38,6134,1,百貨,170.00,
39,6123,1,百貨,8.00,
40,1113,2,百貨,178.00,
41,6134,1,負責人電話津貼,684.00,
42,6123,1,負責人電話津貼,34.00,
43,1113,2,負責人電話津貼,718.00,
44,6134,1,百貨,67.00,
45,6123,1,百貨,3.00,
46,1113,2,百貨,70.00,
47,6134,1,借用汔車百貨,14.00,
48,6123,1,借用汔車百貨,1.00,
49,1113,2,借用汔車百貨,15.00,
50,6134,1,辛勞津貼-餐費,138.00,
51,6123,1,辛勞津貼-餐費,7.00,
52,1113,2,辛勞津貼-餐費,145.00,
53,6134,1,媒體投資娛樂費,512.00,
54,1262,2,媒體投資娛樂費,512.00,
55,6134,1,停車費,29.00,
56,6123,1,停車費,1.00,
57,1113,2,停車費,30.00,
58,6134,1,停車費-修鎖,19.00,
59,6123,1,停車費-修鎖,1.00,
60,1113,2,停車費-修鎖,20.00,
61,6134,1,負責人電話津貼,688.00,
62,6123,1,負責人電話津貼,34.00,
63,1113,2,負責人電話津貼,722.00,
64,6134,1,發票,18.00,
65,1113,2,發票,18.00,
66,6134,1,寄發票-郵資,28.00,
67,1113,2,寄發票-郵資,28.00,
68,6134,1,五金百貨,100.00,
69,6123,1,五金百貨,5.00,
70,1113,2,五金百貨,105.00,
71,6134,1,停車費,19.00,
72,6123,1,停車費,1.00,
73,1113,2,停車費,20.00,
74,6134,1,出差停車費,19.00,
75,6123,1,出差停車費,1.00,
76,1113,2,出差停車費,20.00,
77,6134,1,有線電視投資、時事取得,512.00,
78,1262,2,有線電視投資、時事取得,512.00,
79,6134,1,有線電視投資、時事取得,512.00,
80,1262,2,有線電視投資、時事取得,512.00,
81,6134,1,有線電視投資、時事取得,512.00,
82,1262,2,有線電視投資、時事取得,512.00,
83,6134,1,有線電視投資、時事取得,512.00,
84,1262,2,有線電視投資、時事取得,512.00,
85,6134,1,公司行銷業務補貼行動費用,684.00,
86,6123,1,公司行銷業務補貼行動費用,34.00,
87,1113,2,公司行銷業務補貼行動費用,718.00,
88,6134,1,110-08-07-無糖烏龍茶,1086.00,
89,6123,1,110-08-07-無糖烏龍茶,54.00,
90,6123,2,110-08-07-無糖烏龍茶,1140.00,
91,6134,1,32吋電視,4752.00,
92,6123,1,32吋電視,238.00,
93,1113,2,32吋電視,4990.00,
94,6134,1,有線電視投資、時事取得,512.00,
95,1262,2,有線電視投資、時事取得,512.00,
96,6134,1,停車費,20.00,
97,1113,2,停車費,20.00,
98,6134,1,電話端子6P*2P,10.00,
99,1113,2,電話端子6P*2P,10.00,
100,6134,1,電池,48.00,
101,6123,1,電池,2.00,
102,1113,2,電池,50.00,
103,6134,1,媒體投資娛樂費,512.00,
104,1262,2,媒體投資娛樂費,512.00,
105,6134,1,百貨,170.00,
106,6123,1,百貨,8.00,
107,1113,2,百貨,178.00,
108,6134,1,負責人電話津貼,684.00,
109,6123,1,負責人電話津貼,34.00,
110,1113,2,負責人電話津貼,718.00,
111,6134,1,百貨,67.00,
112,6123,1,百貨,3.00,
113,1113,2,百貨,70.00,
114,6134,1,借用汔車百貨,14.00,
115,6123,1,借用汔車百貨,1.00,
116,1113,2,借用汔車百貨,15.00,
117,6134,1,辛勞津貼-餐費,138.00,
118,6123,1,辛勞津貼-餐費,7.00,
119,1113,2,辛勞津貼-餐費,145.00,
120,6134,1,媒體投資娛樂費,512.00,
121,1262,2,媒體投資娛樂費,512.00,
122,6134,1,停車費,29.00,
123,6123,1,停車費,1.00,
124,1113,2,停車費,30.00,
125,6134,1,停車費-修鎖,19.00,
126,6123,1,停車費-修鎖,1.00,
127,1113,2,停車費-修鎖,20.00,
128,6134,1,負責人電話津貼,688.00,
129,6123,1,負責人電話津貼,34.00,
130,1113,2,負責人電話津貼,722.00,
131,6134,1,發票,18.00,
132,1113,2,發票,18.00,
133,6134,1,寄發票-郵資,28.00,
134,1113,2,寄發票-郵資,28.00,
