序號,日期,傳票,項目,科目,描述,金額,借/貸,
2712,2021/1/12 上午 12:00:00,WF20210112003,1,6111,1月份勞健保支出,2474.00,1,
2713,2021/1/12 上午 12:00:00,WF20210112003,2,1281,1月份勞健保支出,2474.00,2,
2719,2021/1/10 上午 12:00:00,WF20210112004,1,6111,一月份薪資,696.00,1,
2720,2021/1/10 上午 12:00:00,WF20210112004,2,1281,一月份薪資,696.00,2,
2714,2021/1/31 上午 12:00:00,WF20210131001,1,6111,二月份薪資,22304.00,1,
2715,2021/1/31 上午 12:00:00,WF20210131001,2,1281,二月份勞健費,696.00,1,
2716,2021/1/31 上午 12:00:00,WF20210131001,3,6120,二月份勞保費,2474.00,1,
2717,2021/1/31 上午 12:00:00,WF20210131001,4,2171,二月份勞保費,2474.00,2,
2718,2021/1/31 上午 12:00:00,WF20210131001,5,2191,二月份薪資,23000.00,2,
2748,2021/2/10 上午 12:00:00,WF20210210002,1,6111,2月份勞健保支出,2474.00,1,
2749,2021/2/10 上午 12:00:00,WF20210210002,2,1281,2月份勞健保支出,2474.00,2,
2768,2021/2/28 上午 12:00:00,WF20210228001,1,6111,2月份薪資,31745.00,1,
2769,2021/2/28 上午 12:00:00,WF20210228001,2,1281,2月份薪資,696.00,1,
2770,2021/2/28 上午 12:00:00,WF20210228001,3,6120,2月份公司勞保,2474.00,1,
2771,2021/2/28 上午 12:00:00,WF20210228001,4,2171,員工1月份健保費退款-2月份公司勞保,4106.00,2,
2772,2021/2/28 上午 12:00:00,WF20210228001,5,2191,2月份薪資,30809.00,2,
2948,2021/3/10 上午 12:00:00,WF20210310001,1,6111,3月份業務支出,684.00,1,
2949,2021/3/10 上午 12:00:00,WF20210310001,2,6123,3月份業務支出,34.00,1,
2950,2021/3/10 上午 12:00:00,WF20210310001,3,1113,3月份業務支出,34.00,2,
2951,2021/3/10 上午 12:00:00,WF20210310001,4,1261,3月份業務支出,684.00,2,
2947,2021/3/10 上午 12:00:00,WF20210310002,1,6111,3月份勞健保支出,696.00,1,
2952,2021/3/10 上午 12:00:00,WF20210310002,2,1281,3月份勞健保支出,696.00,2,
2939,2021/3/31 上午 12:00:00,WF20210331001,1,1261,3月份業務支出,684.00,1,
2940,2021/3/31 上午 12:00:00,WF20210331001,2,2171,3月份薪資,2474.00,2,
2941,2021/3/31 上午 12:00:00,WF20210331001,3,6111,3月份薪資,15145.00,1,
2942,2021/3/31 上午 12:00:00,WF20210331001,4,6120,3月份保險費,2474.00,1,
2943,2021/3/31 上午 12:00:00,WF20210331001,5,1281,3月份勞健保,2328.00,1,
2954,2021/3/31 上午 12:00:00,WF20210331001,6,2191,3月份薪資,18157.00,2,
2981,2021/4/10 上午 12:00:00,WF20210410001,1,6111,4月份業務支出,684.00,1,
2982,2021/4/10 上午 12:00:00,WF20210410001,2,6123,4月份業務支出,34.00,1,
2983,2021/4/10 上午 12:00:00,WF20210410001,3,1113,4月份業務支出,34.00,2,
2984,2021/4/10 上午 12:00:00,WF20210410001,1,1261,4月份業務支出,684.00,2,
2973,2021/4/30 上午 12:00:00,WF20210430001,1,2171,4月份薪資,2474.00,2,
2974,2021/4/30 上午 12:00:00,WF20210430001,2,6111,4月份薪資,12008.00,1,
2975,2021/4/30 上午 12:00:00,WF20210430001,3,6120,4月份保險費,2474.00,1,
2976,2021/4/30 上午 12:00:00,WF20210430001,4,1281,4月份勞健保,2328.00,1,
2985,2021/4/13 上午 12:00:00,WF20210430001,5,2191,4月份薪資,14336.00,2,
3102,2021/5/31 上午 12:00:00,WF20210531001,1,2171,5月份薪資,2474.00,2,
3103,2021/5/31 上午 12:00:00,WF20210531001,2,6111,5月份薪資,15000.00,1,
3104,2021/5/31 上午 12:00:00,WF20210531001,3,6120,5月份保險費,2474.00,1,
3105,2021/5/31 上午 12:00:00,WF20210531001,4,1281,5月份勞健保,2328.00,1,
3114,2021/5/31 上午 12:00:00,WF20210531001,5,2191,5月份薪資,17328.00,2,
3225,2021/7/9 上午 12:00:00,WF20210709001,1,6111,7月份業務支出,684.00,1,
3226,2021/7/9 上午 12:00:00,WF20210709001,2,6123,7月份業務支出,34.00,1,
3227,2021/7/9 上午 12:00:00,WF20210709001,3,1113,7月份業務支出,34.00,2,
3228,2021/7/9 上午 12:00:00,WF20210709001,4,1262,7月份業務支出,684.00,2,
3235,2021/8/4 上午 12:00:00,WF20210804001,1,6111,8月份業務支出,1048.00,1,
3236,2021/8/4 上午 12:00:00,WF20210804001,2,6123,8月份業務支出,52.00,1,
3237,2021/8/4 上午 12:00:00,WF20210804001,3,1113,8月份業務支出,52.00,2,
3238,2021/8/4 上午 12:00:00,WF20210804001,4,1261,8月份業務支出,1048.00,2,
2701,2021/1/2 上午 12:00:00,WF20210102001,1,6112,1月份Office365,285.00,1,
2702,2021/1/2 上午 12:00:00,WF20210102001,2,6123,1月份Office365,14.00,1,
2703,2021/1/2 上午 12:00:00,WF20210102001,3,1113,1月份Office365,299.00,2,
2742,2021/2/2 上午 12:00:00,WF20210202001,1,6112,2月份Office365,285.00,1,
2743,2021/2/2 上午 12:00:00,WF20210202001,2,6123,2月份Office365,14.00,1,
2744,2021/2/2 上午 12:00:00,WF20210202001,3,1113,2月份Office365,299.00,2,
2750,2021/2/10 上午 12:00:00,WF20210210003,1,6112,2月份Office365換約,375.00,1,
2751,2021/2/10 上午 12:00:00,WF20210210003,2,6123,2月份Office365換約,19.00,1,
2752,2021/2/10 上午 12:00:00,WF20210210003,3,1113,2月份Office365換約,394.00,2,
2936,2021/3/2 上午 12:00:00,WF20210302001,1,6112,3月份office365,70.00,1,
2937,2021/3/2 上午 12:00:00,WF20210302001,2,6123,3月份office365,4.00,1,
2938,2021/3/2 上午 12:00:00,WF20210302001,3,1113,3月份office365,74.00,2,
2969,2021/4/2 上午 12:00:00,WF20210402001,1,6112,4月份office365,375.00,1,
2970,2021/4/2 上午 12:00:00,WF20210402001,2,6123,4月份office365,19.00,1,
2971,2021/4/2 上午 12:00:00,WF20210402001,3,1113,4月份office365,394.00,2,
3098,2021/5/3 上午 12:00:00,WF20210503001,1,6112,5月份office365,375.00,1,
3099,2021/5/3 上午 12:00:00,WF20210503001,2,6123,5月份office365,19.00,1,
3100,2021/5/3 上午 12:00:00,WF20210503001,3,1113,5月份office365,394.00,2,
3141,2021/6/3 上午 12:00:00,WF20210603001,1,6112,6月份Office365,375.00,1,
3142,2021/6/3 上午 12:00:00,WF20210603001,2,6123,6月份Office365,19.00,1,
3143,2021/6/3 上午 12:00:00,WF20210603001,3,1113,6月份Office365,394.00,2,
3229,2021/7/2 上午 12:00:00,WF20210702001,1,6112,7月份office365,375.00,1,
3230,2021/7/2 上午 12:00:00,WF20210702001,2,6123,7月份office365,19.00,1,
3231,2021/7/2 上午 12:00:00,WF20210702001,3,1113,7月份office365,394.00,2,
3232,2021/8/2 上午 12:00:00,WF20210802001,1,6112,8月份office365,375.00,1,
3233,2021/8/2 上午 12:00:00,WF20210802001,2,6123,8月份office365,19.00,1,
3234,2021/8/2 上午 12:00:00,WF20210802001,3,1113,8月份office365,394.00,2,
3663,2021/9/2 上午 12:00:00,WF20210902001,1,6112,Office365,375.00,1,
3664,2021/9/2 上午 12:00:00,WF20210902001,2,6123,Office365,19.00,1,
3665,2021/9/2 上午 12:00:00,WF20210902001,3,1113,Office365,394.00,2,
3684,2021/10/2 上午 12:00:00,WF20211002001,1,6112,Office365,375.00,1,
3685,2021/10/2 上午 12:00:00,WF20211002001,2,6123,Office365,19.00,1,
3686,2021/10/2 上午 12:00:00,WF20211002001,3,1113,Office365,394.00,2,
3310,2021/11/2 上午 12:00:00,WF20211102001,1,6112,Office365,375.00,1,
3311,2021/11/2 上午 12:00:00,WF20211102001,2,6123,Office365,19.00,1,
3312,2021/11/2 上午 12:00:00,WF20211102001,3,1113,Office365,394.00,2,
3313,2021/12/2 上午 12:00:00,WF20211202001,1,6112,Office365,375.00,1,
3314,2021/12/2 上午 12:00:00,WF20211202001,2,6123,Office365,19.00,1,
3315,2021/12/2 上午 12:00:00,WF20211202001,3,1113,Office365,394.00,2,
2759,2021/1/21 上午 12:00:00,WF20210121001,1,6114,出差停車費,19.00,1,
2760,2021/1/21 上午 12:00:00,WF20210121001,2,6123,出差停車費,1.00,1,
2761,2021/1/21 上午 12:00:00,WF20210121001,3,1113,出差停車費,20.00,2,
2721,2021/1/30 上午 12:00:00,WF20210130001,1,6114,油資,112.00,1,
2722,2021/1/30 上午 12:00:00,WF20210130001,2,6123,油資,6.00,1,
2723,2021/1/30 上午 12:00:00,WF20210130001,3,1113,油資,118.00,2,
2729,2021/2/1 上午 12:00:00,WF20210201001,1,6114,109-12-30-油資,119.00,1,
2730,2021/2/1 上午 12:00:00,WF20210201001,2,6123,109-12-30-油資,6.00,1,
2731,2021/2/1 上午 12:00:00,WF20210201001,3,1113,109-12-30-油資,125.00,2,
2762,2021/2/1 上午 12:00:00,WF20210201003,1,6114,109-11-26-出差停車費,19.00,1,
2763,2021/2/1 上午 12:00:00,WF20210201003,2,6123,109-11-26-出差停車費,1.00,1,
2764,2021/2/1 上午 12:00:00,WF20210201003,3,1113,109-11-26-出差停車費,20.00,2,
2961,2021/3/19 上午 12:00:00,WF20210319002,1,6114,油資,127.00,1,
2962,2021/3/19 上午 12:00:00,WF20210319002,2,6123,油資,6.00,1,
