序號,日期,傳票,項目,科目,描述,金額,借/貸,
2712,2021/1/12 上午 12:00:00,WF20210112003,1,6111,1月份勞健保支出,2474.00,1,
2719,2021/1/10 上午 12:00:00,WF20210112004,1,6111,一月份薪資,696.00,1,
2714,2021/1/31 上午 12:00:00,WF20210131001,1,6111,二月份薪資,22304.00,1,
2748,2021/2/10 上午 12:00:00,WF20210210002,1,6111,2月份勞健保支出,2474.00,1,
2768,2021/2/28 上午 12:00:00,WF20210228001,1,6111,2月份薪資,31745.00,1,
2948,2021/3/10 上午 12:00:00,WF20210310001,1,6111,3月份業務支出,684.00,1,
2947,2021/3/10 上午 12:00:00,WF20210310002,1,6111,3月份勞健保支出,696.00,1,
2941,2021/3/31 上午 12:00:00,WF20210331001,3,6111,3月份薪資,15145.00,1,
2981,2021/4/10 上午 12:00:00,WF20210410001,1,6111,4月份業務支出,684.00,1,
2974,2021/4/30 上午 12:00:00,WF20210430001,2,6111,4月份薪資,12008.00,1,
3103,2021/5/31 上午 12:00:00,WF20210531001,2,6111,5月份薪資,15000.00,1,
3225,2021/7/9 上午 12:00:00,WF20210709001,1,6111,7月份業務支出,684.00,1,
3235,2021/8/4 上午 12:00:00,WF20210804001,1,6111,8月份業務支出,1048.00,1,
2701,2021/1/2 上午 12:00:00,WF20210102001,1,6112,1月份Office365,285.00,1,
2742,2021/2/2 上午 12:00:00,WF20210202001,1,6112,2月份Office365,285.00,1,
2750,2021/2/10 上午 12:00:00,WF20210210003,1,6112,2月份Office365換約,375.00,1,
2936,2021/3/2 上午 12:00:00,WF20210302001,1,6112,3月份office365,70.00,1,
2969,2021/4/2 上午 12:00:00,WF20210402001,1,6112,4月份office365,375.00,1,
3098,2021/5/3 上午 12:00:00,WF20210503001,1,6112,5月份office365,375.00,1,
3141,2021/6/3 上午 12:00:00,WF20210603001,1,6112,6月份Office365,375.00,1,
3229,2021/7/2 上午 12:00:00,WF20210702001,1,6112,7月份office365,375.00,1,
3232,2021/8/2 上午 12:00:00,WF20210802001,1,6112,8月份office365,375.00,1,
3663,2021/9/2 上午 12:00:00,WF20210902001,1,6112,Office365,375.00,1,
3684,2021/10/2 上午 12:00:00,WF20211002001,1,6112,Office365,375.00,1,
3310,2021/11/2 上午 12:00:00,WF20211102001,1,6112,Office365,375.00,1,
3313,2021/12/2 上午 12:00:00,WF20211202001,1,6112,Office365,375.00,1,
2759,2021/1/21 上午 12:00:00,WF20210121001,1,6114,出差停車費,19.00,1,
2721,2021/1/30 上午 12:00:00,WF20210130001,1,6114,油資,112.00,1,
2729,2021/2/1 上午 12:00:00,WF20210201001,1,6114,109-12-30-油資,119.00,1,
2762,2021/2/1 上午 12:00:00,WF20210201003,1,6114,109-11-26-出差停車費,19.00,1,
2961,2021/3/19 上午 12:00:00,WF20210319002,1,6114,油資,127.00,1,
2958,2021/3/25 上午 12:00:00,WF20210325001,1,6114,油資,130.00,1,
2994,2021/4/1 上午 12:00:00,WF20210401001,1,6114,油資,131.00,1,
2991,2021/4/8 上午 12:00:00,WF20210408001,1,6114,油資,135.00,1,
2997,2021/4/14 上午 12:00:00,WF20210414001,2,6114,油資,132.00,1,
3009,2021/4/25 上午 12:00:00,WF20210425001,1,6114,油資,130.00,1,
3115,2021/5/2 上午 12:00:00,WF20210502001,1,6114,油資,130.00,1,
3118,2021/5/9 上午 12:00:00,WF20210509001,1,6114,油資,48.00,1,
3121,2021/5/14 上午 12:00:00,WF20210514001,1,6114,油資,130.00,1,
3124,2021/5/23 上午 12:00:00,WF20210523001,1,6114,油資,133.00,1,
3135,2021/5/31 上午 12:00:00,WF20210531002,1,6114,油資,137.00,1,
3138,2021/6/24 上午 12:00:00,WF20210624001,1,6114,油資,131.00,1,
3157,2021/7/1 上午 12:00:00,WF20210701001,1,6114,油資,137.00,1,
3160,2021/7/20 上午 12:00:00,WF20210720001,1,6114,油資,48.00,1,
3163,2021/7/28 上午 12:00:00,WF20210728001,1,6114,油資,95.00,1,
3208,2021/8/1 上午 12:00:00,WF20210801001,1,6114,油資,95.00,1,
3211,2021/8/7 上午 12:00:00,WF20210807001,1,6114,油資,95.00,1,
3214,2021/8/19 上午 12:00:00,WF20210819001,1,6114,油資,95.00,1,
3673,2021/9/16 上午 12:00:00,WF20210916001,1,6114,電話費,637.00,1,
3681,2021/9/29 上午 12:00:00,WF20210929001,1,6114,電話費,147.00,1,
3687,2021/10/5 上午 12:00:00,WF20211005001,1,6114,油資,137.00,1,
3690,2021/10/11 上午 12:00:00,WF20211011001,1,6114,油資,142.00,1,
3699,2021/10/22 上午 12:00:00,WF20211022001,1,6114,郵資,150.00,1,
3247,2021/11/1 上午 12:00:00,WF20211101001,1,6114,20211016--油資,136.00,1,
3250,2021/11/3 上午 12:00:00,WF20211103001,1,6114,油資,150.00,1,
3253,2021/11/12 上午 12:00:00,WF20211112001,1,6114,油資,150.00,1,
3332,2021/11/25 上午 12:00:00,WF20211125001,3,6114,油資,150.00,1,
3259,2021/11/27 上午 12:00:00,WF20211127001,1,6114,汔車油資,288.00,1,
3268,2021/11/27 上午 12:00:00,WF20211127002,1,6114,停車費,71.00,1,
3278,2021/11/27 上午 12:00:00,WF20211127003,1,6114,汔車油資,95.00,1,
3262,2021/11/27 上午 12:00:00,WF20211127004,1,6114,汔車油資,94.00,1,
3265,2021/11/28 上午 12:00:00,WF20211128001,1,6114,汔車油資,445.00,1,
3298,2021/11/28 上午 12:00:00,WF20211128002,1,6114,借用汔車百貨,142.00,1,
3284,2021/12/15 上午 12:00:00,WF20211215001,1,6114,案件合約--郵資,36.00,1,
3295,2021/12/15 上午 12:00:00,WF20211215002,1,6114,油資,137.00,1,
3275,2021/12/17 上午 12:00:00,WF20211217001,1,6114,汔車油資,265.00,1,
3281,2021/12/28 上午 12:00:00,WF20211228003,1,6114,油資,110.00,1,
2704,2021/1/18 上午 12:00:00,WF20210118001,1,6116,1月份郵電費,800.00,1,
2753,2021/2/22 上午 12:00:00,WF20210222001,1,6116,2月份郵電費,765.00,1,
2933,2021/3/16 上午 12:00:00,WF20210316001,1,6116,3月份郵電費,692.00,1,
2966,2021/4/1 上午 12:00:00,WF20210419001,1,6116,4月份郵電費,727.00,1,
3095,2021/5/18 上午 12:00:00,WF20210518001,1,6116,5月份郵電費,747.00,1,
3155,2021/6/30 上午 12:00:00,WF20210630002,1,6116,應付6月份郵電費,2529.00,1,
3168,2021/7/1 上午 12:00:00,WF20210716001,1,6116,7月份郵電費
支付電路費,2409.00,1,
3222,2021/7/30 上午 12:00:00,WF20210730001,1,6116,伺服器費用-網域,523.00,1,
3219,2021/8/17 上午 12:00:00,WF20210817001,1,6116,8月份郵電費,637.00,1,
3676,2021/9/21 上午 12:00:00,WF20210921001,1,6116,停車費,129.00,1,
3696,2021/10/18 上午 12:00:00,WF20211018001,1,6116,郵電費,637.00,1,
3316,2021/11/16 上午 12:00:00,WF20211116001,1,6116,郵電費,646.00,1,
3319,2021/12/16 上午 12:00:00,WF20211216001,1,6116,郵電費,652.00,1,
2716,2021/1/31 上午 12:00:00,WF20210131001,3,6120,二月份勞保費,2474.00,1,
2770,2021/2/28 上午 12:00:00,WF20210228001,3,6120,2月份公司勞保,2474.00,1,
2942,2021/3/31 上午 12:00:00,WF20210331001,4,6120,3月份保險費,2474.00,1,
2975,2021/4/30 上午 12:00:00,WF20210430001,3,6120,4月份保險費,2474.00,1,
3104,2021/5/31 上午 12:00:00,WF20210531001,3,6120,5月份保險費,2474.00,1,
3151,2021/6/30 上午 12:00:00,WF20210630001,2,6120,6月份薪資結算,330.00,1,
2702,2021/1/2 上午 12:00:00,WF20210102001,2,6123,1月份Office365,14.00,1,
2705,2021/1/18 上午 12:00:00,WF20210118001,2,6123,1月份郵電費,40.00,1,
2760,2021/1/21 上午 12:00:00,WF20210121001,2,6123,出差停車費,1.00,1,
2722,2021/1/30 上午 12:00:00,WF20210130001,2,6123,油資,6.00,1,
