序號,日期,傳票,項目,科目,描述,金額,借/貸,
2726,2021/2/11 上午 12:00:00,WF20210211001,1,6134,五金百貨,100.00,1,
2727,2021/2/11 上午 12:00:00,WF20210211001,2,6123,五金百貨,5.00,1,
2728,2021/2/11 上午 12:00:00,WF20210211001,3,1113,五金百貨,105.00,2,
2955,2021/3/19 上午 12:00:00,WF20210319001,1,6134,停車費,19.00,1,
2956,2021/3/19 上午 12:00:00,WF20210319001,2,6123,停車費,1.00,1,
2957,2021/3/19 上午 12:00:00,WF20210319001,3,1113,停車費,20.00,2,
3000,2021/4/8 上午 12:00:00,WF20210408002,1,6134,出差停車費,19.00,1,
3001,2021/4/8 上午 12:00:00,WF20210408002,2,6123,出差停車費,1.00,1,
3002,2021/4/8 上午 12:00:00,WF20210408002,3,1113,出差停車費,20.00,2,
3129,2021/5/5 上午 12:00:00,WF20210505002,1,6134,有線電視投資、時事取得,512.00,1,
3130,2021/5/5 上午 12:00:00,WF20210505002,2,1262,有線電視投資、時事取得,512.00,2,
3144,2021/6/5 上午 12:00:00,WF20210605001,1,6134,有線電視投資、時事取得,512.00,1,
3145,2021/6/5 上午 12:00:00,WF20210605001,2,1262,有線電視投資、時事取得,512.00,2,
3243,2021/7/10 上午 12:00:00,WF20210710001,1,6134,有線電視投資、時事取得,512.00,1,
3244,2021/7/10 上午 12:00:00,WF20210710001,2,1262,有線電視投資、時事取得,512.00,2,
3245,2021/8/10 上午 12:00:00,WF20210810001,1,6134,有線電視投資、時事取得,512.00,1,
3246,2021/8/10 上午 12:00:00,WF20210810001,2,1262,有線電視投資、時事取得,512.00,2,
3239,2021/8/23 上午 12:00:00,WF20210823001,1,6134,公司行銷業務補貼行動費用,684.00,1,
3240,2021/8/23 上午 12:00:00,WF20210823001,2,6123,公司行銷業務補貼行動費用,34.00,1,
3241,2021/8/23 上午 12:00:00,WF20210823001,3,1113,公司行銷業務補貼行動費用,718.00,2,
3660,2021/9/1 上午 12:00:00,WF20210901001,1,6134,110-08-07-無糖烏龍茶,1086.00,1,
3661,2021/9/1 上午 12:00:00,WF20210901001,2,6123,110-08-07-無糖烏龍茶,54.00,1,
3662,2021/9/1 上午 12:00:00,WF20210901001,3,6123,110-08-07-無糖烏龍茶,1140.00,2,
3666,2021/9/8 上午 12:00:00,WF20210908001,1,6134,32吋電視,4752.00,1,
3667,2021/9/8 上午 12:00:00,WF20210908001,2,6123,32吋電視,238.00,1,
3668,2021/9/8 上午 12:00:00,WF20210908001,3,1113,32吋電視,4990.00,2,
3669,2021/9/10 上午 12:00:00,WF20210910001,1,6134,有線電視投資、時事取得,512.00,1,
3670,2021/9/10 上午 12:00:00,WF20210910001,2,1262,有線電視投資、時事取得,512.00,2,
3671,2021/9/13 上午 12:00:00,WF20210913001,1,6134,停車費,20.00,1,
3672,2021/9/13 上午 12:00:00,WF20210913001,2,1113,停車費,20.00,2,
3679,2021/9/25 上午 12:00:00,WF20210925001,1,6134,電話端子6P*2P,10.00,1,
3680,2021/9/25 上午 12:00:00,WF20210925001,2,1113,電話端子6P*2P,10.00,2,
3702,2021/10/26 上午 12:00:00,WF20211026001,1,6134,電池,48.00,1,
3703,2021/10/26 上午 12:00:00,WF20211026001,2,6123,電池,2.00,1,
3704,2021/10/26 上午 12:00:00,WF20211026001,3,1113,電池,50.00,2,
3328,2021/11/1 上午 12:00:00,WF20211101002,1,6134,媒體投資娛樂費,512.00,1,
3329,2021/11/1 上午 12:00:00,WF20211101002,2,1262,媒體投資娛樂費,512.00,2,
3307,2021/11/6 上午 12:00:00,WF20211106001,1,6134,百貨,170.00,1,
3308,2021/11/6 上午 12:00:00,WF20211106001,2,6123,百貨,8.00,1,
3309,2021/11/6 上午 12:00:00,WF20211106001,3,1113,百貨,178.00,2,
3322,2021/11/6 上午 12:00:00,WF20211106002,1,6134,負責人電話津貼,684.00,1,
3323,2021/11/6 上午 12:00:00,WF20211106002,2,6123,負責人電話津貼,34.00,1,
3324,2021/11/6 上午 12:00:00,WF20211106002,3,1113,負責人電話津貼,718.00,2,
3304,2021/11/7 上午 12:00:00,WF20211107001,1,6134,百貨,67.00,1,
3305,2021/11/7 上午 12:00:00,WF20211107001,2,6123,百貨,3.00,1,
3306,2021/11/7 上午 12:00:00,WF20211107001,3,1113,百貨,70.00,2,
3301,2021/11/14 上午 12:00:00,WF20211114001,1,6134,借用汔車百貨,14.00,1,
3302,2021/11/14 上午 12:00:00,WF20211114001,2,6123,借用汔車百貨,1.00,1,
3303,2021/11/14 上午 12:00:00,WF20211114001,3,1113,借用汔車百貨,15.00,2,
3286,2021/12/1 上午 12:00:00,WF20211201001,1,6134,辛勞津貼-餐費,138.00,1,
3287,2021/12/1 上午 12:00:00,WF20211201001,2,6123,辛勞津貼-餐費,7.00,1,
