金心資訊科技有限公司,,,,,,
損益表,,,,,,
分類,項目,金額,Adjust,test,test02,test01
營業淨利,營業收入,7619,,,,
營業淨利,銷貨退回,0,,,,
營業淨利,銷貨折讓,0,,,,
營業淨利,其他收入,400,,,,
營業淨利,營業收入淨額,8019,8019,,,
營業淨利,營業成本,-30383,33538,3155,-3155,少
營業淨利,營業毛利,,,,,
營業淨利,毛利率,,,,,
營業淨利,營業費用及損失總額,-329761,328827,,,
營業淨利,費用率,-41,,,,
營業淨利,薪資支出,266190,266712,522,-522,少
營業淨利,租金支出,18342,18342,,,
營業淨利,文具用品,1442,1442,,,
營業淨利,旅費,5293,5293,,,
營業淨利,運費,100,100,,,
營業淨利,郵電費,,,,,
營業淨利,修繕費,,,,,
營業淨利,廣告費,,,,,
營業淨利,水電瓦斯費,,,,,
營業淨利,保險費,19230,17784,-1446,1446,多
營業淨利,交際費,,,,,
營業淨利,捐贈,3222,3222,,,
營業淨利,稅捐,438,438,,,
營業淨利,稅捐,3382,3810,428,-428,少
營業淨利,呆帳損失,0,,,,
營業淨利,折舊,10733,,,10733,多
營業淨利,各項耗竭及攤提,0,,,,
營業淨利,外銷損失,0,,,,
營業淨利,伙食費,0,,,,
營業淨利,職工福利,0,,,,
營業淨利,研究發展費,0,,,,
營業淨利,佣金支出,0,,,,
營業淨利,訓練費,0,,,,
營業淨利,其他費用,1389,1389,,,
營業淨利,營業淨利,-352125,,,,
營業淨利,營業淨利率,-44,,,,
非營業收入總額,非營業收入總額,10783,,,,
非營業收入總額,投資收益,6130,6130,,,
非營業收入總額,股利及盈餘,0,,,,
非營業收入總額,利息收入,7,7,,,
非營業收入總額,租賃收入,0,,,,
非營業收入總額,處分資產利益,809,,-809,809,多
非營業收入總額,佣金收入,0,,,,
非營業收入總額,兌換盈益,0,,,,
非營業收入總額,其他收入,3837,3837,,,
非營業損失總額,非營業損失及費用總額,-6513,-6539,,,
非營業損失總額,利息支出,0,,,,
非營業損失總額,投資損失,5578,5578,,,
非營業損失總額,處分資產損失,0,,,,
非營業損失總額,災害損失,0,,,,
非營業損失總額,兌換虧損,0,,,,
非營業損失總額,其他損失,935,961,26,26,少
損益及課稅所得,全年所得額,-347855,-349970,,,
損益及課稅所得,純益率,-19,,,,
損益及課稅所得,國際金融免稅所得,0,,,,
損益及課稅所得,證券交易所得(損失),4769,5578,809,-809,少
損益及課稅所得,免徵所得稅之出售土地利益(損失),0,,,,
損益及課稅所得,合於獎勵規定之免稅所得,0,,,,
損益及課稅所得,適用噸位稅制收入之所得(損失),0,,,,
損益及課稅所得,依船舶淨噸位計算之所得,0,,,,
損益及課稅所得,中小企業增僱員工薪資費用加成減除金額,0,,,,
損益及課稅所得,,0,,,,
損益及課稅所得,前十年核定虧損本年度扣除額,0,,,,
損益及課稅所得,課稅所得額,-347855,-349970,,,
非營業收入總額,手續費收入,0,0,,,
