序號,傳票,日期,科目,描述,借/貸,金額
2320,WF20200901001,2020/9/1 上午 12:00:00,6112,9月份office,1,500
2321,WF20200901001,2020/9/1 上午 12:00:00,1262,9月份office,2,500
2322,WF20200901002,2020/9/1 上午 12:00:00,6134,9月份預付投資、最新消息媒體費,1,775
2323,WF20200901002,2020/9/1 上午 12:00:00,1262,9月份預付投資、最新消息媒體費,2,775
2327,WF20200903001,2020/9/3 上午 12:00:00,6112,9月份office365,1,285
2328,WF20200903001,2020/9/3 上午 12:00:00,6123,9月份office365,1,14
2329,WF20200903001,2020/9/3 上午 12:00:00,1113,9月份office365,2,299
2381,WF20200904001,2020/9/4 上午 12:00:00,6114,1090816--油單,1,48
2382,WF20200904001,2020/9/4 上午 12:00:00,6123,1090816--油單,1,2
2383,WF20200904001,2020/9/4 上午 12:00:00,1113,1090816--油單,2,50
2384,WF20200904002,2020/9/4 上午 12:00:00,6134,1090831--郵資-金融評議,1,28
2385,WF20200904002,2020/9/4 上午 12:00:00,1113,1090831--郵資-金融評議,2,28
2372,WF20200908001,2020/9/8 上午 12:00:00,6113,文具用品-電池,1,76
2373,WF20200908001,2020/9/8 上午 12:00:00,6123,文具用品-電池,1,4
2374,WF20200908001,2020/9/8 上午 12:00:00,1113,文具用品-電池,2,80
2339,WF20200910002,2020/9/10 上午 12:00:00,6111,9月份勞健保支出,1,2474
2340,WF20200910002,2020/9/10 上午 12:00:00,1281,9月份勞健保支出,2,2474
2388,WF20200910003,2020/9/10 上午 12:00:00,6134,公司預查,1,165
2389,WF20200910003,2020/9/10 上午 12:00:00,1113,公司預查,2,165
2390,WF20200911001,2020/9/11 上午 12:00:00,6134,公司登記、增加營業項目、公司章程,1,715
2391,WF20200911001,2020/9/11 上午 12:00:00,1113,公司登記、增加營業項目、增加公司章程,2,715
2375,WF20200912001,2020/9/12 上午 12:00:00,6134,百貨用品,1,362
2376,WF20200912001,2020/9/12 上午 12:00:00,6123,百貨用品,1,18
2377,WF20200912001,2020/9/12 上午 12:00:00,1113,百貨用品,2,380
2378,WF20200912002,2020/9/12 上午 12:00:00,6134,百貨用品,1,67
2379,WF20200912002,2020/9/12 上午 12:00:00,6123,百貨用品,1,3
2380,WF20200912002,2020/9/12 上午 12:00:00,1113,百貨用品,2,70
2386,WF20200913001,2020/9/13 上午 12:00:00,1113,業主購買股本,1,31817
2387,WF20200913001,2020/9/13 上午 12:00:00,3113,業主購買股本,2,31817
2317,WF20200915001,2020/9/15 上午 12:00:00,6114,油單,1,100
2318,WF20200915001,2020/9/15 上午 12:00:00,6123,油單,1,10
2319,WF20200915001,2020/9/15 上午 12:00:00,1113,油單,2,110
2324,WF20200915002,2020/9/1 上午 12:00:00,6116,9月份郵電費,1,652
2325,WF20200915002,2020/9/1 上午 12:00:00,6123,9月份郵電費,1,33
2326,WF20200915002,2020/9/1 上午 12:00:00,1113,9月份郵電費,2,685
2355,WF20200916001,2020/9/16 上午 12:00:00,6114,油單,1,48
2356,WF20200916001,2020/9/16 上午 12:00:00,6123,油單,1,2
2357,WF20200916001,2020/9/16 上午 12:00:00,1113,油單,2,50
2358,WF20200916002,2020/9/16 上午 12:00:00,6114,卡典西德,,
,1,60,,,,
2359,WF20200916002,2020/9/16 上午 12:00:00,1113,卡典西德,,
,2,60,,,,
2352,WF20200919001,2020/9/19 上午 12:00:00,6114,油單,1,96
2353,WF20200919001,2020/9/19 上午 12:00:00,6123,油單,1,5
2354,WF20200919001,2020/9/19 上午 12:00:00,1113,油單,2,101
2349,WF20200920001,2020/9/20 上午 12:00:00,6114,D/A Quality列印紙,1,94
2350,WF20200920001,2020/9/20 上午 12:00:00,6123,D/A Quality列印紙,1,4
2351,WF20200920001,2020/9/20 上午 12:00:00,1113,D/A Quality列印紙,2,98
2366,WF20200925001,2020/9/25 上午 12:00:00,6134,五金,1,157
2367,WF20200925001,2020/9/25 上午 12:00:00,6123,五金,1,8
2368,WF20200925001,2020/9/25 上午 12:00:00,1113,五金,2,165
2360,WF20200929001,2020/9/29 上午 12:00:00,6114,電話端子6p2c、壓著端子(電導差),1,21
2361,WF20200929001,2020/9/29 上午 12:00:00,6123,電話端子6p2c、壓著端子(電導差),1,1
2362,WF20200929001,2020/9/29 上午 12:00:00,1113,電話端子6p2c、壓著端子(電導差),2,22
2363,WF20200929002,2020/9/29 上午 12:00:00,1240,3M 電極貼片 *50,1,286
2364,WF20200929002,2020/9/29 上午 12:00:00,6123,3M 電極貼片 *50,1,14
2365,WF20200929002,2020/9/29 上午 12:00:00,1113,3M 電極貼片 *50,2,300
2369,WF20200929003,2020/9/29 上午 12:00:00,6113,滑鼠墊,1,104
2370,WF20200929003,2020/9/29 上午 12:00:00,6123,滑鼠墊,1,5
2371,WF20200929003,2020/9/29 上午 12:00:00,1113,滑鼠墊,2,109
2330,WF20200930001,2020/9/30 上午 12:00:00,6111,9月份薪資,1,31784
2331,WF20200930001,2020/9/30 上午 12:00:00,1281,9月份勞健保,1,2474
2332,WF20200930001,2020/9/30 上午 12:00:00,6120,9月份保險費,1,2328
2333,WF20200930001,2020/9/30 上午 12:00:00,1261,9月份業務支出,1,688
2334,WF20200930001,2020/9/30 上午 12:00:00,2171,9月份薪資,2,2474
2335,WF20200930001,2020/9/30 上午 12:00:00,2191,9月份薪資,2,34800
2392,WF20200930002,2020/9/30 上午 12:00:00,1121,109年金融資產預結算,1,39981
2393,WF20200930002,2020/9/30 上午 12:00:00,1122,109年金融資產預結算,2,39981
2394,WF20200930003,2020/9/30 上午 12:00:00,1262,預付10-12月的辦公室租金-待重拿發票,1,1500
2395,WF20200930003,2020/9/30 上午 12:00:00,2171,預付10-12月的辦公室租金-待重拿發票,2,1500
2396,WF20200930004,2020/9/30 上午 12:00:00,1122,透過損益按公允價值衡量之金融資產評價調整-流動,1,28435
2397,WF20200930004,2020/9/30 上午 12:00:00,2131,透過損益按公允價值衡量之金融資產評價調整-流動,2,28435
